"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","DZ","Algeria","AFRO",0,0,0,0
"2020-01-04","DZ","Algeria","AFRO",0,0,0,0
"2020-01-05","DZ","Algeria","AFRO",0,0,0,0
"2020-01-06","DZ","Algeria","AFRO",0,0,0,0
"2020-01-07","DZ","Algeria","AFRO",0,0,0,0
"2020-01-08","DZ","Algeria","AFRO",0,0,0,0
"2020-01-09","DZ","Algeria","AFRO",0,0,0,0
"2020-01-10","DZ","Algeria","AFRO",0,0,0,0
"2020-01-11","DZ","Algeria","AFRO",0,0,0,0
"2020-01-12","DZ","Algeria","AFRO",0,0,0,0
"2020-01-13","DZ","Algeria","AFRO",0,0,0,0
"2020-01-14","DZ","Algeria","AFRO",0,0,0,0
"2020-01-15","DZ","Algeria","AFRO",0,0,0,0
"2020-01-16","DZ","Algeria","AFRO",0,0,0,0
"2020-01-17","DZ","Algeria","AFRO",0,0,0,0
"2020-01-18","DZ","Algeria","AFRO",0,0,0,0
"2020-01-19","DZ","Algeria","AFRO",0,0,0,0
"2020-01-20","DZ","Algeria","AFRO",0,0,0,0
"2020-01-21","DZ","Algeria","AFRO",0,0,0,0
"2020-01-22","DZ","Algeria","AFRO",0,0,0,0
"2020-01-23","DZ","Algeria","AFRO",0,0,0,0
"2020-01-24","DZ","Algeria","AFRO",0,0,0,0
"2020-01-25","DZ","Algeria","AFRO",0,0,0,0
"2020-01-26","DZ","Algeria","AFRO",0,0,0,0
"2020-01-27","DZ","Algeria","AFRO",0,0,0,0
"2020-01-28","DZ","Algeria","AFRO",0,0,0,0
"2020-01-29","DZ","Algeria","AFRO",0,0,0,0
"2020-01-30","DZ","Algeria","AFRO",0,0,0,0
"2020-01-31","DZ","Algeria","AFRO",0,0,0,0
"2020-02-01","DZ","Algeria","AFRO",0,0,0,0
"2020-02-02","DZ","Algeria","AFRO",0,0,0,0
"2020-02-03","DZ","Algeria","AFRO",0,0,0,0
"2020-02-04","DZ","Algeria","AFRO",0,0,0,0
"2020-02-05","DZ","Algeria","AFRO",0,0,0,0
"2020-02-06","DZ","Algeria","AFRO",0,0,0,0
"2020-02-07","DZ","Algeria","AFRO",0,0,0,0
"2020-02-08","DZ","Algeria","AFRO",0,0,0,0
"2020-02-09","DZ","Algeria","AFRO",0,0,0,0
"2020-02-10","DZ","Algeria","AFRO",0,0,0,0
"2020-02-11","DZ","Algeria","AFRO",0,0,0,0
"2020-02-12","DZ","Algeria","AFRO",0,0,0,0
"2020-02-13","DZ","Algeria","AFRO",0,0,0,0
"2020-02-14","DZ","Algeria","AFRO",0,0,0,0
"2020-02-15","DZ","Algeria","AFRO",0,0,0,0
"2020-02-16","DZ","Algeria","AFRO",0,0,0,0
"2020-02-17","DZ","Algeria","AFRO",0,0,0,0
"2020-02-18","DZ","Algeria","AFRO",0,0,0,0
"2020-02-19","DZ","Algeria","AFRO",0,0,0,0
"2020-02-20","DZ","Algeria","AFRO",0,0,0,0
"2020-02-21","DZ","Algeria","AFRO",0,0,0,0
"2020-02-22","DZ","Algeria","AFRO",0,0,0,0
"2020-02-23","DZ","Algeria","AFRO",0,0,0,0
