"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AO","Angola","AFRO",0,0,0,0
"2020-01-04","AO","Angola","AFRO",0,0,0,0
"2020-01-05","AO","Angola","AFRO",0,0,0,0
"2020-01-06","AO","Angola","AFRO",0,0,0,0
"2020-01-07","AO","Angola","AFRO",0,0,0,0
"2020-01-08","AO","Angola","AFRO",0,0,0,0
"2020-01-09","AO","Angola","AFRO",0,0,0,0
"2020-01-10","AO","Angola","AFRO",0,0,0,0
"2020-01-11","AO","Angola","AFRO",0,0,0,0
"2020-01-12","AO","Angola","AFRO",0,0,0,0
"2020-01-13","AO","Angola","AFRO",0,0,0,0
"2020-01-14","AO","Angola","AFRO",0,0,0,0
"2020-01-15","AO","Angola","AFRO",0,0,0,0
"2020-01-16","AO","Angola","AFRO",0,0,0,0
"2020-01-17","AO","Angola","AFRO",0,0,0,0
"2020-01-18","AO","Angola","AFRO",0,0,0,0
"2020-01-19","AO","Angola","AFRO",0,0,0,0
"2020-01-20","AO","Angola","AFRO",0,0,0,0
"2020-01-21","AO","Angola","AFRO",0,0,0,0
"2020-01-22","AO","Angola","AFRO",0,0,0,0
"2020-01-23","AO","Angola","AFRO",0,0,0,0
"2020-01-24","AO","Angola","AFRO",0,0,0,0
"2020-01-25","AO","Angola","AFRO",0,0,0,0
"2020-01-26","AO","Angola","AFRO",0,0,0,0
"2020-01-27","AO","Angola","AFRO",0,0,0,0
"2020-01-28","AO","Angola","AFRO",0,0,0,0
"2020-01-29","AO","Angola","AFRO",0,0,0,0
"2020-01-30","AO","Angola","AFRO",0,0,0,0
"2020-01-31","AO","Angola","AFRO",0,0,0,0
"2020-02-01","AO","Angola","AFRO",0,0,0,0
"2020-02-02","AO","Angola","AFRO",0,0,0,0
"2020-02-03","AO","Angola","AFRO",0,0,0,0
"2020-02-04","AO","Angola","AFRO",0,0,0,0
"2020-02-05","AO","Angola","AFRO",0,0,0,0
"2020-02-06","AO","Angola","AFRO",0,0,0,0
"2020-02-07","AO","Angola","AFRO",0,0,0,0
"2020-02-08","AO","Angola","AFRO",0,0,0,0
"2020-02-09","AO","Angola","AFRO",0,0,0,0
"2020-02-10","AO","Angola","AFRO",0,0,0,0
"2020-02-11","AO","Angola","AFRO",0,0,0,0
"2020-02-12","AO","Angola","AFRO",0,0,0,0
"2020-02-13","AO","Angola","AFRO",0,0,0,0
"2020-02-14","AO","Angola","AFRO",0,0,0,0
"2020-02-15","AO","Angola","AFRO",0,0,0,0
"2020-02-16","AO","Angola","AFRO",0,0,0,0
"2020-02-17","AO","Angola","AFRO",0,0,0,0
"2020-02-18","AO","Angola","AFRO",0,0,0,0
"2020-02-19","AO","Angola","AFRO",0,0,0,0
"2020-02-20","AO","Angola","AFRO",0,0,0,0
"2020-02-21","AO","Angola","AFRO",0,0,0,0
"2020-02-22","AO","Angola","AFRO",0,0,0,0
"2020-02-23","AO","Angola","AFRO",0,0,0,0
"2020-02-24","AO","Angola","AFRO",0,0,0,0
"2020-02-25","AO","Angola","AFRO",0,0,0,0
"2020-02-26","AO","Angola","AFRO",0,0,0,0
"2020-02-27","AO","Angola","AFRO",0,0,0,0
"2020-02-28","AO","Angola","AFRO",0,0,0,0
"2020-02-29","AO","Angola","AFRO",0,0,0,0
"2020-03-01","AO","Angola","AFRO",0,0,0,0
"2020-03-02","AO","Angola","AFRO",0,0,0,0
"2020-03-03","AO","Angola","AFRO",0,0,0,0
"2020-03-04","AO","Angola","AFRO",0,0,0,0
"2020-03-05","AO","Angola","AFRO",0,0,0,0
"2020-03-06","AO","Angola","AFRO",0,0,0,0
"2020-03-07","AO","Angola","AFRO",0,0,0,0
"2020-03-08","AO","Angola","AFRO",0,0,0,0
"2020-03-09","AO","Angola","AFRO",0,0,0,0
"2020-03-10","AO","Angola","AFRO",0,0,0,0
"2020-03-11","AO","Angola","AFRO",0,0,0,0
"2020-03-12","AO","Angola","AFRO",0,0,0,0
"2020-03-13","AO","Angola","AFRO",0,0,0,0
"2020-03-14","AO","Angola","AFRO",0,0,0,0
"2020-03-15","AO","Angola","AFRO",0,0,0,0
"2020-03-16","AO","Angola","AFRO",0,0,0,0
"2020-03-17","AO","Angola","AFRO",0,0,0,0
"2020-03-18","AO","Angola","AFRO",0,0,0,0
"2020-03-19","AO","Angola","AFRO",0,0,0,0
"2020-03-20","AO","Angola","AFRO",0,0,0,0
"2020-03-21","AO","Angola","AFRO",2,2,0,0
"2020-03-22","AO","Angola","AFRO",0,2,0,0
"2020-03-23","AO","Angola","AFRO",0,2,0,0
"2020-03-24","AO","Angola","AFRO",0,2,0,0
"2020-03-25","AO","Angola","AFRO",0,2,0,0
"2020-03-26","AO","Angola","AFRO",0,2,0,0
"2020-03-27","AO","Angola","AFRO",0,2,0,0
"2020-03-28","AO","Angola","AFRO",0,2,0,0
"2020-03-29","AO","Angola","AFRO",0,2,0,0
"2020-03-30","AO","Angola","AFRO",0,2,0,0
