"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AW","Aruba","AMRO",0,0,0,0
"2020-01-04","AW","Aruba","AMRO",0,0,0,0
"2020-01-05","AW","Aruba","AMRO",0,0,0,0
"2020-01-06","AW","Aruba","AMRO",0,0,0,0
"2020-01-07","AW","Aruba","AMRO",0,0,0,0
"2020-01-08","AW","Aruba","AMRO",0,0,0,0
"2020-01-09","AW","Aruba","AMRO",0,0,0,0
"2020-01-10","AW","Aruba","AMRO",0,0,0,0
"2020-01-11","AW","Aruba","AMRO",0,0,0,0
"2020-01-12","AW","Aruba","AMRO",0,0,0,0
"2020-01-13","AW","Aruba","AMRO",0,0,0,0
"2020-01-14","AW","Aruba","AMRO",0,0,0,0
"2020-01-15","AW","Aruba","AMRO",0,0,0,0
"2020-01-16","AW","Aruba","AMRO",0,0,0,0
"2020-01-17","AW","Aruba","AMRO",0,0,0,0
"2020-01-18","AW","Aruba","AMRO",0,0,0,0
"2020-01-19","AW","Aruba","AMRO",0,0,0,0
"2020-01-20","AW","Aruba","AMRO",0,0,0,0
"2020-01-21","AW","Aruba","AMRO",0,0,0,0
"2020-01-22","AW","Aruba","AMRO",0,0,0,0
"2020-01-23","AW","Aruba","AMRO",0,0,0,0
"2020-01-24","AW","Aruba","AMRO",0,0,0,0
"2020-01-25","AW","Aruba","AMRO",0,0,0,0
"2020-01-26","AW","Aruba","AMRO",0,0,0,0
"2020-01-27","AW","Aruba","AMRO",0,0,0,0
"2020-01-28","AW","Aruba","AMRO",0,0,0,0
"2020-01-29","AW","Aruba","AMRO",0,0,0,0
"2020-01-30","AW","Aruba","AMRO",0,0,0,0
"2020-01-31","AW","Aruba","AMRO",0,0,0,0
"2020-02-01","AW","Aruba","AMRO",0,0,0,0
"2020-02-02","AW","Aruba","AMRO",0,0,0,0
"2020-02-03","AW","Aruba","AMRO",0,0,0,0
"2020-02-04","AW","Aruba","AMRO",0,0,0,0
"2020-02-05","AW","Aruba","AMRO",0,0,0,0
"2020-02-06","AW","Aruba","AMRO",0,0,0,0
"2020-02-07","AW","Aruba","AMRO",0,0,0,0
"2020-02-08","AW","Aruba","AMRO",0,0,0,0
"2020-02-09","AW","Aruba","AMRO",0,0,0,0
"2020-02-10","AW","Aruba","AMRO",0,0,0,0
"2020-02-11","AW","Aruba","AMRO",0,0,0,0
"2020-02-12","AW","Aruba","AMRO",0,0,0,0
"2020-02-13","AW","Aruba","AMRO",0,0,0,0
"2020-02-14","AW","Aruba","AMRO",0,0,0,0
"2020-02-15","AW","Aruba","AMRO",0,0,0,0
"2020-02-16","AW","Aruba","AMRO",0,0,0,0
"2020-02-17","AW","Aruba","AMRO",0,0,0,0
"2020-02-18","AW","Aruba","AMRO",0,0,0,0
