"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AU","Australia","WPRO",0,0,0,0
"2020-01-04","AU","Australia","WPRO",0,0,0,0
"2020-01-05","AU","Australia","WPRO",0,0,0,0
"2020-01-06","AU","Australia","WPRO",0,0,0,0
"2020-01-07","AU","Australia","WPRO",0,0,0,0
"2020-01-08","AU","Australia","WPRO",0,0,0,0
"2020-01-09","AU","Australia","WPRO",0,0,0,0
"2020-01-10","AU","Australia","WPRO",0,0,0,0
"2020-01-11","AU","Australia","WPRO",0,0,0,0
"2020-01-12","AU","Australia","WPRO",0,0,0,0
"2020-01-13","AU","Australia","WPRO",0,0,0,0
"2020-01-14","AU","Australia","WPRO",0,0,0,0
"2020-01-15","AU","Australia","WPRO",0,0,0,0
"2020-01-16","AU","Australia","WPRO",0,0,0,0
"2020-01-17","AU","Australia","WPRO",0,0,0,0
"2020-01-18","AU","Australia","WPRO",0,0,0,0
"2020-01-19","AU","Australia","WPRO",0,0,0,0
"2020-01-20","AU","Australia","WPRO",0,0,0,0
"2020-01-21","AU","Australia","WPRO",0,0,0,0
"2020-01-22","AU","Australia","WPRO",0,0,0,0
"2020-01-23","AU","Australia","WPRO",0,0,0,0
"2020-01-24","AU","Australia","WPRO",0,0,0,0
"2020-01-25","AU","Australia","WPRO",7,7,0,0
"2020-01-26","AU","Australia","WPRO",1,8,0,0
"2020-01-27","AU","Australia","WPRO",1,9,0,0
"2020-01-28","AU","Australia","WPRO",0,9,0,0
"2020-01-29","AU","Australia","WPRO",2,11,0,0
"2020-01-30","AU","Australia","WPRO",2,13,0,0
"2020-01-31","AU","Australia","WPRO",0,13,0,0
"2020-02-01","AU","Australia","WPRO",3,16,0,0
"2020-02-02","AU","Australia","WPRO",0,16,0,0
"2020-02-03","AU","Australia","WPRO",0,16,0,0
"2020-02-04","AU","Australia","WPRO",1,17,0,0
"2020-02-05","AU","Australia","WPRO",1,18,0,0
"2020-02-06","AU","Australia","WPRO",1,19,0,0
"2020-02-07","AU","Australia","WPRO",0,19,0,0
"2020-02-08","AU","Australia","WPRO",0,19,0,0
"2020-02-09","AU","Australia","WPRO",0,19,0,0
"2020-02-10","AU","Australia","WPRO",0,19,0,0
"2020-02-11","AU","Australia","WPRO",0,19,0,0
"2020-02-12","AU","Australia","WPRO",0,19,0,0
"2020-02-13","AU","Australia","WPRO",0,19,0,0
"2020-02-14","AU","Australia","WPRO",0,19,0,0
"2020-02-15","AU","Australia","WPRO",0,19,0,0
"2020-02-16","AU","Australia","WPRO",0,19,0,0
"2020-02-17","AU","Australia","WPRO",0,19,0,0
"2020-02-18","AU","Australia","WPRO",0,19,0,0
"2020-02-19","AU","Australia","WPRO",0,19,0,0
"2020-02-20","AU","Australia","WPRO",0,19,0,0
"2020-02-21","AU","Australia","WPRO",2,21,0,0
"2020-02-22","AU","Australia","WPRO",4,25,0,0
"2020-02-23","AU","Australia","WPRO",1,26,0,0
"2020-02-24","AU","Australia","WPRO",0,26,0,0
"2020-02-25","AU","Australia","WPRO",1,27,0,0
"2020-02-26","AU","Australia","WPRO",0,27,0,0
"2020-02-27","AU","Australia","WPRO",0,27,0,0
"2020-02-28","AU","Australia","WPRO",0,27,0,0
"2020-02-29","AU","Australia","WPRO",2,29,0,0
"2020-03-01","AU","Australia","WPRO",2,31,1,1
"2020-03-02","AU","Australia","WPRO",6,37,0,1
"2020-03-03","AU","Australia","WPRO",0,37,0,1
"2020-03-04","AU","Australia","WPRO",0,37,0,1
"2020-03-05","AU","Australia","WPRO",10,47,0,1
"2020-03-06","AU","Australia","WPRO",19,66,1,2
"2020-03-07","AU","Australia","WPRO",8,74,0,2
"2020-03-08","AU","Australia","WPRO",7,81,1,3
"2020-03-09","AU","Australia","WPRO",15,96,0,3
"2020-03-10","AU","Australia","WPRO",0,96,0,3
"2020-03-11","AU","Australia","WPRO",30,126,0,3
"2020-03-12","AU","Australia","WPRO",18,144,0,3
"2020-03-13","AU","Australia","WPRO",49,193,0,3
"2020-03-14","AU","Australia","WPRO",8,201,0,3
"2020-03-15","AU","Australia","WPRO",101,302,2,5
"2020-03-16","AU","Australia","WPRO",38,340,0,5
"2020-03-17","AU","Australia","WPRO",78,418,0,5
"2020-03-18","AU","Australia","WPRO",96,514,1,6
"2020-03-19","AU","Australia","WPRO",195,709,0,6
"2020-03-20","AU","Australia","WPRO",164,873,1,7
"2020-03-21","AU","Australia","WPRO",208,1081,0,7
"2020-03-22","AU","Australia","WPRO",17,1098,0,7
"2020-03-23","AU","Australia","WPRO",611,1709,0,7
"2020-03-24","AU","Australia","WPRO",427,2136,1,8
"2020-03-25","AU","Australia","WPRO",287,2423,0,8
"2020-03-26","AU","Australia","WPRO",376,2799,3,11
"2020-03-27","AU","Australia","WPRO",186,2985,2,13
"2020-03-28","AU","Australia","WPRO",650,3635,1,14
"2020-03-29","AU","Australia","WPRO",331,3966,2,16
"2020-03-30","AU","Australia","WPRO",279,4245,2,18
"2020-03-31","AU","Australia","WPRO",312,4557,1,19
"2020-04-01","AU","Australia","WPRO",303,4860,1,20
"2020-04-02","AU","Australia","WPRO",116,4976,1,21
"2020-04-03","AU","Australia","WPRO",374,5350,5,26
"2020-04-04","AU","Australia","WPRO",104,5454,2,28
"2020-04-05","AU","Australia","WPRO",181,5635,6,34
"2020-04-06","AU","Australia","WPRO",160,5795,5,39
"2020-04-07","AU","Australia","WPRO",49,5844,3,42
"2020-04-08","AU","Australia","WPRO",112,5956,3,45
"2020-04-09","AU","Australia","WPRO",96,6052,5,50
"2020-04-10","AU","Australia","WPRO",100,6152,2,52
"2020-04-11","AU","Australia","WPRO",137,6289,4,56
"2020-04-12","AU","Australia","WPRO",24,6313,3,59
"2020-04-13","AU","Australia","WPRO",9,6322,2,61
"2020-04-14","AU","Australia","WPRO",44,6366,0,61
"2020-04-15","AU","Australia","WPRO",50,6416,0,61
"2020-04-16","AU","Australia","WPRO",42,6458,2,63
"2020-04-17","AU","Australia","WPRO",10,6468,0,63
"2020-04-18","AU","Australia","WPRO",65,6533,4,67
"2020-04-19","AU","Australia","WPRO",73,6606,3,70
"2020-04-20","AU","Australia","WPRO",6,6612,0,70
"2020-04-21","AU","Australia","WPRO",13,6625,1,71
"2020-04-22","AU","Australia","WPRO",22,6647,3,74
"2020-04-23","AU","Australia","WPRO",14,6661,1,75
"2020-04-24","AU","Australia","WPRO",6,6667,1,76
"2020-04-25","AU","Australia","WPRO",20,6687,3,79
"2020-04-26","AU","Australia","WPRO",16,6703,2,81
"2020-04-27","AU","Australia","WPRO",10,6713,2,83
"2020-04-28","AU","Australia","WPRO",12,6725,1,84
"2020-04-29","AU","Australia","WPRO",13,6738,4,88
"2020-04-30","AU","Australia","WPRO",8,6746,2,90
"2020-05-01","AU","Australia","WPRO",16,6762,2,92
"2020-05-02","AU","Australia","WPRO",5,6767,1,93
"2020-05-03","AU","Australia","WPRO",16,6783,0,93
"2020-05-04","AU","Australia","WPRO",18,6801,2,95
"2020-05-05","AU","Australia","WPRO",24,6825,0,95
"2020-05-06","AU","Australia","WPRO",24,6849,1,96
