"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AT","Austria","EURO",0,0,0,0
"2020-01-04","AT","Austria","EURO",0,0,0,0
"2020-01-05","AT","Austria","EURO",0,0,0,0
"2020-01-06","AT","Austria","EURO",0,0,0,0
"2020-01-07","AT","Austria","EURO",0,0,0,0
"2020-01-08","AT","Austria","EURO",0,0,0,0
"2020-01-09","AT","Austria","EURO",0,0,0,0
"2020-01-10","AT","Austria","EURO",0,0,0,0
"2020-01-11","AT","Austria","EURO",0,0,0,0
"2020-01-12","AT","Austria","EURO",0,0,0,0
"2020-01-13","AT","Austria","EURO",0,0,0,0
"2020-01-14","AT","Austria","EURO",0,0,0,0
"2020-01-15","AT","Austria","EURO",0,0,0,0
"2020-01-16","AT","Austria","EURO",0,0,0,0
"2020-01-17","AT","Austria","EURO",0,0,0,0
"2020-01-18","AT","Austria","EURO",0,0,0,0
"2020-01-19","AT","Austria","EURO",0,0,0,0
"2020-01-20","AT","Austria","EURO",0,0,0,0
"2020-01-21","AT","Austria","EURO",0,0,0,0
"2020-01-22","AT","Austria","EURO",0,0,0,0
"2020-01-23","AT","Austria","EURO",0,0,0,0
"2020-01-24","AT","Austria","EURO",0,0,0,0
"2020-01-25","AT","Austria","EURO",0,0,0,0
"2020-01-26","AT","Austria","EURO",0,0,0,0
"2020-01-27","AT","Austria","EURO",0,0,0,0
"2020-01-28","AT","Austria","EURO",0,0,0,0
"2020-01-29","AT","Austria","EURO",0,0,0,0
"2020-01-30","AT","Austria","EURO",0,0,0,0
"2020-01-31","AT","Austria","EURO",0,0,0,0
"2020-02-01","AT","Austria","EURO",0,0,0,0
"2020-02-02","AT","Austria","EURO",0,0,0,0
"2020-02-03","AT","Austria","EURO",0,0,0,0
"2020-02-04","AT","Austria","EURO",0,0,0,0
"2020-02-05","AT","Austria","EURO",0,0,0,0
"2020-02-06","AT","Austria","EURO",0,0,0,0
"2020-02-07","AT","Austria","EURO",0,0,0,0
"2020-02-08","AT","Austria","EURO",0,0,0,0
"2020-02-09","AT","Austria","EURO",0,0,0,0
"2020-02-10","AT","Austria","EURO",0,0,0,0
"2020-02-11","AT","Austria","EURO",0,0,0,0
"2020-02-12","AT","Austria","EURO",0,0,0,0
"2020-02-13","AT","Austria","EURO",0,0,0,0
"2020-02-14","AT","Austria","EURO",0,0,0,0
"2020-02-15","AT","Austria","EURO",0,0,0,0
"2020-02-16","AT","Austria","EURO",0,0,0,0
"2020-02-17","AT","Austria","EURO",0,0,0,0
"2020-02-18","AT","Austria","EURO",0,0,0,0
"2020-02-19","AT","Austria","EURO",0,0,0,0
"2020-02-20","AT","Austria","EURO",0,0,0,0
"2020-02-21","AT","Austria","EURO",0,0,0,0
"2020-02-22","AT","Austria","EURO",0,0,0,0
"2020-02-23","AT","Austria","EURO",0,0,0,0
"2020-02-24","AT","Austria","EURO",0,0,0,0
"2020-02-25","AT","Austria","EURO",0,0,0,0
"2020-02-26","AT","Austria","EURO",2,2,0,0
"2020-02-27","AT","Austria","EURO",0,2,0,0
"2020-02-28","AT","Austria","EURO",3,5,0,0
"2020-02-29","AT","Austria","EURO",2,7,0,0
"2020-03-01","AT","Austria","EURO",3,10,0,0
"2020-03-02","AT","Austria","EURO",4,14,0,0
"2020-03-03","AT","Austria","EURO",4,18,0,0
"2020-03-04","AT","Austria","EURO",6,24,0,0
"2020-03-05","AT","Austria","EURO",5,29,0,0
"2020-03-06","AT","Austria","EURO",12,41,0,0
"2020-03-07","AT","Austria","EURO",33,74,0,0
"2020-03-08","AT","Austria","EURO",25,99,0,0
"2020-03-09","AT","Austria","EURO",3,102,0,0
"2020-03-10","AT","Austria","EURO",29,131,0,0
"2020-03-11","AT","Austria","EURO",51,182,0,0
"2020-03-12","AT","Austria","EURO",64,246,0,0
"2020-03-13","AT","Austria","EURO",115,361,1,1
"2020-03-14","AT","Austria","EURO",143,504,0,1
"2020-03-15","AT","Austria","EURO",151,655,0,1
"2020-03-16","AT","Austria","EURO",205,860,0,1
"2020-03-17","AT","Austria","EURO",156,1016,2,3
"2020-03-18","AT","Austria","EURO",316,1332,0,3
"2020-03-19","AT","Austria","EURO",314,1646,1,4
"2020-03-20","AT","Austria","EURO",550,2196,2,6
"2020-03-21","AT","Austria","EURO",453,2649,0,6
"2020-03-22","AT","Austria","EURO",375,3024,2,8
"2020-03-23","AT","Austria","EURO",607,3631,8,16
"2020-03-24","AT","Austria","EURO",855,4486,9,25
"2020-03-25","AT","Austria","EURO",796,5282,5,30
"2020-03-26","AT","Austria","EURO",606,5888,4,34
"2020-03-27","AT","Austria","EURO",1141,7029,18,52
"2020-03-28","AT","Austria","EURO",668,7697,16,68
"2020-03-29","AT","Austria","EURO",594,8291,0,68
"2020-03-30","AT","Austria","EURO",522,8813,18,86
"2020-03-31","AT","Austria","EURO",805,9618,22,108
"2020-04-01","AT","Austria","EURO",564,10182,20,128
"2020-04-02","AT","Austria","EURO",529,10711,18,146
"2020-04-03","AT","Austria","EURO",418,11129,12,158
"2020-04-04","AT","Austria","EURO",396,11525,10,168
"2020-04-05","AT","Austria","EURO",241,11766,18,186
"2020-04-06","AT","Austria","EURO",217,11983,18,204
"2020-04-07","AT","Austria","EURO",314,12297,16,220
"2020-04-08","AT","Austria","EURO",343,12640,23,243
"2020-04-09","AT","Austria","EURO",329,12969,30,273
"2020-04-10","AT","Austria","EURO",279,13248,22,295
"2020-04-11","AT","Austria","EURO",312,13560,24,319
"2020-04-12","AT","Austria","EURO",247,13807,18,337
"2020-04-13","AT","Austria","EURO",130,13937,13,350
"2020-04-14","AT","Austria","EURO",106,14043,18,368
"2020-04-15","AT","Austria","EURO",191,14234,16,384
"2020-04-16","AT","Austria","EURO",136,14370,9,393
"2020-04-17","AT","Austria","EURO",78,14448,17,410
"2020-04-18","AT","Austria","EURO",155,14603,21,431
"2020-04-19","AT","Austria","EURO",59,14662,12,443
"2020-04-20","AT","Austria","EURO",48,14710,9,452
"2020-04-21","AT","Austria","EURO",73,14783,10,462
"2020-04-22","AT","Austria","EURO",50,14833,1,463
"2020-04-23","AT","Austria","EURO",91,14924,31,494
"2020-04-24","AT","Austria","EURO",61,14985,14,508
"2020-04-25","AT","Austria","EURO",83,15068,5,513
"2020-04-26","AT","Austria","EURO",66,15134,23,536
"2020-04-27","AT","Austria","EURO",55,15189,6,542
"2020-04-28","AT","Austria","EURO",67,15256,7,549
"2020-04-29","AT","Austria","EURO",58,15314,20,569
"2020-04-30","AT","Austria","EURO",50,15364,11,580
"2020-05-01","AT","Austria","EURO",60,15424,4,584
"2020-05-02","AT","Austria","EURO",34,15458,5,589
"2020-05-03","AT","Austria","EURO",12,15470,7,596
"2020-05-04","AT","Austria","EURO",68,15538,2,598
"2020-05-05","AT","Austria","EURO",31,15569,2,600
"2020-05-06","AT","Austria","EURO",17,15586,6,606
"2020-05-07","AT","Austria","EURO",65,15651,2,608
"2020-05-08","AT","Austria","EURO",22,15673,1,609
"2020-05-09","AT","Austria","EURO",62,15735,5,614
"2020-05-10","AT","Austria","EURO",42,15777,1,615
"2020-05-11","AT","Austria","EURO",10,15787,3,618
"2020-05-12","AT","Austria","EURO",87,15874,2,620
"2020-05-13","AT","Austria","EURO",36,15910,3,623
"2020-05-14","AT","Austria","EURO",54,15964,1,624
"2020-05-15","AT","Austria","EURO",41,16005,2,626
"2020-05-16","AT","Austria","EURO",63,16068,2,628
"2020-05-17","AT","Austria","EURO",72,16140,0,628
"2020-05-18","AT","Austria","EURO",14,16154,1,629
"2020-05-19","AT","Austria","EURO",25,16179,0,629
"2020-05-20","AT","Austria","EURO",78,16257,3,632
"2020-05-21","AT","Austria","EURO",18,16275,1,633
"2020-05-22","AT","Austria","EURO",57,16332,0,633
"2020-05-23","AT","Austria","EURO",29,16361,2,635
"2020-05-24","AT","Austria","EURO",46,16407,4,639
"2020-05-25","AT","Austria","EURO",32,16439,1,640
"2020-05-26","AT","Austria","EURO",20,16459,1,641
"2020-05-27","AT","Austria","EURO",38,16497,2,643
"2020-05-28","AT","Austria","EURO",18,16515,2,645
"2020-05-29","AT","Austria","EURO",28,16543,23,668
"2020-05-30","AT","Austria","EURO",51,16594,0,668
"2020-05-31","AT","Austria","EURO",44,16638,0,668
"2020-06-01","AT","Austria","EURO",4,16642,0,668
"2020-06-02","AT","Austria","EURO",21,16663,0,668
"2020-06-03","AT","Austria","EURO",11,16674,1,669
"2020-06-04","AT","Austria","EURO",31,16705,1,670
"2020-06-05","AT","Austria","EURO",36,16741,0,670
"2020-06-06","AT","Austria","EURO",62,16803,2,672
"2020-06-07","AT","Austria","EURO",19,16822,0,672
"2020-06-08","AT","Austria","EURO",46,16868,0,672
"2020-06-09","AT","Austria","EURO",21,16889,0,672
"2020-06-10","AT","Austria","EURO",13,16902,0,672
"2020-06-11","AT","Austria","EURO",34,16936,1,673
"2020-06-12","AT","Austria","EURO",28,16964,1,674
"2020-06-13","AT","Austria","EURO",30,16994,1,675
"2020-06-14","AT","Austria","EURO",20,17014,2,677
"2020-06-15","AT","Austria","EURO",24,17038,0,677
"2020-06-16","AT","Austria","EURO",27,17065,1,678
"2020-06-17","AT","Austria","EURO",33,17098,3,681
"2020-06-18","AT","Austria","EURO",17,17115,6,687
"2020-06-19","AT","Austria","EURO",40,17155,1,688
"2020-06-20","AT","Austria","EURO",30,17185,0,688
"2020-06-21","AT","Austria","EURO",62,17247,0,688
"2020-06-22","AT","Austria","EURO",38,17285,2,690
"2020-06-23","AT","Austria","EURO",35,17320,0,690
"2020-06-24","AT","Austria","EURO",31,17351,3,693
"2020-06-25","AT","Austria","EURO",33,17384,0,693
"2020-06-26","AT","Austria","EURO",47,17431,5,698
"2020-06-27","AT","Austria","EURO",67,17498,0,698
"2020-06-28","AT","Austria","EURO",64,17562,2,700
"2020-06-29","AT","Austria","EURO",63,17625,2,702
"2020-06-30","AT","Austria","EURO",41,17666,1,703
"2020-07-01","AT","Austria","EURO",111,17777,2,705
"2020-07-02","AT","Austria","EURO",37,17814,0,705
"2020-07-03","AT","Austria","EURO",138,17952,0,705
"2020-07-04","AT","Austria","EURO",121,18073,0,705
"2020-07-05","AT","Austria","EURO",123,18196,0,705
"2020-07-06","AT","Austria","EURO",73,18269,1,706
"2020-07-07","AT","Austria","EURO",57,18326,0,706
"2020-07-08","AT","Austria","EURO",89,18415,0,706
"2020-07-09","AT","Austria","EURO",101,18516,0,706
"2020-07-10","AT","Austria","EURO",97,18613,0,706
"2020-07-11","AT","Austria","EURO",74,18687,0,706
"2020-07-12","AT","Austria","EURO",108,18795,0,706
"2020-07-13","AT","Austria","EURO",52,18847,2,708
"2020-07-14","AT","Austria","EURO",12,18859,0,708
"2020-07-15","AT","Austria","EURO",201,19060,1,709
"2020-07-16","AT","Austria","EURO",55,19115,1,710
"2020-07-17","AT","Austria","EURO",153,19268,0,710
"2020-07-18","AT","Austria","EURO",138,19406,0,710
"2020-07-19","AT","Austria","EURO",102,19508,0,710
"2020-07-20","AT","Austria","EURO",63,19571,0,710
"2020-07-21","AT","Austria","EURO",108,19679,0,710
"2020-07-22","AT","Austria","EURO",139,19818,0,710
"2020-07-23","AT","Austria","EURO",140,19958,1,711
"2020-07-24","AT","Austria","EURO",164,20122,0,711
