"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-04","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-05","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-06","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-07","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-08","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-09","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-10","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-11","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-12","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-13","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-14","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-15","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-16","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-17","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-18","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-19","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-20","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-21","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-22","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-23","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-24","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-25","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-26","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-27","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-28","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-29","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-30","AZ","Azerbaijan","EURO",0,0,0,0
"2020-01-31","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-01","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-02","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-03","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-04","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-05","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-06","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-07","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-08","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-09","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-10","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-11","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-12","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-13","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-14","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-15","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-16","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-17","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-18","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-19","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-20","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-21","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-22","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-23","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-24","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-25","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-26","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-27","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-28","AZ","Azerbaijan","EURO",0,0,0,0
"2020-02-29","AZ","Azerbaijan","EURO",1,1,0,0
"2020-03-01","AZ","Azerbaijan","EURO",2,3,0,0
"2020-03-02","AZ","Azerbaijan","EURO",0,3,0,0
"2020-03-03","AZ","Azerbaijan","EURO",0,3,0,0
"2020-03-04","AZ","Azerbaijan","EURO",0,3,0,0
"2020-03-05","AZ","Azerbaijan","EURO",0,3,0,0
"2020-03-06","AZ","Azerbaijan","EURO",3,6,0,0
"2020-03-07","AZ","Azerbaijan","EURO",3,9,0,0
"2020-03-08","AZ","Azerbaijan","EURO",0,9,0,0
"2020-03-09","AZ","Azerbaijan","EURO",0,9,0,0
"2020-03-10","AZ","Azerbaijan","EURO",0,9,0,0
"2020-03-11","AZ","Azerbaijan","EURO",0,9,0,0
"2020-03-12","AZ","Azerbaijan","EURO",0,9,0,0
"2020-03-13","AZ","Azerbaijan","EURO",2,11,0,0
"2020-03-14","AZ","Azerbaijan","EURO",0,11,0,0
"2020-03-15","AZ","Azerbaijan","EURO",8,19,0,0
"2020-03-16","AZ","Azerbaijan","EURO",0,19,0,0
"2020-03-17","AZ","Azerbaijan","EURO",0,19,0,0
"2020-03-18","AZ","Azerbaijan","EURO",9,28,0,0
