"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BS","Bahamas","AMRO",0,0,0,0
"2020-01-04","BS","Bahamas","AMRO",0,0,0,0
"2020-01-05","BS","Bahamas","AMRO",0,0,0,0
"2020-01-06","BS","Bahamas","AMRO",0,0,0,0
"2020-01-07","BS","Bahamas","AMRO",0,0,0,0
"2020-01-08","BS","Bahamas","AMRO",0,0,0,0
"2020-01-09","BS","Bahamas","AMRO",0,0,0,0
"2020-01-10","BS","Bahamas","AMRO",0,0,0,0
"2020-01-11","BS","Bahamas","AMRO",0,0,0,0
"2020-01-12","BS","Bahamas","AMRO",0,0,0,0
"2020-01-13","BS","Bahamas","AMRO",0,0,0,0
"2020-01-14","BS","Bahamas","AMRO",0,0,0,0
"2020-01-15","BS","Bahamas","AMRO",0,0,0,0
"2020-01-16","BS","Bahamas","AMRO",0,0,0,0
"2020-01-17","BS","Bahamas","AMRO",0,0,0,0
"2020-01-18","BS","Bahamas","AMRO",0,0,0,0
"2020-01-19","BS","Bahamas","AMRO",0,0,0,0
"2020-01-20","BS","Bahamas","AMRO",0,0,0,0
"2020-01-21","BS","Bahamas","AMRO",0,0,0,0
"2020-01-22","BS","Bahamas","AMRO",0,0,0,0
"2020-01-23","BS","Bahamas","AMRO",0,0,0,0
"2020-01-24","BS","Bahamas","AMRO",0,0,0,0
"2020-01-25","BS","Bahamas","AMRO",0,0,0,0
"2020-01-26","BS","Bahamas","AMRO",0,0,0,0
"2020-01-27","BS","Bahamas","AMRO",0,0,0,0
"2020-01-28","BS","Bahamas","AMRO",0,0,0,0
"2020-01-29","BS","Bahamas","AMRO",0,0,0,0
"2020-01-30","BS","Bahamas","AMRO",0,0,0,0
"2020-01-31","BS","Bahamas","AMRO",0,0,0,0
"2020-02-01","BS","Bahamas","AMRO",0,0,0,0
"2020-02-02","BS","Bahamas","AMRO",0,0,0,0
"2020-02-03","BS","Bahamas","AMRO",0,0,0,0
"2020-02-04","BS","Bahamas","AMRO",0,0,0,0
"2020-02-05","BS","Bahamas","AMRO",0,0,0,0
"2020-02-06","BS","Bahamas","AMRO",0,0,0,0
"2020-02-07","BS","Bahamas","AMRO",0,0,0,0
"2020-02-08","BS","Bahamas","AMRO",0,0,0,0
"2020-02-09","BS","Bahamas","AMRO",0,0,0,0
"2020-02-10","BS","Bahamas","AMRO",0,0,0,0
"2020-02-11","BS","Bahamas","AMRO",0,0,0,0
"2020-02-12","BS","Bahamas","AMRO",0,0,0,0
"2020-02-13","BS","Bahamas","AMRO",0,0,0,0
"2020-02-14","BS","Bahamas","AMRO",0,0,0,0
"2020-02-15","BS","Bahamas","AMRO",0,0,0,0
"2020-02-16","BS","Bahamas","AMRO",0,0,0,0
"2020-02-17","BS","Bahamas","AMRO",0,0,0,0
"2020-02-18","BS","Bahamas","AMRO",0,0,0,0
"2020-02-19","BS","Bahamas","AMRO",0,0,0,0
"2020-02-20","BS","Bahamas","AMRO",0,0,0,0
"2020-02-21","BS","Bahamas","AMRO",0,0,0,0
"2020-02-22","BS","Bahamas","AMRO",0,0,0,0
"2020-02-23","BS","Bahamas","AMRO",0,0,0,0
"2020-02-24","BS","Bahamas","AMRO",0,0,0,0
"2020-02-25","BS","Bahamas","AMRO",0,0,0,0
