"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BH","Bahrain","EMRO",0,0,0,0
"2020-01-04","BH","Bahrain","EMRO",0,0,0,0
"2020-01-05","BH","Bahrain","EMRO",0,0,0,0
"2020-01-06","BH","Bahrain","EMRO",0,0,0,0
"2020-01-07","BH","Bahrain","EMRO",0,0,0,0
"2020-01-08","BH","Bahrain","EMRO",0,0,0,0
"2020-01-09","BH","Bahrain","EMRO",0,0,0,0
"2020-01-10","BH","Bahrain","EMRO",0,0,0,0
"2020-01-11","BH","Bahrain","EMRO",0,0,0,0
"2020-01-12","BH","Bahrain","EMRO",0,0,0,0
"2020-01-13","BH","Bahrain","EMRO",0,0,0,0
"2020-01-14","BH","Bahrain","EMRO",0,0,0,0
"2020-01-15","BH","Bahrain","EMRO",0,0,0,0
"2020-01-16","BH","Bahrain","EMRO",0,0,0,0
"2020-01-17","BH","Bahrain","EMRO",0,0,0,0
"2020-01-18","BH","Bahrain","EMRO",0,0,0,0
"2020-01-19","BH","Bahrain","EMRO",0,0,0,0
"2020-01-20","BH","Bahrain","EMRO",0,0,0,0
"2020-01-21","BH","Bahrain","EMRO",0,0,0,0
"2020-01-22","BH","Bahrain","EMRO",0,0,0,0
"2020-01-23","BH","Bahrain","EMRO",0,0,0,0
"2020-01-24","BH","Bahrain","EMRO",0,0,0,0
"2020-01-25","BH","Bahrain","EMRO",0,0,0,0
"2020-01-26","BH","Bahrain","EMRO",0,0,0,0
"2020-01-27","BH","Bahrain","EMRO",0,0,0,0
"2020-01-28","BH","Bahrain","EMRO",0,0,0,0
"2020-01-29","BH","Bahrain","EMRO",0,0,0,0
"2020-01-30","BH","Bahrain","EMRO",0,0,0,0
"2020-01-31","BH","Bahrain","EMRO",0,0,0,0
"2020-02-01","BH","Bahrain","EMRO",0,0,0,0
"2020-02-02","BH","Bahrain","EMRO",0,0,0,0
"2020-02-03","BH","Bahrain","EMRO",0,0,0,0
"2020-02-04","BH","Bahrain","EMRO",0,0,0,0
"2020-02-05","BH","Bahrain","EMRO",0,0,0,0
"2020-02-06","BH","Bahrain","EMRO",0,0,0,0
"2020-02-07","BH","Bahrain","EMRO",0,0,0,0
"2020-02-08","BH","Bahrain","EMRO",0,0,0,0
"2020-02-09","BH","Bahrain","EMRO",0,0,0,0
"2020-02-10","BH","Bahrain","EMRO",0,0,0,0
"2020-02-11","BH","Bahrain","EMRO",0,0,0,0
"2020-02-12","BH","Bahrain","EMRO",0,0,0,0
"2020-02-13","BH","Bahrain","EMRO",0,0,0,0
"2020-02-14","BH","Bahrain","EMRO",0,0,0,0
"2020-02-15","BH","Bahrain","EMRO",0,0,0,0
"2020-02-16","BH","Bahrain","EMRO",0,0,0,0
"2020-02-17","BH","Bahrain","EMRO",0,0,0,0
"2020-02-18","BH","Bahrain","EMRO",0,0,0,0
"2020-02-19","BH","Bahrain","EMRO",0,0,0,0
"2020-02-20","BH","Bahrain","EMRO",0,0,0,0
"2020-02-21","BH","Bahrain","EMRO",0,0,0,0
"2020-02-22","BH","Bahrain","EMRO",0,0,0,0
"2020-02-23","BH","Bahrain","EMRO",0,0,0,0
"2020-02-24","BH","Bahrain","EMRO",6,6,0,0
"2020-02-25","BH","Bahrain","EMRO",15,21,0,0
"2020-02-26","BH","Bahrain","EMRO",16,37,0,0
"2020-02-27","BH","Bahrain","EMRO",0,37,0,0
"2020-02-28","BH","Bahrain","EMRO",5,42,0,0
"2020-02-29","BH","Bahrain","EMRO",2,44,0,0
"2020-03-01","BH","Bahrain","EMRO",0,44,0,0
"2020-03-02","BH","Bahrain","EMRO",9,53,0,0
"2020-03-03","BH","Bahrain","EMRO",0,53,0,0
"2020-03-04","BH","Bahrain","EMRO",0,53,0,0
"2020-03-05","BH","Bahrain","EMRO",0,53,0,0
"2020-03-06","BH","Bahrain","EMRO",0,53,0,0
"2020-03-07","BH","Bahrain","EMRO",7,60,0,0
"2020-03-08","BH","Bahrain","EMRO",23,83,0,0
"2020-03-09","BH","Bahrain","EMRO",16,99,0,0
"2020-03-10","BH","Bahrain","EMRO",15,114,0,0
"2020-03-11","BH","Bahrain","EMRO",79,193,0,0
"2020-03-12","BH","Bahrain","EMRO",6,199,0,0
"2020-03-13","BH","Bahrain","EMRO",0,199,0,0
"2020-03-14","BH","Bahrain","EMRO",16,215,0,0
"2020-03-15","BH","Bahrain","EMRO",3,218,0,0
"2020-03-16","BH","Bahrain","EMRO",7,225,1,1
"2020-03-17","BH","Bahrain","EMRO",16,241,0,1
"2020-03-18","BH","Bahrain","EMRO",19,260,0,1
"2020-03-19","BH","Bahrain","EMRO",13,273,0,1
"2020-03-20","BH","Bahrain","EMRO",12,285,0,1
"2020-03-21","BH","Bahrain","EMRO",21,306,0,1
"2020-03-22","BH","Bahrain","EMRO",28,334,1,2
"2020-03-23","BH","Bahrain","EMRO",5,339,0,2
"2020-03-24","BH","Bahrain","EMRO",51,390,1,3
"2020-03-25","BH","Bahrain","EMRO",29,419,0,3
"2020-03-26","BH","Bahrain","EMRO",38,457,1,4
"2020-03-27","BH","Bahrain","EMRO",9,466,0,4
"2020-03-28","BH","Bahrain","EMRO",7,473,0,4
"2020-03-29","BH","Bahrain","EMRO",26,499,0,4
"2020-03-30","BH","Bahrain","EMRO",16,515,0,4
"2020-03-31","BH","Bahrain","EMRO",52,567,0,4
"2020-04-01","BH","Bahrain","EMRO",2,569,0,4
"2020-04-02","BH","Bahrain","EMRO",66,635,0,4
"2020-04-03","BH","Bahrain","EMRO",37,672,0,4
"2020-04-04","BH","Bahrain","EMRO",16,688,0,4
"2020-04-05","BH","Bahrain","EMRO",10,698,0,4
"2020-04-06","BH","Bahrain","EMRO",25,723,0,4
"2020-04-07","BH","Bahrain","EMRO",88,811,0,4
"2020-04-08","BH","Bahrain","EMRO",10,821,1,5
"2020-04-09","BH","Bahrain","EMRO",34,855,0,5
"2020-04-10","BH","Bahrain","EMRO",58,913,1,6
"2020-04-11","BH","Bahrain","EMRO",103,1016,0,6
"2020-04-12","BH","Bahrain","EMRO",71,1087,0,6
"2020-04-13","BH","Bahrain","EMRO",261,1348,0,6
"2020-04-14","BH","Bahrain","EMRO",180,1528,1,7
"2020-04-15","BH","Bahrain","EMRO",143,1671,0,7
"2020-04-16","BH","Bahrain","EMRO",27,1698,0,7
"2020-04-17","BH","Bahrain","EMRO",42,1740,0,7
"2020-04-18","BH","Bahrain","EMRO",27,1767,0,7
"2020-04-19","BH","Bahrain","EMRO",106,1873,0,7
"2020-04-20","BH","Bahrain","EMRO",22,1895,0,7
"2020-04-21","BH","Bahrain","EMRO",57,1952,0,7
"2020-04-22","BH","Bahrain","EMRO",55,2007,0,7
"2020-04-23","BH","Bahrain","EMRO",91,2098,1,8
"2020-04-24","BH","Bahrain","EMRO",408,2506,0,8
"2020-04-25","BH","Bahrain","EMRO",82,2588,0,8
"2020-04-26","BH","Bahrain","EMRO",45,2633,0,8
"2020-04-27","BH","Bahrain","EMRO",75,2708,0,8
"2020-04-28","BH","Bahrain","EMRO",102,2810,0,8
"2020-04-29","BH","Bahrain","EMRO",59,2869,0,8
"2020-04-30","BH","Bahrain","EMRO",168,3037,0,8
"2020-05-01","BH","Bahrain","EMRO",132,3169,0,8
"2020-05-02","BH","Bahrain","EMRO",104,3273,0,8
"2020-05-03","BH","Bahrain","EMRO",83,3356,0,8
"2020-05-04","BH","Bahrain","EMRO",108,3464,0,8
