"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BB","Barbados","AMRO",0,0,0,0
"2020-01-04","BB","Barbados","AMRO",0,0,0,0
"2020-01-05","BB","Barbados","AMRO",0,0,0,0
"2020-01-06","BB","Barbados","AMRO",0,0,0,0
"2020-01-07","BB","Barbados","AMRO",0,0,0,0
"2020-01-08","BB","Barbados","AMRO",0,0,0,0
"2020-01-09","BB","Barbados","AMRO",0,0,0,0
"2020-01-10","BB","Barbados","AMRO",0,0,0,0
"2020-01-11","BB","Barbados","AMRO",0,0,0,0
"2020-01-12","BB","Barbados","AMRO",0,0,0,0
"2020-01-13","BB","Barbados","AMRO",0,0,0,0
"2020-01-14","BB","Barbados","AMRO",0,0,0,0
"2020-01-15","BB","Barbados","AMRO",0,0,0,0
"2020-01-16","BB","Barbados","AMRO",0,0,0,0
"2020-01-17","BB","Barbados","AMRO",0,0,0,0
"2020-01-18","BB","Barbados","AMRO",0,0,0,0
"2020-01-19","BB","Barbados","AMRO",0,0,0,0
"2020-01-20","BB","Barbados","AMRO",0,0,0,0
"2020-01-21","BB","Barbados","AMRO",0,0,0,0
"2020-01-22","BB","Barbados","AMRO",0,0,0,0
"2020-01-23","BB","Barbados","AMRO",0,0,0,0
"2020-01-24","BB","Barbados","AMRO",0,0,0,0
"2020-01-25","BB","Barbados","AMRO",0,0,0,0
"2020-01-26","BB","Barbados","AMRO",0,0,0,0
"2020-01-27","BB","Barbados","AMRO",0,0,0,0
"2020-01-28","BB","Barbados","AMRO",0,0,0,0
"2020-01-29","BB","Barbados","AMRO",0,0,0,0
"2020-01-30","BB","Barbados","AMRO",0,0,0,0
"2020-01-31","BB","Barbados","AMRO",0,0,0,0
"2020-02-01","BB","Barbados","AMRO",0,0,0,0
"2020-02-02","BB","Barbados","AMRO",0,0,0,0
"2020-02-03","BB","Barbados","AMRO",0,0,0,0
"2020-02-04","BB","Barbados","AMRO",0,0,0,0
"2020-02-05","BB","Barbados","AMRO",0,0,0,0
"2020-02-06","BB","Barbados","AMRO",0,0,0,0
"2020-02-07","BB","Barbados","AMRO",0,0,0,0
"2020-02-08","BB","Barbados","AMRO",0,0,0,0
"2020-02-09","BB","Barbados","AMRO",0,0,0,0
"2020-02-10","BB","Barbados","AMRO",0,0,0,0
"2020-02-11","BB","Barbados","AMRO",0,0,0,0
"2020-02-12","BB","Barbados","AMRO",0,0,0,0
"2020-02-13","BB","Barbados","AMRO",0,0,0,0
"2020-02-14","BB","Barbados","AMRO",0,0,0,0
"2020-02-15","BB","Barbados","AMRO",0,0,0,0
"2020-02-16","BB","Barbados","AMRO",0,0,0,0
"2020-02-17","BB","Barbados","AMRO",0,0,0,0
"2020-02-18","BB","Barbados","AMRO",0,0,0,0
"2020-02-19","BB","Barbados","AMRO",0,0,0,0
"2020-02-20","BB","Barbados","AMRO",0,0,0,0
"2020-02-21","BB","Barbados","AMRO",0,0,0,0
"2020-02-22","BB","Barbados","AMRO",0,0,0,0
"2020-02-23","BB","Barbados","AMRO",0,0,0,0
"2020-02-24","BB","Barbados","AMRO",0,0,0,0
"2020-02-25","BB","Barbados","AMRO",0,0,0,0
"2020-02-26","BB","Barbados","AMRO",0,0,0,0
"2020-02-27","BB","Barbados","AMRO",0,0,0,0
"2020-02-28","BB","Barbados","AMRO",0,0,0,0
"2020-02-29","BB","Barbados","AMRO",0,0,0,0
"2020-03-01","BB","Barbados","AMRO",0,0,0,0
"2020-03-02","BB","Barbados","AMRO",0,0,0,0
"2020-03-03","BB","Barbados","AMRO",0,0,0,0
"2020-03-04","BB","Barbados","AMRO",0,0,0,0
"2020-03-05","BB","Barbados","AMRO",0,0,0,0
"2020-03-06","BB","Barbados","AMRO",0,0,0,0
"2020-03-07","BB","Barbados","AMRO",0,0,0,0
"2020-03-08","BB","Barbados","AMRO",0,0,0,0
"2020-03-09","BB","Barbados","AMRO",0,0,0,0
"2020-03-10","BB","Barbados","AMRO",0,0,0,0
"2020-03-11","BB","Barbados","AMRO",0,0,0,0
"2020-03-12","BB","Barbados","AMRO",0,0,0,0
"2020-03-13","BB","Barbados","AMRO",0,0,0,0
"2020-03-14","BB","Barbados","AMRO",0,0,0,0
"2020-03-15","BB","Barbados","AMRO",0,0,0,0
"2020-03-16","BB","Barbados","AMRO",0,0,0,0
"2020-03-17","BB","Barbados","AMRO",0,0,0,0
"2020-03-18","BB","Barbados","AMRO",6,6,0,0
"2020-03-19","BB","Barbados","AMRO",0,6,0,0
"2020-03-20","BB","Barbados","AMRO",-1,5,0,0
"2020-03-21","BB","Barbados","AMRO",0,5,0,0
"2020-03-22","BB","Barbados","AMRO",0,5,0,0
"2020-03-23","BB","Barbados","AMRO",0,5,0,0
"2020-03-24","BB","Barbados","AMRO",13,18,0,0
"2020-03-25","BB","Barbados","AMRO",0,18,0,0
"2020-03-26","BB","Barbados","AMRO",0,18,0,0
"2020-03-27","BB","Barbados","AMRO",0,18,0,0
"2020-03-28","BB","Barbados","AMRO",6,24,0,0
"2020-03-29","BB","Barbados","AMRO",0,24,0,0
"2020-03-30","BB","Barbados","AMRO",2,26,0,0
"2020-03-31","BB","Barbados","AMRO",7,33,0,0
"2020-04-01","BB","Barbados","AMRO",0,33,0,0
"2020-04-02","BB","Barbados","AMRO",0,33,0,0
"2020-04-03","BB","Barbados","AMRO",12,45,0,0
"2020-04-04","BB","Barbados","AMRO",0,45,0,0
"2020-04-05","BB","Barbados","AMRO",6,51,0,0
"2020-04-06","BB","Barbados","AMRO",0,51,0,0
"2020-04-07","BB","Barbados","AMRO",5,56,1,1
"2020-04-08","BB","Barbados","AMRO",4,60,1,2
"2020-04-09","BB","Barbados","AMRO",3,63,1,3
"2020-04-10","BB","Barbados","AMRO",0,63,0,3
"2020-04-11","BB","Barbados","AMRO",3,66,1,4
"2020-04-12","BB","Barbados","AMRO",1,67,0,4
"2020-04-13","BB","Barbados","AMRO",1,68,0,4
"2020-04-14","BB","Barbados","AMRO",3,71,0,4
"2020-04-15","BB","Barbados","AMRO",1,72,0,4
"2020-04-16","BB","Barbados","AMRO",1,73,1,5
"2020-04-17","BB","Barbados","AMRO",2,75,0,5
"2020-04-18","BB","Barbados","AMRO",0,75,0,5
"2020-04-19","BB","Barbados","AMRO",0,75,0,5
"2020-04-20","BB","Barbados","AMRO",0,75,0,5
"2020-04-21","BB","Barbados","AMRO",0,75,0,5
"2020-04-22","BB","Barbados","AMRO",0,75,0,5
"2020-04-23","BB","Barbados","AMRO",0,75,0,5
"2020-04-24","BB","Barbados","AMRO",1,76,1,6
"2020-04-25","BB","Barbados","AMRO",0,76,0,6
"2020-04-26","BB","Barbados","AMRO",1,77,0,6
"2020-04-27","BB","Barbados","AMRO",2,79,0,6
"2020-04-28","BB","Barbados","AMRO",0,79,0,6
"2020-04-29","BB","Barbados","AMRO",1,80,0,6
"2020-04-30","BB","Barbados","AMRO",0,80,0,6
"2020-05-01","BB","Barbados","AMRO",0,80,1,7
"2020-05-02","BB","Barbados","AMRO",1,81,0,7
"2020-05-03","BB","Barbados","AMRO",0,81,0,7
"2020-05-04","BB","Barbados","AMRO",0,81,0,7
"2020-05-05","BB","Barbados","AMRO",1,82,0,7
"2020-05-06","BB","Barbados","AMRO",0,82,0,7
"2020-05-07","BB","Barbados","AMRO",0,82,0,7
"2020-05-08","BB","Barbados","AMRO",0,82,0,7
