"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BY","Belarus","EURO",0,0,0,0
"2020-01-04","BY","Belarus","EURO",0,0,0,0
"2020-01-05","BY","Belarus","EURO",0,0,0,0
"2020-01-06","BY","Belarus","EURO",0,0,0,0
"2020-01-07","BY","Belarus","EURO",0,0,0,0
"2020-01-08","BY","Belarus","EURO",0,0,0,0
"2020-01-09","BY","Belarus","EURO",0,0,0,0
"2020-01-10","BY","Belarus","EURO",0,0,0,0
"2020-01-11","BY","Belarus","EURO",0,0,0,0
"2020-01-12","BY","Belarus","EURO",0,0,0,0
"2020-01-13","BY","Belarus","EURO",0,0,0,0
"2020-01-14","BY","Belarus","EURO",0,0,0,0
"2020-01-15","BY","Belarus","EURO",0,0,0,0
"2020-01-16","BY","Belarus","EURO",0,0,0,0
"2020-01-17","BY","Belarus","EURO",0,0,0,0
"2020-01-18","BY","Belarus","EURO",0,0,0,0
"2020-01-19","BY","Belarus","EURO",0,0,0,0
"2020-01-20","BY","Belarus","EURO",0,0,0,0
"2020-01-21","BY","Belarus","EURO",0,0,0,0
"2020-01-22","BY","Belarus","EURO",0,0,0,0
"2020-01-23","BY","Belarus","EURO",0,0,0,0
"2020-01-24","BY","Belarus","EURO",0,0,0,0
"2020-01-25","BY","Belarus","EURO",0,0,0,0
"2020-01-26","BY","Belarus","EURO",0,0,0,0
"2020-01-27","BY","Belarus","EURO",0,0,0,0
"2020-01-28","BY","Belarus","EURO",0,0,0,0
"2020-01-29","BY","Belarus","EURO",0,0,0,0
"2020-01-30","BY","Belarus","EURO",0,0,0,0
"2020-01-31","BY","Belarus","EURO",0,0,0,0
"2020-02-01","BY","Belarus","EURO",0,0,0,0
"2020-02-02","BY","Belarus","EURO",0,0,0,0
"2020-02-03","BY","Belarus","EURO",0,0,0,0
"2020-02-04","BY","Belarus","EURO",0,0,0,0
"2020-02-05","BY","Belarus","EURO",0,0,0,0
"2020-02-06","BY","Belarus","EURO",0,0,0,0
"2020-02-07","BY","Belarus","EURO",0,0,0,0
"2020-02-08","BY","Belarus","EURO",0,0,0,0
"2020-02-09","BY","Belarus","EURO",0,0,0,0
"2020-02-10","BY","Belarus","EURO",0,0,0,0
"2020-02-11","BY","Belarus","EURO",0,0,0,0
"2020-02-12","BY","Belarus","EURO",0,0,0,0
"2020-02-13","BY","Belarus","EURO",0,0,0,0
"2020-02-14","BY","Belarus","EURO",0,0,0,0
"2020-02-15","BY","Belarus","EURO",0,0,0,0
"2020-02-16","BY","Belarus","EURO",0,0,0,0
"2020-02-17","BY","Belarus","EURO",0,0,0,0
"2020-02-18","BY","Belarus","EURO",0,0,0,0
"2020-02-19","BY","Belarus","EURO",0,0,0,0
"2020-02-20","BY","Belarus","EURO",0,0,0,0
"2020-02-21","BY","Belarus","EURO",0,0,0,0
"2020-02-22","BY","Belarus","EURO",0,0,0,0
"2020-02-23","BY","Belarus","EURO",0,0,0,0
"2020-02-24","BY","Belarus","EURO",0,0,0,0
"2020-02-25","BY","Belarus","EURO",0,0,0,0
"2020-02-26","BY","Belarus","EURO",0,0,0,0
"2020-02-27","BY","Belarus","EURO",0,0,0,0
"2020-02-28","BY","Belarus","EURO",0,0,0,0
"2020-02-29","BY","Belarus","EURO",1,1,0,0
"2020-03-01","BY","Belarus","EURO",0,1,0,0
"2020-03-02","BY","Belarus","EURO",0,1,0,0
"2020-03-03","BY","Belarus","EURO",0,1,0,0
"2020-03-04","BY","Belarus","EURO",0,1,0,0
"2020-03-05","BY","Belarus","EURO",5,6,0,0
"2020-03-06","BY","Belarus","EURO",0,6,0,0
"2020-03-07","BY","Belarus","EURO",0,6,0,0
"2020-03-08","BY","Belarus","EURO",0,6,0,0
"2020-03-09","BY","Belarus","EURO",0,6,0,0
"2020-03-10","BY","Belarus","EURO",0,6,0,0
"2020-03-11","BY","Belarus","EURO",3,9,0,0
"2020-03-12","BY","Belarus","EURO",3,12,0,0
"2020-03-13","BY","Belarus","EURO",0,12,0,0
"2020-03-14","BY","Belarus","EURO",9,21,0,0
"2020-03-15","BY","Belarus","EURO",0,21,0,0
"2020-03-16","BY","Belarus","EURO",0,21,0,0
"2020-03-17","BY","Belarus","EURO",15,36,0,0
"2020-03-18","BY","Belarus","EURO",0,36,0,0
"2020-03-19","BY","Belarus","EURO",0,36,0,0
"2020-03-20","BY","Belarus","EURO",0,36,0,0
"2020-03-21","BY","Belarus","EURO",0,36,0,0
"2020-03-22","BY","Belarus","EURO",40,76,0,0
"2020-03-23","BY","Belarus","EURO",5,81,0,0
"2020-03-24","BY","Belarus","EURO",0,81,0,0
"2020-03-25","BY","Belarus","EURO",0,81,0,0
"2020-03-26","BY","Belarus","EURO",5,86,0,0
"2020-03-27","BY","Belarus","EURO",8,94,0,0
"2020-03-28","BY","Belarus","EURO",0,94,0,0
"2020-03-29","BY","Belarus","EURO",0,94,0,0
"2020-03-30","BY","Belarus","EURO",0,94,0,0
"2020-03-31","BY","Belarus","EURO",58,152,0,0
"2020-04-01","BY","Belarus","EURO",40,192,2,2
"2020-04-02","BY","Belarus","EURO",0,192,0,2
"2020-04-03","BY","Belarus","EURO",62,254,2,4
"2020-04-04","BY","Belarus","EURO",0,254,0,4
"2020-04-05","BY","Belarus","EURO",186,440,0,4
"2020-04-06","BY","Belarus","EURO",122,562,4,8
"2020-04-07","BY","Belarus","EURO",138,700,5,13
"2020-04-08","BY","Belarus","EURO",161,861,0,13
"2020-04-09","BY","Belarus","EURO",205,1066,0,13
"2020-04-10","BY","Belarus","EURO",0,1066,0,13
"2020-04-11","BY","Belarus","EURO",915,1981,6,19
"2020-04-12","BY","Belarus","EURO",245,2226,4,23
"2020-04-13","BY","Belarus","EURO",352,2578,3,26
"2020-04-14","BY","Belarus","EURO",341,2919,3,29
"2020-04-15","BY","Belarus","EURO",362,3281,4,33
"2020-04-16","BY","Belarus","EURO",447,3728,3,36
"2020-04-17","BY","Belarus","EURO",476,4204,4,40
"2020-04-18","BY","Belarus","EURO",575,4779,3,43
"2020-04-19","BY","Belarus","EURO",510,5289,2,45
"2020-04-20","BY","Belarus","EURO",518,5807,2,47
"2020-04-21","BY","Belarus","EURO",457,6264,4,51
"2020-04-22","BY","Belarus","EURO",459,6723,4,55
"2020-04-23","BY","Belarus","EURO",558,7281,5,60
"2020-04-24","BY","Belarus","EURO",741,8022,0,60
"2020-04-25","BY","Belarus","EURO",751,8773,3,63
"2020-04-26","BY","Belarus","EURO",817,9590,4,67
"2020-04-27","BY","Belarus","EURO",873,10463,5,72
"2020-04-28","BY","Belarus","EURO",1745,12208,7,79
"2020-04-29","BY","Belarus","EURO",0,12208,0,79
"2020-04-30","BY","Belarus","EURO",973,13181,5,84
"2020-05-01","BY","Belarus","EURO",846,14027,5,89
"2020-05-02","BY","Belarus","EURO",890,14917,4,93
"2020-05-03","BY","Belarus","EURO",911,15828,4,97
"2020-05-04","BY","Belarus","EURO",1661,17489,6,103
"2020-05-05","BY","Belarus","EURO",0,17489,0,103
"2020-05-06","BY","Belarus","EURO",1766,19255,9,112
"2020-05-07","BY","Belarus","EURO",0,19255,0,112
