"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BE","Belgium","EURO",0,0,0,0
"2020-01-04","BE","Belgium","EURO",0,0,0,0
"2020-01-05","BE","Belgium","EURO",0,0,0,0
"2020-01-06","BE","Belgium","EURO",0,0,0,0
"2020-01-07","BE","Belgium","EURO",0,0,0,0
"2020-01-08","BE","Belgium","EURO",0,0,0,0
"2020-01-09","BE","Belgium","EURO",0,0,0,0
"2020-01-10","BE","Belgium","EURO",0,0,0,0
"2020-01-11","BE","Belgium","EURO",0,0,0,0
"2020-01-12","BE","Belgium","EURO",0,0,0,0
"2020-01-13","BE","Belgium","EURO",0,0,0,0
"2020-01-14","BE","Belgium","EURO",0,0,0,0
"2020-01-15","BE","Belgium","EURO",0,0,0,0
"2020-01-16","BE","Belgium","EURO",0,0,0,0
"2020-01-17","BE","Belgium","EURO",0,0,0,0
"2020-01-18","BE","Belgium","EURO",0,0,0,0
"2020-01-19","BE","Belgium","EURO",0,0,0,0
"2020-01-20","BE","Belgium","EURO",0,0,0,0
"2020-01-21","BE","Belgium","EURO",0,0,0,0
"2020-01-22","BE","Belgium","EURO",0,0,0,0
"2020-01-23","BE","Belgium","EURO",0,0,0,0
"2020-01-24","BE","Belgium","EURO",0,0,0,0
"2020-01-25","BE","Belgium","EURO",0,0,0,0
"2020-01-26","BE","Belgium","EURO",0,0,0,0
"2020-01-27","BE","Belgium","EURO",0,0,0,0
"2020-01-28","BE","Belgium","EURO",0,0,0,0
"2020-01-29","BE","Belgium","EURO",0,0,0,0
"2020-01-30","BE","Belgium","EURO",0,0,0,0
"2020-01-31","BE","Belgium","EURO",0,0,0,0
"2020-02-01","BE","Belgium","EURO",0,0,0,0
"2020-02-02","BE","Belgium","EURO",0,0,0,0
"2020-02-03","BE","Belgium","EURO",0,0,0,0
"2020-02-04","BE","Belgium","EURO",1,1,0,0
"2020-02-05","BE","Belgium","EURO",0,1,0,0
"2020-02-06","BE","Belgium","EURO",0,1,0,0
"2020-02-07","BE","Belgium","EURO",0,1,0,0
"2020-02-08","BE","Belgium","EURO",0,1,0,0
"2020-02-09","BE","Belgium","EURO",0,1,0,0
"2020-02-10","BE","Belgium","EURO",0,1,0,0
"2020-02-11","BE","Belgium","EURO",0,1,0,0
"2020-02-12","BE","Belgium","EURO",0,1,0,0
"2020-02-13","BE","Belgium","EURO",0,1,0,0
"2020-02-14","BE","Belgium","EURO",0,1,0,0
"2020-02-15","BE","Belgium","EURO",0,1,0,0
"2020-02-16","BE","Belgium","EURO",0,1,0,0
"2020-02-17","BE","Belgium","EURO",0,1,0,0
"2020-02-18","BE","Belgium","EURO",0,1,0,0
"2020-02-19","BE","Belgium","EURO",0,1,0,0
"2020-02-20","BE","Belgium","EURO",0,1,0,0
"2020-02-21","BE","Belgium","EURO",0,1,0,0
"2020-02-22","BE","Belgium","EURO",0,1,0,0
"2020-02-23","BE","Belgium","EURO",0,1,0,0
"2020-02-24","BE","Belgium","EURO",0,1,0,0
"2020-02-25","BE","Belgium","EURO",0,1,0,0
"2020-02-26","BE","Belgium","EURO",0,1,0,0
"2020-02-27","BE","Belgium","EURO",0,1,0,0
"2020-02-28","BE","Belgium","EURO",0,1,0,0
"2020-02-29","BE","Belgium","EURO",0,1,0,0
"2020-03-01","BE","Belgium","EURO",0,1,0,0
"2020-03-02","BE","Belgium","EURO",18,19,0,0
"2020-03-03","BE","Belgium","EURO",19,38,0,0
"2020-03-04","BE","Belgium","EURO",34,72,0,0
"2020-03-05","BE","Belgium","EURO",53,125,0,0
"2020-03-06","BE","Belgium","EURO",81,206,0,0
"2020-03-07","BE","Belgium","EURO",110,316,0,0
"2020-03-08","BE","Belgium","EURO",27,343,0,0
"2020-03-09","BE","Belgium","EURO",64,407,0,0
"2020-03-10","BE","Belgium","EURO",94,501,1,1
"2020-03-11","BE","Belgium","EURO",99,600,0,1
"2020-03-12","BE","Belgium","EURO",310,910,3,4
"2020-03-13","BE","Belgium","EURO",251,1161,1,5
"2020-03-14","BE","Belgium","EURO",338,1499,3,8
"2020-03-15","BE","Belgium","EURO",179,1678,5,13
"2020-03-16","BE","Belgium","EURO",214,1892,6,19
"2020-03-17","BE","Belgium","EURO",387,2279,12,31
"2020-03-18","BE","Belgium","EURO",422,2701,10,41
"2020-03-19","BE","Belgium","EURO",535,3236,22,63
"2020-03-20","BE","Belgium","EURO",713,3949,33,96
"2020-03-21","BE","Belgium","EURO",662,4611,35,131
"2020-03-22","BE","Belgium","EURO",469,5080,40,171
"2020-03-23","BE","Belgium","EURO",486,5566,47,218
"2020-03-24","BE","Belgium","EURO",1328,6894,78,296
