"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BZ","Belize","AMRO",0,0,0,0
"2020-01-04","BZ","Belize","AMRO",0,0,0,0
"2020-01-05","BZ","Belize","AMRO",0,0,0,0
"2020-01-06","BZ","Belize","AMRO",0,0,0,0
"2020-01-07","BZ","Belize","AMRO",0,0,0,0
"2020-01-08","BZ","Belize","AMRO",0,0,0,0
"2020-01-09","BZ","Belize","AMRO",0,0,0,0
"2020-01-10","BZ","Belize","AMRO",0,0,0,0
"2020-01-11","BZ","Belize","AMRO",0,0,0,0
"2020-01-12","BZ","Belize","AMRO",0,0,0,0
"2020-01-13","BZ","Belize","AMRO",0,0,0,0
"2020-01-14","BZ","Belize","AMRO",0,0,0,0
"2020-01-15","BZ","Belize","AMRO",0,0,0,0
"2020-01-16","BZ","Belize","AMRO",0,0,0,0
"2020-01-17","BZ","Belize","AMRO",0,0,0,0
"2020-01-18","BZ","Belize","AMRO",0,0,0,0
"2020-01-19","BZ","Belize","AMRO",0,0,0,0
"2020-01-20","BZ","Belize","AMRO",0,0,0,0
"2020-01-21","BZ","Belize","AMRO",0,0,0,0
"2020-01-22","BZ","Belize","AMRO",0,0,0,0
"2020-01-23","BZ","Belize","AMRO",0,0,0,0
"2020-01-24","BZ","Belize","AMRO",0,0,0,0
"2020-01-25","BZ","Belize","AMRO",0,0,0,0
"2020-01-26","BZ","Belize","AMRO",0,0,0,0
"2020-01-27","BZ","Belize","AMRO",0,0,0,0
"2020-01-28","BZ","Belize","AMRO",0,0,0,0
"2020-01-29","BZ","Belize","AMRO",0,0,0,0
"2020-01-30","BZ","Belize","AMRO",0,0,0,0
"2020-01-31","BZ","Belize","AMRO",0,0,0,0
"2020-02-01","BZ","Belize","AMRO",0,0,0,0
"2020-02-02","BZ","Belize","AMRO",0,0,0,0
"2020-02-03","BZ","Belize","AMRO",0,0,0,0
"2020-02-04","BZ","Belize","AMRO",0,0,0,0
"2020-02-05","BZ","Belize","AMRO",0,0,0,0
"2020-02-06","BZ","Belize","AMRO",0,0,0,0
"2020-02-07","BZ","Belize","AMRO",0,0,0,0
"2020-02-08","BZ","Belize","AMRO",0,0,0,0
"2020-02-09","BZ","Belize","AMRO",0,0,0,0
"2020-02-10","BZ","Belize","AMRO",0,0,0,0
"2020-02-11","BZ","Belize","AMRO",0,0,0,0
"2020-02-12","BZ","Belize","AMRO",0,0,0,0
"2020-02-13","BZ","Belize","AMRO",0,0,0,0
"2020-02-14","BZ","Belize","AMRO",0,0,0,0
"2020-02-15","BZ","Belize","AMRO",0,0,0,0
"2020-02-16","BZ","Belize","AMRO",0,0,0,0
"2020-02-17","BZ","Belize","AMRO",0,0,0,0
"2020-02-18","BZ","Belize","AMRO",0,0,0,0
"2020-02-19","BZ","Belize","AMRO",0,0,0,0
"2020-02-20","BZ","Belize","AMRO",0,0,0,0
"2020-02-21","BZ","Belize","AMRO",0,0,0,0
"2020-02-22","BZ","Belize","AMRO",0,0,0,0
"2020-02-23","BZ","Belize","AMRO",0,0,0,0
"2020-02-24","BZ","Belize","AMRO",0,0,0,0
