"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BJ","Benin","AFRO",0,0,0,0
"2020-01-04","BJ","Benin","AFRO",0,0,0,0
"2020-01-05","BJ","Benin","AFRO",0,0,0,0
"2020-01-06","BJ","Benin","AFRO",0,0,0,0
"2020-01-07","BJ","Benin","AFRO",0,0,0,0
"2020-01-08","BJ","Benin","AFRO",0,0,0,0
"2020-01-09","BJ","Benin","AFRO",0,0,0,0
"2020-01-10","BJ","Benin","AFRO",0,0,0,0
"2020-01-11","BJ","Benin","AFRO",0,0,0,0
"2020-01-12","BJ","Benin","AFRO",0,0,0,0
"2020-01-13","BJ","Benin","AFRO",0,0,0,0
"2020-01-14","BJ","Benin","AFRO",0,0,0,0
"2020-01-15","BJ","Benin","AFRO",0,0,0,0
"2020-01-16","BJ","Benin","AFRO",0,0,0,0
"2020-01-17","BJ","Benin","AFRO",0,0,0,0
"2020-01-18","BJ","Benin","AFRO",0,0,0,0
"2020-01-19","BJ","Benin","AFRO",0,0,0,0
"2020-01-20","BJ","Benin","AFRO",0,0,0,0
"2020-01-21","BJ","Benin","AFRO",0,0,0,0
"2020-01-22","BJ","Benin","AFRO",0,0,0,0
"2020-01-23","BJ","Benin","AFRO",0,0,0,0
"2020-01-24","BJ","Benin","AFRO",0,0,0,0
"2020-01-25","BJ","Benin","AFRO",0,0,0,0
"2020-01-26","BJ","Benin","AFRO",0,0,0,0
"2020-01-27","BJ","Benin","AFRO",0,0,0,0
"2020-01-28","BJ","Benin","AFRO",0,0,0,0
"2020-01-29","BJ","Benin","AFRO",0,0,0,0
"2020-01-30","BJ","Benin","AFRO",0,0,0,0
"2020-01-31","BJ","Benin","AFRO",0,0,0,0
"2020-02-01","BJ","Benin","AFRO",0,0,0,0
"2020-02-02","BJ","Benin","AFRO",0,0,0,0
"2020-02-03","BJ","Benin","AFRO",0,0,0,0
"2020-02-04","BJ","Benin","AFRO",0,0,0,0
"2020-02-05","BJ","Benin","AFRO",0,0,0,0
"2020-02-06","BJ","Benin","AFRO",0,0,0,0
"2020-02-07","BJ","Benin","AFRO",0,0,0,0
"2020-02-08","BJ","Benin","AFRO",0,0,0,0
"2020-02-09","BJ","Benin","AFRO",0,0,0,0
"2020-02-10","BJ","Benin","AFRO",0,0,0,0
"2020-02-11","BJ","Benin","AFRO",0,0,0,0
"2020-02-12","BJ","Benin","AFRO",0,0,0,0
"2020-02-13","BJ","Benin","AFRO",0,0,0,0
"2020-02-14","BJ","Benin","AFRO",0,0,0,0
"2020-02-15","BJ","Benin","AFRO",0,0,0,0
"2020-02-16","BJ","Benin","AFRO",0,0,0,0
"2020-02-17","BJ","Benin","AFRO",0,0,0,0
"2020-02-18","BJ","Benin","AFRO",0,0,0,0
"2020-02-19","BJ","Benin","AFRO",0,0,0,0
"2020-02-20","BJ","Benin","AFRO",0,0,0,0
"2020-02-21","BJ","Benin","AFRO",0,0,0,0
"2020-02-22","BJ","Benin","AFRO",0,0,0,0
"2020-02-23","BJ","Benin","AFRO",0,0,0,0
"2020-02-24","BJ","Benin","AFRO",0,0,0,0
"2020-02-25","BJ","Benin","AFRO",0,0,0,0
"2020-02-26","BJ","Benin","AFRO",0,0,0,0
"2020-02-27","BJ","Benin","AFRO",0,0,0,0
"2020-02-28","BJ","Benin","AFRO",0,0,0,0
"2020-02-29","BJ","Benin","AFRO",0,0,0,0
"2020-03-01","BJ","Benin","AFRO",0,0,0,0
"2020-03-02","BJ","Benin","AFRO",0,0,0,0
