"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BM","Bermuda","AMRO",0,0,0,0
"2020-01-04","BM","Bermuda","AMRO",0,0,0,0
"2020-01-05","BM","Bermuda","AMRO",0,0,0,0
"2020-01-06","BM","Bermuda","AMRO",0,0,0,0
"2020-01-07","BM","Bermuda","AMRO",0,0,0,0
"2020-01-08","BM","Bermuda","AMRO",0,0,0,0
"2020-01-09","BM","Bermuda","AMRO",0,0,0,0
"2020-01-10","BM","Bermuda","AMRO",0,0,0,0
"2020-01-11","BM","Bermuda","AMRO",0,0,0,0
"2020-01-12","BM","Bermuda","AMRO",0,0,0,0
"2020-01-13","BM","Bermuda","AMRO",0,0,0,0
"2020-01-14","BM","Bermuda","AMRO",0,0,0,0
"2020-01-15","BM","Bermuda","AMRO",0,0,0,0
"2020-01-16","BM","Bermuda","AMRO",0,0,0,0
"2020-01-17","BM","Bermuda","AMRO",0,0,0,0
"2020-01-18","BM","Bermuda","AMRO",0,0,0,0
"2020-01-19","BM","Bermuda","AMRO",0,0,0,0
"2020-01-20","BM","Bermuda","AMRO",0,0,0,0
"2020-01-21","BM","Bermuda","AMRO",0,0,0,0
"2020-01-22","BM","Bermuda","AMRO",0,0,0,0
"2020-01-23","BM","Bermuda","AMRO",0,0,0,0
"2020-01-24","BM","Bermuda","AMRO",0,0,0,0
"2020-01-25","BM","Bermuda","AMRO",0,0,0,0
"2020-01-26","BM","Bermuda","AMRO",0,0,0,0
"2020-01-27","BM","Bermuda","AMRO",0,0,0,0
"2020-01-28","BM","Bermuda","AMRO",0,0,0,0
"2020-01-29","BM","Bermuda","AMRO",0,0,0,0
"2020-01-30","BM","Bermuda","AMRO",0,0,0,0
"2020-01-31","BM","Bermuda","AMRO",0,0,0,0
"2020-02-01","BM","Bermuda","AMRO",0,0,0,0
"2020-02-02","BM","Bermuda","AMRO",0,0,0,0
"2020-02-03","BM","Bermuda","AMRO",0,0,0,0
"2020-02-04","BM","Bermuda","AMRO",0,0,0,0
"2020-02-05","BM","Bermuda","AMRO",0,0,0,0
"2020-02-06","BM","Bermuda","AMRO",0,0,0,0
"2020-02-07","BM","Bermuda","AMRO",0,0,0,0
"2020-02-08","BM","Bermuda","AMRO",0,0,0,0
"2020-02-09","BM","Bermuda","AMRO",0,0,0,0
"2020-02-10","BM","Bermuda","AMRO",0,0,0,0
"2020-02-11","BM","Bermuda","AMRO",0,0,0,0
"2020-02-12","BM","Bermuda","AMRO",0,0,0,0
"2020-02-13","BM","Bermuda","AMRO",0,0,0,0
"2020-02-14","BM","Bermuda","AMRO",0,0,0,0
"2020-02-15","BM","Bermuda","AMRO",0,0,0,0
"2020-02-16","BM","Bermuda","AMRO",0,0,0,0
"2020-02-17","BM","Bermuda","AMRO",0,0,0,0
"2020-02-18","BM","Bermuda","AMRO",0,0,0,0
"2020-02-19","BM","Bermuda","AMRO",0,0,0,0
"2020-02-20","BM","Bermuda","AMRO",0,0,0,0
"2020-02-21","BM","Bermuda","AMRO",0,0,0,0
"2020-02-22","BM","Bermuda","AMRO",0,0,0,0
"2020-02-23","BM","Bermuda","AMRO",0,0,0,0
"2020-02-24","BM","Bermuda","AMRO",0,0,0,0
"2020-02-25","BM","Bermuda","AMRO",0,0,0,0
"2020-02-26","BM","Bermuda","AMRO",0,0,0,0
"2020-02-27","BM","Bermuda","AMRO",0,0,0,0
"2020-02-28","BM","Bermuda","AMRO",0,0,0,0
"2020-02-29","BM","Bermuda","AMRO",0,0,0,0
"2020-03-01","BM","Bermuda","AMRO",0,0,0,0
"2020-03-02","BM","Bermuda","AMRO",0,0,0,0
"2020-03-03","BM","Bermuda","AMRO",0,0,0,0
"2020-03-04","BM","Bermuda","AMRO",0,0,0,0
"2020-03-05","BM","Bermuda","AMRO",0,0,0,0
"2020-03-06","BM","Bermuda","AMRO",0,0,0,0
"2020-03-07","BM","Bermuda","AMRO",0,0,0,0
"2020-03-08","BM","Bermuda","AMRO",0,0,0,0
