"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BT","Bhutan","SEARO",0,0,0,0
"2020-01-04","BT","Bhutan","SEARO",0,0,0,0
"2020-01-05","BT","Bhutan","SEARO",0,0,0,0
"2020-01-06","BT","Bhutan","SEARO",0,0,0,0
"2020-01-07","BT","Bhutan","SEARO",0,0,0,0
"2020-01-08","BT","Bhutan","SEARO",0,0,0,0
"2020-01-09","BT","Bhutan","SEARO",0,0,0,0
"2020-01-10","BT","Bhutan","SEARO",0,0,0,0
"2020-01-11","BT","Bhutan","SEARO",0,0,0,0
"2020-01-12","BT","Bhutan","SEARO",0,0,0,0
"2020-01-13","BT","Bhutan","SEARO",0,0,0,0
"2020-01-14","BT","Bhutan","SEARO",0,0,0,0
"2020-01-15","BT","Bhutan","SEARO",0,0,0,0
"2020-01-16","BT","Bhutan","SEARO",0,0,0,0
"2020-01-17","BT","Bhutan","SEARO",0,0,0,0
"2020-01-18","BT","Bhutan","SEARO",0,0,0,0
"2020-01-19","BT","Bhutan","SEARO",0,0,0,0
"2020-01-20","BT","Bhutan","SEARO",0,0,0,0
"2020-01-21","BT","Bhutan","SEARO",0,0,0,0
"2020-01-22","BT","Bhutan","SEARO",0,0,0,0
"2020-01-23","BT","Bhutan","SEARO",0,0,0,0
"2020-01-24","BT","Bhutan","SEARO",0,0,0,0
"2020-01-25","BT","Bhutan","SEARO",0,0,0,0
"2020-01-26","BT","Bhutan","SEARO",0,0,0,0
"2020-01-27","BT","Bhutan","SEARO",0,0,0,0
"2020-01-28","BT","Bhutan","SEARO",0,0,0,0
"2020-01-29","BT","Bhutan","SEARO",0,0,0,0
"2020-01-30","BT","Bhutan","SEARO",0,0,0,0
"2020-01-31","BT","Bhutan","SEARO",0,0,0,0
"2020-02-01","BT","Bhutan","SEARO",0,0,0,0
"2020-02-02","BT","Bhutan","SEARO",0,0,0,0
"2020-02-03","BT","Bhutan","SEARO",0,0,0,0
"2020-02-04","BT","Bhutan","SEARO",0,0,0,0
"2020-02-05","BT","Bhutan","SEARO",0,0,0,0
"2020-02-06","BT","Bhutan","SEARO",0,0,0,0
"2020-02-07","BT","Bhutan","SEARO",0,0,0,0
"2020-02-08","BT","Bhutan","SEARO",0,0,0,0
"2020-02-09","BT","Bhutan","SEARO",0,0,0,0
"2020-02-10","BT","Bhutan","SEARO",0,0,0,0
"2020-02-11","BT","Bhutan","SEARO",0,0,0,0
"2020-02-12","BT","Bhutan","SEARO",0,0,0,0
"2020-02-13","BT","Bhutan","SEARO",0,0,0,0
"2020-02-14","BT","Bhutan","SEARO",0,0,0,0
"2020-02-15","BT","Bhutan","SEARO",0,0,0,0
"2020-02-16","BT","Bhutan","SEARO",0,0,0,0
"2020-02-17","BT","Bhutan","SEARO",0,0,0,0
"2020-02-18","BT","Bhutan","SEARO",0,0,0,0
"2020-02-19","BT","Bhutan","SEARO",0,0,0,0
"2020-02-20","BT","Bhutan","SEARO",0,0,0,0
"2020-02-21","BT","Bhutan","SEARO",0,0,0,0
"2020-02-22","BT","Bhutan","SEARO",0,0,0,0
"2020-02-23","BT","Bhutan","SEARO",0,0,0,0
"2020-02-24","BT","Bhutan","SEARO",0,0,0,0
"2020-02-25","BT","Bhutan","SEARO",0,0,0,0
"2020-02-26","BT","Bhutan","SEARO",0,0,0,0
"2020-02-27","BT","Bhutan","SEARO",0,0,0,0
"2020-02-28","BT","Bhutan","SEARO",0,0,0,0
"2020-02-29","BT","Bhutan","SEARO",0,0,0,0
"2020-03-01","BT","Bhutan","SEARO",0,0,0,0
"2020-03-02","BT","Bhutan","SEARO",0,0,0,0
"2020-03-03","BT","Bhutan","SEARO",0,0,0,0
"2020-03-04","BT","Bhutan","SEARO",0,0,0,0
"2020-03-05","BT","Bhutan","SEARO",0,0,0,0
"2020-03-06","BT","Bhutan","SEARO",1,1,0,0
"2020-03-07","BT","Bhutan","SEARO",0,1,0,0
"2020-03-08","BT","Bhutan","SEARO",0,1,0,0
"2020-03-09","BT","Bhutan","SEARO",0,1,0,0
"2020-03-10","BT","Bhutan","SEARO",0,1,0,0
"2020-03-11","BT","Bhutan","SEARO",0,1,0,0
"2020-03-12","BT","Bhutan","SEARO",0,1,0,0
"2020-03-13","BT","Bhutan","SEARO",0,1,0,0
"2020-03-14","BT","Bhutan","SEARO",0,1,0,0
"2020-03-15","BT","Bhutan","SEARO",0,1,0,0
"2020-03-16","BT","Bhutan","SEARO",0,1,0,0
"2020-03-17","BT","Bhutan","SEARO",0,1,0,0
"2020-03-18","BT","Bhutan","SEARO",0,1,0,0
"2020-03-19","BT","Bhutan","SEARO",1,2,0,0
"2020-03-20","BT","Bhutan","SEARO",0,2,0,0
"2020-03-21","BT","Bhutan","SEARO",0,2,0,0
"2020-03-22","BT","Bhutan","SEARO",0,2,0,0
"2020-03-23","BT","Bhutan","SEARO",0,2,0,0
"2020-03-24","BT","Bhutan","SEARO",0,2,0,0
"2020-03-25","BT","Bhutan","SEARO",0,2,0,0
"2020-03-26","BT","Bhutan","SEARO",1,3,0,0
"2020-03-27","BT","Bhutan","SEARO",0,3,0,0
"2020-03-28","BT","Bhutan","SEARO",0,3,0,0
"2020-03-29","BT","Bhutan","SEARO",0,3,0,0
"2020-03-30","BT","Bhutan","SEARO",1,4,0,0
"2020-03-31","BT","Bhutan","SEARO",0,4,0,0
"2020-04-01","BT","Bhutan","SEARO",0,4,0,0
"2020-04-02","BT","Bhutan","SEARO",1,5,0,0
"2020-04-03","BT","Bhutan","SEARO",0,5,0,0
"2020-04-04","BT","Bhutan","SEARO",0,5,0,0
"2020-04-05","BT","Bhutan","SEARO",0,5,0,0
"2020-04-06","BT","Bhutan","SEARO",0,5,0,0
"2020-04-07","BT","Bhutan","SEARO",0,5,0,0
"2020-04-08","BT","Bhutan","SEARO",0,5,0,0
"2020-04-09","BT","Bhutan","SEARO",0,5,0,0
"2020-04-10","BT","Bhutan","SEARO",0,5,0,0
"2020-04-11","BT","Bhutan","SEARO",0,5,0,0
"2020-04-12","BT","Bhutan","SEARO",0,5,0,0
"2020-04-13","BT","Bhutan","SEARO",0,5,0,0
"2020-04-14","BT","Bhutan","SEARO",0,5,0,0
"2020-04-15","BT","Bhutan","SEARO",0,5,0,0
"2020-04-16","BT","Bhutan","SEARO",0,5,0,0
"2020-04-17","BT","Bhutan","SEARO",0,5,0,0
"2020-04-18","BT","Bhutan","SEARO",0,5,0,0
"2020-04-19","BT","Bhutan","SEARO",0,5,0,0
"2020-04-20","BT","Bhutan","SEARO",0,5,0,0
"2020-04-21","BT","Bhutan","SEARO",1,6,0,0
"2020-04-22","BT","Bhutan","SEARO",0,6,0,0
"2020-04-23","BT","Bhutan","SEARO",1,7,0,0
"2020-04-24","BT","Bhutan","SEARO",0,7,0,0
"2020-04-25","BT","Bhutan","SEARO",0,7,0,0
"2020-04-26","BT","Bhutan","SEARO",0,7,0,0
"2020-04-27","BT","Bhutan","SEARO",0,7,0,0
"2020-04-28","BT","Bhutan","SEARO",0,7,0,0
"2020-04-29","BT","Bhutan","SEARO",0,7,0,0
"2020-04-30","BT","Bhutan","SEARO",0,7,0,0
"2020-05-01","BT","Bhutan","SEARO",0,7,0,0
"2020-05-02","BT","Bhutan","SEARO",0,7,0,0
"2020-05-03","BT","Bhutan","SEARO",0,7,0,0
"2020-05-04","BT","Bhutan","SEARO",0,7,0,0
"2020-05-05","BT","Bhutan","SEARO",0,7,0,0
"2020-05-06","BT","Bhutan","SEARO",0,7,0,0
"2020-05-07","BT","Bhutan","SEARO",0,7,0,0
"2020-05-08","BT","Bhutan","SEARO",0,7,0,0
"2020-05-09","BT","Bhutan","SEARO",0,7,0,0
"2020-05-10","BT","Bhutan","SEARO",0,7,0,0
"2020-05-11","BT","Bhutan","SEARO",2,9,0,0
"2020-05-12","BT","Bhutan","SEARO",2,11,0,0
"2020-05-13","BT","Bhutan","SEARO",0,11,0,0
"2020-05-14","BT","Bhutan","SEARO",4,15,0,0
"2020-05-15","BT","Bhutan","SEARO",5,20,0,0
"2020-05-16","BT","Bhutan","SEARO",1,21,0,0
"2020-05-17","BT","Bhutan","SEARO",0,21,0,0
"2020-05-18","BT","Bhutan","SEARO",0,21,0,0
"2020-05-19","BT","Bhutan","SEARO",0,21,0,0
"2020-05-20","BT","Bhutan","SEARO",0,21,0,0
"2020-05-21","BT","Bhutan","SEARO",0,21,0,0
"2020-05-22","BT","Bhutan","SEARO",0,21,0,0
"2020-05-23","BT","Bhutan","SEARO",0,21,0,0
"2020-05-24","BT","Bhutan","SEARO",3,24,0,0
"2020-05-25","BT","Bhutan","SEARO",3,27,0,0
"2020-05-26","BT","Bhutan","SEARO",0,27,0,0
"2020-05-27","BT","Bhutan","SEARO",0,27,0,0
"2020-05-28","BT","Bhutan","SEARO",1,28,0,0
"2020-05-29","BT","Bhutan","SEARO",3,31,0,0
"2020-05-30","BT","Bhutan","SEARO",2,33,0,0
"2020-05-31","BT","Bhutan","SEARO",10,43,0,0
"2020-06-01","BT","Bhutan","SEARO",0,43,0,0
"2020-06-02","BT","Bhutan","SEARO",4,47,0,0
"2020-06-03","BT","Bhutan","SEARO",0,47,0,0
"2020-06-04","BT","Bhutan","SEARO",0,47,0,0
"2020-06-05","BT","Bhutan","SEARO",0,47,0,0
"2020-06-06","BT","Bhutan","SEARO",1,48,0,0
