"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-04","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-05","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-06","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-07","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-08","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-09","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-10","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-11","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-12","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-13","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-14","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-15","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-16","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-17","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-18","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-19","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-20","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-21","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-22","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-23","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-24","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-25","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-26","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-27","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-28","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-29","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-30","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-01-31","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-01","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-02","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-03","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-04","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-05","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-06","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-07","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-08","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-09","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-10","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-11","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-12","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-13","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-14","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-15","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-16","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-17","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
"2020-02-18","BO","Bolivia (Plurinational State of)","AMRO",0,0,0,0
