"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-04","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-05","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-06","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-07","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-08","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-09","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-10","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-11","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-12","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-13","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-14","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-15","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-16","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-17","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-18","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-19","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-20","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-21","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-22","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-23","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-24","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-25","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-26","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-27","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-28","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-29","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-30","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
"2020-01-31","BQ","Bonaire, Sint Eustatius and Saba","AMRO",0,0,0,0
