"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-04","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-05","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-06","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-07","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-08","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-09","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-10","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-11","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-12","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-13","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-14","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-15","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-16","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-17","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-18","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-19","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-20","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-21","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-22","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-23","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-24","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-25","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-26","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-27","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-28","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-29","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-30","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-01-31","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-01","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-02","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-03","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-04","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-05","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-06","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-07","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-08","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-09","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-10","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-11","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-12","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-13","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-14","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-15","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-16","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-17","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-18","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-19","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-20","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-21","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-22","BA","Bosnia and Herzegovina","EURO",0,0,0,0
"2020-02-23","BA","Bosnia and Herzegovina","EURO",0,0,0,0
