"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BW","Botswana","AFRO",0,0,0,0
"2020-01-04","BW","Botswana","AFRO",0,0,0,0
"2020-01-05","BW","Botswana","AFRO",0,0,0,0
"2020-01-06","BW","Botswana","AFRO",0,0,0,0
"2020-01-07","BW","Botswana","AFRO",0,0,0,0
"2020-01-08","BW","Botswana","AFRO",0,0,0,0
"2020-01-09","BW","Botswana","AFRO",0,0,0,0
"2020-01-10","BW","Botswana","AFRO",0,0,0,0
"2020-01-11","BW","Botswana","AFRO",0,0,0,0
"2020-01-12","BW","Botswana","AFRO",0,0,0,0
"2020-01-13","BW","Botswana","AFRO",0,0,0,0
"2020-01-14","BW","Botswana","AFRO",0,0,0,0
"2020-01-15","BW","Botswana","AFRO",0,0,0,0
"2020-01-16","BW","Botswana","AFRO",0,0,0,0
"2020-01-17","BW","Botswana","AFRO",0,0,0,0
"2020-01-18","BW","Botswana","AFRO",0,0,0,0
"2020-01-19","BW","Botswana","AFRO",0,0,0,0
"2020-01-20","BW","Botswana","AFRO",0,0,0,0
"2020-01-21","BW","Botswana","AFRO",0,0,0,0
"2020-01-22","BW","Botswana","AFRO",0,0,0,0
"2020-01-23","BW","Botswana","AFRO",0,0,0,0
"2020-01-24","BW","Botswana","AFRO",0,0,0,0
"2020-01-25","BW","Botswana","AFRO",0,0,0,0
"2020-01-26","BW","Botswana","AFRO",0,0,0,0
"2020-01-27","BW","Botswana","AFRO",0,0,0,0
"2020-01-28","BW","Botswana","AFRO",0,0,0,0
"2020-01-29","BW","Botswana","AFRO",0,0,0,0
"2020-01-30","BW","Botswana","AFRO",0,0,0,0
"2020-01-31","BW","Botswana","AFRO",0,0,0,0
"2020-02-01","BW","Botswana","AFRO",0,0,0,0
"2020-02-02","BW","Botswana","AFRO",0,0,0,0
"2020-02-03","BW","Botswana","AFRO",0,0,0,0
"2020-02-04","BW","Botswana","AFRO",0,0,0,0
"2020-02-05","BW","Botswana","AFRO",0,0,0,0
"2020-02-06","BW","Botswana","AFRO",0,0,0,0
"2020-02-07","BW","Botswana","AFRO",0,0,0,0
"2020-02-08","BW","Botswana","AFRO",0,0,0,0
"2020-02-09","BW","Botswana","AFRO",0,0,0,0
"2020-02-10","BW","Botswana","AFRO",0,0,0,0
"2020-02-11","BW","Botswana","AFRO",0,0,0,0
"2020-02-12","BW","Botswana","AFRO",0,0,0,0
"2020-02-13","BW","Botswana","AFRO",0,0,0,0
"2020-02-14","BW","Botswana","AFRO",0,0,0,0
"2020-02-15","BW","Botswana","AFRO",0,0,0,0
"2020-02-16","BW","Botswana","AFRO",0,0,0,0
"2020-02-17","BW","Botswana","AFRO",0,0,0,0
"2020-02-18","BW","Botswana","AFRO",0,0,0,0
"2020-02-19","BW","Botswana","AFRO",0,0,0,0
"2020-02-20","BW","Botswana","AFRO",0,0,0,0
"2020-02-21","BW","Botswana","AFRO",0,0,0,0
"2020-02-22","BW","Botswana","AFRO",0,0,0,0
"2020-02-23","BW","Botswana","AFRO",0,0,0,0
"2020-02-24","BW","Botswana","AFRO",0,0,0,0
"2020-02-25","BW","Botswana","AFRO",0,0,0,0
"2020-02-26","BW","Botswana","AFRO",0,0,0,0
"2020-02-27","BW","Botswana","AFRO",0,0,0,0
"2020-02-28","BW","Botswana","AFRO",0,0,0,0
"2020-02-29","BW","Botswana","AFRO",0,0,0,0
"2020-03-01","BW","Botswana","AFRO",0,0,0,0
"2020-03-02","BW","Botswana","AFRO",0,0,0,0
"2020-03-03","BW","Botswana","AFRO",0,0,0,0
"2020-03-04","BW","Botswana","AFRO",0,0,0,0
"2020-03-05","BW","Botswana","AFRO",0,0,0,0
"2020-03-06","BW","Botswana","AFRO",0,0,0,0
"2020-03-07","BW","Botswana","AFRO",0,0,0,0
"2020-03-08","BW","Botswana","AFRO",0,0,0,0
"2020-03-09","BW","Botswana","AFRO",0,0,0,0
"2020-03-10","BW","Botswana","AFRO",0,0,0,0
"2020-03-11","BW","Botswana","AFRO",0,0,0,0
"2020-03-12","BW","Botswana","AFRO",0,0,0,0
"2020-03-13","BW","Botswana","AFRO",0,0,0,0
"2020-03-14","BW","Botswana","AFRO",0,0,0,0
"2020-03-15","BW","Botswana","AFRO",0,0,0,0
"2020-03-16","BW","Botswana","AFRO",0,0,0,0
"2020-03-17","BW","Botswana","AFRO",0,0,0,0
"2020-03-18","BW","Botswana","AFRO",0,0,0,0
"2020-03-19","BW","Botswana","AFRO",0,0,0,0
"2020-03-20","BW","Botswana","AFRO",0,0,0,0
"2020-03-21","BW","Botswana","AFRO",0,0,0,0
"2020-03-22","BW","Botswana","AFRO",0,0,0,0
"2020-03-23","BW","Botswana","AFRO",0,0,0,0
"2020-03-24","BW","Botswana","AFRO",0,0,0,0
"2020-03-25","BW","Botswana","AFRO",0,0,0,0
"2020-03-26","BW","Botswana","AFRO",0,0,0,0
"2020-03-27","BW","Botswana","AFRO",0,0,0,0
"2020-03-28","BW","Botswana","AFRO",0,0,0,0
"2020-03-29","BW","Botswana","AFRO",0,0,0,0
"2020-03-30","BW","Botswana","AFRO",0,0,0,0
"2020-03-31","BW","Botswana","AFRO",0,0,0,0
"2020-04-01","BW","Botswana","AFRO",3,3,0,0
"2020-04-02","BW","Botswana","AFRO",0,3,1,1
"2020-04-03","BW","Botswana","AFRO",1,4,0,1
"2020-04-04","BW","Botswana","AFRO",0,4,0,1
"2020-04-05","BW","Botswana","AFRO",0,4,0,1
"2020-04-06","BW","Botswana","AFRO",0,4,0,1
"2020-04-07","BW","Botswana","AFRO",2,6,0,1
"2020-04-08","BW","Botswana","AFRO",0,6,0,1
"2020-04-09","BW","Botswana","AFRO",0,6,0,1
"2020-04-10","BW","Botswana","AFRO",7,13,0,1
"2020-04-11","BW","Botswana","AFRO",0,13,0,1
"2020-04-12","BW","Botswana","AFRO",0,13,0,1
"2020-04-13","BW","Botswana","AFRO",0,13,0,1
"2020-04-14","BW","Botswana","AFRO",0,13,0,1
"2020-04-15","BW","Botswana","AFRO",0,13,0,1
"2020-04-16","BW","Botswana","AFRO",0,13,0,1
"2020-04-17","BW","Botswana","AFRO",2,15,0,1
"2020-04-18","BW","Botswana","AFRO",0,15,0,1
"2020-04-19","BW","Botswana","AFRO",0,15,0,1
"2020-04-20","BW","Botswana","AFRO",5,20,0,1
"2020-04-21","BW","Botswana","AFRO",0,20,0,1
"2020-04-22","BW","Botswana","AFRO",0,20,0,1
"2020-04-23","BW","Botswana","AFRO",2,22,0,1
"2020-04-24","BW","Botswana","AFRO",0,22,0,1
"2020-04-25","BW","Botswana","AFRO",0,22,0,1
"2020-04-26","BW","Botswana","AFRO",0,22,0,1
"2020-04-27","BW","Botswana","AFRO",0,22,0,1
"2020-04-28","BW","Botswana","AFRO",0,22,0,1
"2020-04-29","BW","Botswana","AFRO",1,23,0,1
"2020-04-30","BW","Botswana","AFRO",0,23,0,1
"2020-05-01","BW","Botswana","AFRO",0,23,0,1
"2020-05-02","BW","Botswana","AFRO",0,23,0,1
"2020-05-03","BW","Botswana","AFRO",0,23,0,1
"2020-05-04","BW","Botswana","AFRO",0,23,0,1
"2020-05-05","BW","Botswana","AFRO",0,23,0,1
"2020-05-06","BW","Botswana","AFRO",0,23,0,1
"2020-05-07","BW","Botswana","AFRO",0,23,0,1
"2020-05-08","BW","Botswana","AFRO",0,23,0,1
"2020-05-09","BW","Botswana","AFRO",0,23,0,1
"2020-05-10","BW","Botswana","AFRO",0,23,0,1
"2020-05-11","BW","Botswana","AFRO",0,23,0,1
"2020-05-12","BW","Botswana","AFRO",1,24,0,1
"2020-05-13","BW","Botswana","AFRO",0,24,0,1
"2020-05-14","BW","Botswana","AFRO",0,24,0,1
"2020-05-15","BW","Botswana","AFRO",0,24,0,1
"2020-05-16","BW","Botswana","AFRO",0,24,0,1
"2020-05-17","BW","Botswana","AFRO",1,25,0,1
"2020-05-18","BW","Botswana","AFRO",0,25,0,1
"2020-05-19","BW","Botswana","AFRO",0,25,0,1
"2020-05-20","BW","Botswana","AFRO",0,25,0,1
"2020-05-21","BW","Botswana","AFRO",0,25,0,1
"2020-05-22","BW","Botswana","AFRO",4,29,0,1
"2020-05-23","BW","Botswana","AFRO",0,29,0,1
"2020-05-24","BW","Botswana","AFRO",0,29,0,1
"2020-05-25","BW","Botswana","AFRO",6,35,0,1
"2020-05-26","BW","Botswana","AFRO",0,35,0,1
"2020-05-27","BW","Botswana","AFRO",0,35,0,1
"2020-05-28","BW","Botswana","AFRO",0,35,0,1
"2020-05-29","BW","Botswana","AFRO",0,35,0,1
"2020-05-30","BW","Botswana","AFRO",0,35,0,1
"2020-05-31","BW","Botswana","AFRO",0,35,0,1
"2020-06-01","BW","Botswana","AFRO",3,38,0,1
"2020-06-02","BW","Botswana","AFRO",0,38,0,1
"2020-06-03","BW","Botswana","AFRO",2,40,0,1
"2020-06-04","BW","Botswana","AFRO",0,40,0,1
"2020-06-05","BW","Botswana","AFRO",0,40,0,1
"2020-06-06","BW","Botswana","AFRO",0,40,0,1
"2020-06-07","BW","Botswana","AFRO",0,40,0,1
"2020-06-08","BW","Botswana","AFRO",0,40,0,1
"2020-06-09","BW","Botswana","AFRO",2,42,0,1
"2020-06-10","BW","Botswana","AFRO",0,42,0,1
"2020-06-11","BW","Botswana","AFRO",6,48,0,1
"2020-06-12","BW","Botswana","AFRO",0,48,0,1
"2020-06-13","BW","Botswana","AFRO",12,60,0,1
"2020-06-14","BW","Botswana","AFRO",0,60,0,1
"2020-06-15","BW","Botswana","AFRO",0,60,0,1
"2020-06-16","BW","Botswana","AFRO",0,60,0,1
"2020-06-17","BW","Botswana","AFRO",0,60,0,1
"2020-06-18","BW","Botswana","AFRO",19,79,0,1
"2020-06-19","BW","Botswana","AFRO",0,79,0,1
"2020-06-20","BW","Botswana","AFRO",10,89,0,1
"2020-06-21","BW","Botswana","AFRO",0,89,0,1
"2020-06-22","BW","Botswana","AFRO",0,89,0,1
"2020-06-23","BW","Botswana","AFRO",0,89,0,1
"2020-06-24","BW","Botswana","AFRO",0,89,0,1
"2020-06-25","BW","Botswana","AFRO",36,125,0,1
"2020-06-26","BW","Botswana","AFRO",0,125,0,1
"2020-06-27","BW","Botswana","AFRO",0,125,0,1
"2020-06-28","BW","Botswana","AFRO",0,125,0,1
"2020-06-29","BW","Botswana","AFRO",50,175,0,1
"2020-06-30","BW","Botswana","AFRO",0,175,0,1
"2020-07-01","BW","Botswana","AFRO",52,227,0,1
"2020-07-02","BW","Botswana","AFRO",0,227,0,1
"2020-07-03","BW","Botswana","AFRO",0,227,0,1
"2020-07-04","BW","Botswana","AFRO",48,275,0,1
"2020-07-05","BW","Botswana","AFRO",0,275,0,1
"2020-07-06","BW","Botswana","AFRO",0,275,0,1
"2020-07-07","BW","Botswana","AFRO",39,314,0,1
"2020-07-08","BW","Botswana","AFRO",0,314,0,1
"2020-07-09","BW","Botswana","AFRO",0,314,0,1
"2020-07-10","BW","Botswana","AFRO",0,314,0,1
"2020-07-11","BW","Botswana","AFRO",0,314,0,1
"2020-07-12","BW","Botswana","AFRO",0,314,0,1
"2020-07-13","BW","Botswana","AFRO",85,399,0,1
"2020-07-14","BW","Botswana","AFRO",0,399,0,1
"2020-07-15","BW","Botswana","AFRO",0,399,0,1
"2020-07-16","BW","Botswana","AFRO",0,399,0,1
"2020-07-17","BW","Botswana","AFRO",123,522,0,1
"2020-07-18","BW","Botswana","AFRO",0,522,0,1
"2020-07-19","BW","Botswana","AFRO",0,522,0,1
"2020-07-20","BW","Botswana","AFRO",0,522,0,1
"2020-07-21","BW","Botswana","AFRO",0,522,0,1
"2020-07-22","BW","Botswana","AFRO",0,522,0,1
"2020-07-23","BW","Botswana","AFRO",100,622,0,1
"2020-07-24","BW","Botswana","AFRO",0,622,0,1
"2020-07-25","BW","Botswana","AFRO",64,686,0,1
"2020-07-26","BW","Botswana","AFRO",0,686,0,1
"2020-07-27","BW","Botswana","AFRO",0,686,0,1
"2020-07-28","BW","Botswana","AFRO",53,739,1,2
"2020-07-29","BW","Botswana","AFRO",0,739,0,2
"2020-07-30","BW","Botswana","AFRO",65,804,0,2
"2020-07-31","BW","Botswana","AFRO",0,804,0,2
"2020-08-01","BW","Botswana","AFRO",0,804,0,2
"2020-08-02","BW","Botswana","AFRO",0,804,0,2
"2020-08-03","BW","Botswana","AFRO",0,804,0,2
"2020-08-04","BW","Botswana","AFRO",0,804,0,2
"2020-08-05","BW","Botswana","AFRO",0,804,0,2
"2020-08-06","BW","Botswana","AFRO",0,804,0,2
"2020-08-07","BW","Botswana","AFRO",0,804,0,2
"2020-08-08","BW","Botswana","AFRO",0,804,0,2
"2020-08-09","BW","Botswana","AFRO",0,804,0,2
"2020-08-10","BW","Botswana","AFRO",0,804,0,2
"2020-08-11","BW","Botswana","AFRO",0,804,0,2
"2020-08-12","BW","Botswana","AFRO",262,1066,0,2
"2020-08-13","BW","Botswana","AFRO",0,1066,0,2
"2020-08-14","BW","Botswana","AFRO",148,1214,1,3
"2020-08-15","BW","Botswana","AFRO",0,1214,0,3
"2020-08-16","BW","Botswana","AFRO",0,1214,0,3
"2020-08-17","BW","Botswana","AFRO",0,1214,0,3
"2020-08-18","BW","Botswana","AFRO",94,1308,0,3
"2020-08-19","BW","Botswana","AFRO",0,1308,0,3
"2020-08-20","BW","Botswana","AFRO",0,1308,0,3
"2020-08-21","BW","Botswana","AFRO",0,1308,0,3
"2020-08-22","BW","Botswana","AFRO",0,1308,0,3
"2020-08-23","BW","Botswana","AFRO",0,1308,0,3
"2020-08-24","BW","Botswana","AFRO",0,1308,0,3
"2020-08-25","BW","Botswana","AFRO",254,1562,0,3
"2020-08-26","BW","Botswana","AFRO",0,1562,0,3
"2020-08-27","BW","Botswana","AFRO",71,1633,3,6
"2020-08-28","BW","Botswana","AFRO",0,1633,0,6
"2020-08-29","BW","Botswana","AFRO",0,1633,0,6
"2020-08-30","BW","Botswana","AFRO",0,1633,0,6
"2020-08-31","BW","Botswana","AFRO",0,1633,0,6
"2020-09-01","BW","Botswana","AFRO",91,1724,0,6
"2020-09-02","BW","Botswana","AFRO",0,1724,0,6
"2020-09-03","BW","Botswana","AFRO",0,1724,0,6
"2020-09-04","BW","Botswana","AFRO",0,1724,0,6
"2020-09-05","BW","Botswana","AFRO",278,2002,2,8
"2020-09-06","BW","Botswana","AFRO",0,2002,0,8
"2020-09-07","BW","Botswana","AFRO",0,2002,0,8
"2020-09-08","BW","Botswana","AFRO",124,2126,1,9
"2020-09-09","BW","Botswana","AFRO",0,2126,0,9
"2020-09-10","BW","Botswana","AFRO",0,2126,0,9
"2020-09-11","BW","Botswana","AFRO",0,2126,0,9
"2020-09-12","BW","Botswana","AFRO",0,2126,0,9
"2020-09-13","BW","Botswana","AFRO",126,2252,1,10
"2020-09-14","BW","Botswana","AFRO",0,2252,0,10
"2020-09-15","BW","Botswana","AFRO",0,2252,0,10
"2020-09-16","BW","Botswana","AFRO",211,2463,1,11
"2020-09-17","BW","Botswana","AFRO",0,2463,0,11
"2020-09-18","BW","Botswana","AFRO",104,2567,2,13
"2020-09-19","BW","Botswana","AFRO",0,2567,0,13
"2020-09-20","BW","Botswana","AFRO",0,2567,0,13
"2020-09-21","BW","Botswana","AFRO",0,2567,0,13
"2020-09-22","BW","Botswana","AFRO",0,2567,0,13
"2020-09-23","BW","Botswana","AFRO",0,2567,0,13
"2020-09-24","BW","Botswana","AFRO",0,2567,0,13
"2020-09-25","BW","Botswana","AFRO",354,2921,0,13
"2020-09-26","BW","Botswana","AFRO",0,2921,0,13
"2020-09-27","BW","Botswana","AFRO",0,2921,0,13
"2020-09-28","BW","Botswana","AFRO",0,2921,0,13
"2020-09-29","BW","Botswana","AFRO",251,3172,3,16
"2020-09-30","BW","Botswana","AFRO",0,3172,0,16
"2020-10-01","BW","Botswana","AFRO",0,3172,0,16
"2020-10-02","BW","Botswana","AFRO",0,3172,0,16
"2020-10-03","BW","Botswana","AFRO",0,3172,0,16
"2020-10-04","BW","Botswana","AFRO",0,3172,0,16
"2020-10-05","BW","Botswana","AFRO",0,3172,0,16
"2020-10-06","BW","Botswana","AFRO",0,3172,0,16
"2020-10-07","BW","Botswana","AFRO",0,3172,0,16
"2020-10-08","BW","Botswana","AFRO",0,3172,0,16
"2020-10-09","BW","Botswana","AFRO",47,3219,2,18
"2020-10-10","BW","Botswana","AFRO",0,3219,0,18
"2020-10-11","BW","Botswana","AFRO",0,3219,0,18
"2020-10-12","BW","Botswana","AFRO",0,3219,0,18
"2020-10-13","BW","Botswana","AFRO",1820,5039,2,20
"2020-10-14","BW","Botswana","AFRO",0,5039,0,20
"2020-10-15","BW","Botswana","AFRO",0,5039,0,20
"2020-10-16","BW","Botswana","AFRO",203,5242,0,20
"2020-10-17","BW","Botswana","AFRO",0,5242,0,20
"2020-10-18","BW","Botswana","AFRO",0,5242,0,20
"2020-10-19","BW","Botswana","AFRO",0,5242,0,20
"2020-10-20","BW","Botswana","AFRO",0,5242,0,20
"2020-10-21","BW","Botswana","AFRO",367,5609,1,21
"2020-10-22","BW","Botswana","AFRO",0,5609,0,21
"2020-10-23","BW","Botswana","AFRO",0,5609,0,21
"2020-10-24","BW","Botswana","AFRO",314,5923,0,21
"2020-10-25","BW","Botswana","AFRO",0,5923,0,21
"2020-10-26","BW","Botswana","AFRO",0,5923,0,21
"2020-10-27","BW","Botswana","AFRO",0,5923,0,21
