"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-04","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-05","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-06","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-07","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-08","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-09","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-10","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-11","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-12","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-13","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-14","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-15","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-16","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-17","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-18","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-19","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-20","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-21","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-22","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-23","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-24","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-25","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-26","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-27","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-28","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-29","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-30","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-01-31","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-01","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-02","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-03","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-04","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-05","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-06","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-07","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-08","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-09","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-10","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-11","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-12","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-13","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-14","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-15","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-16","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-17","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-18","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-19","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-20","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-21","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-22","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-23","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-24","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-25","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-26","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-27","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-28","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-02-29","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-01","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-02","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-03","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-04","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-05","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-06","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-07","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-08","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-09","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-10","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-11","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-12","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-13","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-14","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-15","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-16","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-17","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-18","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-19","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-20","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-21","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-22","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-23","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-24","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-25","VG","British Virgin Islands","AMRO",0,0,0,0
"2020-03-26","VG","British Virgin Islands","AMRO",2,2,0,0
"2020-03-27","VG","British Virgin Islands","AMRO",0,2,0,0
"2020-03-28","VG","British Virgin Islands","AMRO",0,2,0,0
"2020-03-29","VG","British Virgin Islands","AMRO",0,2,0,0
"2020-03-30","VG","British Virgin Islands","AMRO",0,2,0,0
"2020-03-31","VG","British Virgin Islands","AMRO",0,2,0,0
"2020-04-01","VG","British Virgin Islands","AMRO",1,3,0,0
"2020-04-02","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-03","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-04","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-05","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-06","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-07","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-08","VG","British Virgin Islands","AMRO",0,3,0,0
"2020-04-09","VG","British Virgin Islands","AMRO",0,3,0,0
