"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-04","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-05","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-06","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-07","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-08","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-09","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-10","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-11","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-12","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-13","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-14","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-15","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-16","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-17","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-18","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-19","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-20","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-21","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-22","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-23","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-24","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-25","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-26","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-27","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-28","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-29","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-30","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-01-31","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-01","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-02","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-03","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-04","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-05","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-06","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-07","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-08","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-09","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-10","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-11","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-12","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-13","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-14","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-15","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-16","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-17","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-18","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-19","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-20","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-21","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-22","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-23","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-24","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-25","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-26","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-27","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-28","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-02-29","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-01","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-02","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-03","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-04","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-05","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-06","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-07","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-08","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-09","BN","Brunei Darussalam","WPRO",0,0,0,0
"2020-03-10","BN","Brunei Darussalam","WPRO",5,5,0,0
"2020-03-11","BN","Brunei Darussalam","WPRO",11,16,0,0
"2020-03-12","BN","Brunei Darussalam","WPRO",0,16,0,0
"2020-03-13","BN","Brunei Darussalam","WPRO",0,16,0,0
"2020-03-14","BN","Brunei Darussalam","WPRO",13,29,0,0
"2020-03-15","BN","Brunei Darussalam","WPRO",15,44,0,0
"2020-03-16","BN","Brunei Darussalam","WPRO",10,54,0,0
"2020-03-17","BN","Brunei Darussalam","WPRO",4,58,0,0
"2020-03-18","BN","Brunei Darussalam","WPRO",2,60,0,0
"2020-03-19","BN","Brunei Darussalam","WPRO",13,73,0,0
"2020-03-20","BN","Brunei Darussalam","WPRO",5,78,0,0
"2020-03-21","BN","Brunei Darussalam","WPRO",5,83,0,0
"2020-03-22","BN","Brunei Darussalam","WPRO",0,83,0,0
"2020-03-23","BN","Brunei Darussalam","WPRO",5,88,0,0
"2020-03-24","BN","Brunei Darussalam","WPRO",3,91,0,0
"2020-03-25","BN","Brunei Darussalam","WPRO",13,104,0,0
"2020-03-26","BN","Brunei Darussalam","WPRO",5,109,0,0
"2020-03-27","BN","Brunei Darussalam","WPRO",5,114,0,0
"2020-03-28","BN","Brunei Darussalam","WPRO",1,115,1,1
"2020-03-29","BN","Brunei Darussalam","WPRO",5,120,0,1
"2020-03-30","BN","Brunei Darussalam","WPRO",6,126,0,1
"2020-03-31","BN","Brunei Darussalam","WPRO",1,127,0,1
"2020-04-01","BN","Brunei Darussalam","WPRO",2,129,0,1
"2020-04-02","BN","Brunei Darussalam","WPRO",2,131,0,1
"2020-04-03","BN","Brunei Darussalam","WPRO",2,133,0,1
"2020-04-04","BN","Brunei Darussalam","WPRO",1,134,0,1
"2020-04-05","BN","Brunei Darussalam","WPRO",1,135,0,1
"2020-04-06","BN","Brunei Darussalam","WPRO",0,135,0,1
"2020-04-07","BN","Brunei Darussalam","WPRO",0,135,0,1
"2020-04-08","BN","Brunei Darussalam","WPRO",0,135,0,1
"2020-04-09","BN","Brunei Darussalam","WPRO",0,135,0,1
"2020-04-10","BN","Brunei Darussalam","WPRO",0,135,0,1
"2020-04-11","BN","Brunei Darussalam","WPRO",1,136,0,1
"2020-04-12","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-13","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-14","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-15","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-16","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-17","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-18","BN","Brunei Darussalam","WPRO",0,136,0,1
"2020-04-19","BN","Brunei Darussalam","WPRO",1,137,0,1
"2020-04-20","BN","Brunei Darussalam","WPRO",1,138,0,1
"2020-04-21","BN","Brunei Darussalam","WPRO",0,138,0,1
"2020-04-22","BN","Brunei Darussalam","WPRO",0,138,0,1
