"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BG","Bulgaria","EURO",0,0,0,0
"2020-01-04","BG","Bulgaria","EURO",0,0,0,0
"2020-01-05","BG","Bulgaria","EURO",0,0,0,0
"2020-01-06","BG","Bulgaria","EURO",0,0,0,0
"2020-01-07","BG","Bulgaria","EURO",0,0,0,0
"2020-01-08","BG","Bulgaria","EURO",0,0,0,0
"2020-01-09","BG","Bulgaria","EURO",0,0,0,0
"2020-01-10","BG","Bulgaria","EURO",0,0,0,0
"2020-01-11","BG","Bulgaria","EURO",0,0,0,0
"2020-01-12","BG","Bulgaria","EURO",0,0,0,0
"2020-01-13","BG","Bulgaria","EURO",0,0,0,0
"2020-01-14","BG","Bulgaria","EURO",0,0,0,0
"2020-01-15","BG","Bulgaria","EURO",0,0,0,0
"2020-01-16","BG","Bulgaria","EURO",0,0,0,0
"2020-01-17","BG","Bulgaria","EURO",0,0,0,0
"2020-01-18","BG","Bulgaria","EURO",0,0,0,0
"2020-01-19","BG","Bulgaria","EURO",0,0,0,0
"2020-01-20","BG","Bulgaria","EURO",0,0,0,0
"2020-01-21","BG","Bulgaria","EURO",0,0,0,0
"2020-01-22","BG","Bulgaria","EURO",0,0,0,0
"2020-01-23","BG","Bulgaria","EURO",0,0,0,0
"2020-01-24","BG","Bulgaria","EURO",0,0,0,0
"2020-01-25","BG","Bulgaria","EURO",0,0,0,0
"2020-01-26","BG","Bulgaria","EURO",0,0,0,0
"2020-01-27","BG","Bulgaria","EURO",0,0,0,0
"2020-01-28","BG","Bulgaria","EURO",0,0,0,0
"2020-01-29","BG","Bulgaria","EURO",0,0,0,0
"2020-01-30","BG","Bulgaria","EURO",0,0,0,0
"2020-01-31","BG","Bulgaria","EURO",0,0,0,0
"2020-02-01","BG","Bulgaria","EURO",0,0,0,0
"2020-02-02","BG","Bulgaria","EURO",0,0,0,0
"2020-02-03","BG","Bulgaria","EURO",0,0,0,0
"2020-02-04","BG","Bulgaria","EURO",0,0,0,0
"2020-02-05","BG","Bulgaria","EURO",0,0,0,0
"2020-02-06","BG","Bulgaria","EURO",0,0,0,0
"2020-02-07","BG","Bulgaria","EURO",0,0,0,0
"2020-02-08","BG","Bulgaria","EURO",0,0,0,0
"2020-02-09","BG","Bulgaria","EURO",0,0,0,0
"2020-02-10","BG","Bulgaria","EURO",0,0,0,0
"2020-02-11","BG","Bulgaria","EURO",0,0,0,0
"2020-02-12","BG","Bulgaria","EURO",0,0,0,0
"2020-02-13","BG","Bulgaria","EURO",0,0,0,0
"2020-02-14","BG","Bulgaria","EURO",0,0,0,0
"2020-02-15","BG","Bulgaria","EURO",0,0,0,0
"2020-02-16","BG","Bulgaria","EURO",0,0,0,0
"2020-02-17","BG","Bulgaria","EURO",0,0,0,0
"2020-02-18","BG","Bulgaria","EURO",0,0,0,0
"2020-02-19","BG","Bulgaria","EURO",0,0,0,0
"2020-02-20","BG","Bulgaria","EURO",0,0,0,0
"2020-02-21","BG","Bulgaria","EURO",0,0,0,0
"2020-02-22","BG","Bulgaria","EURO",0,0,0,0
"2020-02-23","BG","Bulgaria","EURO",0,0,0,0
"2020-02-24","BG","Bulgaria","EURO",0,0,0,0
"2020-02-25","BG","Bulgaria","EURO",0,0,0,0
"2020-02-26","BG","Bulgaria","EURO",0,0,0,0
"2020-02-27","BG","Bulgaria","EURO",0,0,0,0
"2020-02-28","BG","Bulgaria","EURO",0,0,0,0
"2020-02-29","BG","Bulgaria","EURO",0,0,0,0
"2020-03-01","BG","Bulgaria","EURO",0,0,0,0
"2020-03-02","BG","Bulgaria","EURO",0,0,0,0
"2020-03-03","BG","Bulgaria","EURO",0,0,0,0
"2020-03-04","BG","Bulgaria","EURO",0,0,0,0
"2020-03-05","BG","Bulgaria","EURO",0,0,0,0
"2020-03-06","BG","Bulgaria","EURO",0,0,0,0
"2020-03-07","BG","Bulgaria","EURO",0,0,0,0
"2020-03-08","BG","Bulgaria","EURO",2,2,0,0
"2020-03-09","BG","Bulgaria","EURO",2,4,0,0
"2020-03-10","BG","Bulgaria","EURO",0,4,0,0
"2020-03-11","BG","Bulgaria","EURO",0,4,0,0
"2020-03-12","BG","Bulgaria","EURO",3,7,1,1
"2020-03-13","BG","Bulgaria","EURO",16,23,0,1
"2020-03-14","BG","Bulgaria","EURO",8,31,0,1
"2020-03-15","BG","Bulgaria","EURO",10,41,1,2
"2020-03-16","BG","Bulgaria","EURO",10,51,0,2
"2020-03-17","BG","Bulgaria","EURO",11,62,0,2
"2020-03-18","BG","Bulgaria","EURO",19,81,0,2
"2020-03-19","BG","Bulgaria","EURO",11,92,0,2
"2020-03-20","BG","Bulgaria","EURO",13,105,1,3
"2020-03-21","BG","Bulgaria","EURO",22,127,0,3
"2020-03-22","BG","Bulgaria","EURO",36,163,0,3
"2020-03-23","BG","Bulgaria","EURO",22,185,0,3
"2020-03-24","BG","Bulgaria","EURO",16,201,0,3
"2020-03-25","BG","Bulgaria","EURO",19,220,0,3
"2020-03-26","BG","Bulgaria","EURO",22,242,0,3
"2020-03-27","BG","Bulgaria","EURO",22,264,0,3
"2020-03-28","BG","Bulgaria","EURO",29,293,0,3
"2020-03-29","BG","Bulgaria","EURO",38,331,4,7
"2020-03-30","BG","Bulgaria","EURO",15,346,1,8
"2020-03-31","BG","Bulgaria","EURO",13,359,0,8
"2020-04-01","BG","Bulgaria","EURO",40,399,0,8
"2020-04-02","BG","Bulgaria","EURO",23,422,2,10
"2020-04-03","BG","Bulgaria","EURO",35,457,0,10
"2020-04-04","BG","Bulgaria","EURO",28,485,4,14
"2020-04-05","BG","Bulgaria","EURO",18,503,3,17
"2020-04-06","BG","Bulgaria","EURO",28,531,3,20
"2020-04-07","BG","Bulgaria","EURO",18,549,2,22
"2020-04-08","BG","Bulgaria","EURO",28,577,1,23
"2020-04-09","BG","Bulgaria","EURO",16,593,1,24
