"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","BI","Burundi","AFRO",0,0,0,0
"2020-01-04","BI","Burundi","AFRO",0,0,0,0
"2020-01-05","BI","Burundi","AFRO",0,0,0,0
"2020-01-06","BI","Burundi","AFRO",0,0,0,0
"2020-01-07","BI","Burundi","AFRO",0,0,0,0
"2020-01-08","BI","Burundi","AFRO",0,0,0,0
"2020-01-09","BI","Burundi","AFRO",0,0,0,0
"2020-01-10","BI","Burundi","AFRO",0,0,0,0
"2020-01-11","BI","Burundi","AFRO",0,0,0,0
"2020-01-12","BI","Burundi","AFRO",0,0,0,0
"2020-01-13","BI","Burundi","AFRO",0,0,0,0
"2020-01-14","BI","Burundi","AFRO",0,0,0,0
"2020-01-15","BI","Burundi","AFRO",0,0,0,0
"2020-01-16","BI","Burundi","AFRO",0,0,0,0
"2020-01-17","BI","Burundi","AFRO",0,0,0,0
"2020-01-18","BI","Burundi","AFRO",0,0,0,0
"2020-01-19","BI","Burundi","AFRO",0,0,0,0
"2020-01-20","BI","Burundi","AFRO",0,0,0,0
"2020-01-21","BI","Burundi","AFRO",0,0,0,0
"2020-01-22","BI","Burundi","AFRO",0,0,0,0
"2020-01-23","BI","Burundi","AFRO",0,0,0,0
"2020-01-24","BI","Burundi","AFRO",0,0,0,0
"2020-01-25","BI","Burundi","AFRO",0,0,0,0
"2020-01-26","BI","Burundi","AFRO",0,0,0,0
"2020-01-27","BI","Burundi","AFRO",0,0,0,0
"2020-01-28","BI","Burundi","AFRO",0,0,0,0
"2020-01-29","BI","Burundi","AFRO",0,0,0,0
"2020-01-30","BI","Burundi","AFRO",0,0,0,0
"2020-01-31","BI","Burundi","AFRO",0,0,0,0
"2020-02-01","BI","Burundi","AFRO",0,0,0,0
"2020-02-02","BI","Burundi","AFRO",0,0,0,0
"2020-02-03","BI","Burundi","AFRO",0,0,0,0
"2020-02-04","BI","Burundi","AFRO",0,0,0,0
"2020-02-05","BI","Burundi","AFRO",0,0,0,0
"2020-02-06","BI","Burundi","AFRO",0,0,0,0
"2020-02-07","BI","Burundi","AFRO",0,0,0,0
"2020-02-08","BI","Burundi","AFRO",0,0,0,0
"2020-02-09","BI","Burundi","AFRO",0,0,0,0
"2020-02-10","BI","Burundi","AFRO",0,0,0,0
"2020-02-11","BI","Burundi","AFRO",0,0,0,0
"2020-02-12","BI","Burundi","AFRO",0,0,0,0
"2020-02-13","BI","Burundi","AFRO",0,0,0,0
"2020-02-14","BI","Burundi","AFRO",0,0,0,0
"2020-02-15","BI","Burundi","AFRO",0,0,0,0
"2020-02-16","BI","Burundi","AFRO",0,0,0,0
"2020-02-17","BI","Burundi","AFRO",0,0,0,0
"2020-02-18","BI","Burundi","AFRO",0,0,0,0
"2020-02-19","BI","Burundi","AFRO",0,0,0,0
"2020-02-20","BI","Burundi","AFRO",0,0,0,0
"2020-02-21","BI","Burundi","AFRO",0,0,0,0
"2020-02-22","BI","Burundi","AFRO",0,0,0,0
"2020-02-23","BI","Burundi","AFRO",0,0,0,0
"2020-02-24","BI","Burundi","AFRO",0,0,0,0
"2020-02-25","BI","Burundi","AFRO",0,0,0,0
"2020-02-26","BI","Burundi","AFRO",0,0,0,0
"2020-02-27","BI","Burundi","AFRO",0,0,0,0
"2020-02-28","BI","Burundi","AFRO",0,0,0,0
"2020-02-29","BI","Burundi","AFRO",0,0,0,0
"2020-03-01","BI","Burundi","AFRO",0,0,0,0
"2020-03-02","BI","Burundi","AFRO",0,0,0,0
"2020-03-03","BI","Burundi","AFRO",0,0,0,0
"2020-03-04","BI","Burundi","AFRO",0,0,0,0
"2020-03-05","BI","Burundi","AFRO",0,0,0,0
"2020-03-06","BI","Burundi","AFRO",0,0,0,0
"2020-03-07","BI","Burundi","AFRO",0,0,0,0
"2020-03-08","BI","Burundi","AFRO",0,0,0,0
"2020-03-09","BI","Burundi","AFRO",0,0,0,0
"2020-03-10","BI","Burundi","AFRO",0,0,0,0
"2020-03-11","BI","Burundi","AFRO",0,0,0,0
"2020-03-12","BI","Burundi","AFRO",0,0,0,0
"2020-03-13","BI","Burundi","AFRO",0,0,0,0
"2020-03-14","BI","Burundi","AFRO",0,0,0,0
"2020-03-15","BI","Burundi","AFRO",0,0,0,0
"2020-03-16","BI","Burundi","AFRO",0,0,0,0
"2020-03-17","BI","Burundi","AFRO",0,0,0,0
"2020-03-18","BI","Burundi","AFRO",0,0,0,0
"2020-03-19","BI","Burundi","AFRO",0,0,0,0
"2020-03-20","BI","Burundi","AFRO",0,0,0,0
"2020-03-21","BI","Burundi","AFRO",0,0,0,0
"2020-03-22","BI","Burundi","AFRO",0,0,0,0
"2020-03-23","BI","Burundi","AFRO",0,0,0,0
"2020-03-24","BI","Burundi","AFRO",0,0,0,0
"2020-03-25","BI","Burundi","AFRO",0,0,0,0
"2020-03-26","BI","Burundi","AFRO",0,0,0,0
"2020-03-27","BI","Burundi","AFRO",0,0,0,0
