"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-04","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-05","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-06","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-07","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-08","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-09","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-10","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-11","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-12","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-13","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-14","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-15","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-16","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-17","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-18","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-19","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-20","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-21","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-22","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-23","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-24","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-25","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-26","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-27","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-28","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-29","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-30","CV","Cabo Verde","AFRO",0,0,0,0
"2020-01-31","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-01","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-02","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-03","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-04","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-05","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-06","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-07","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-08","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-09","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-10","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-11","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-12","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-13","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-14","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-15","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-16","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-17","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-18","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-19","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-20","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-21","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-22","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-23","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-24","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-25","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-26","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-27","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-28","CV","Cabo Verde","AFRO",0,0,0,0
"2020-02-29","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-01","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-02","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-03","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-04","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-05","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-06","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-07","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-08","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-09","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-10","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-11","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-12","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-13","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-14","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-15","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-16","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-17","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-18","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-19","CV","Cabo Verde","AFRO",0,0,0,0
"2020-03-20","CV","Cabo Verde","AFRO",1,1,0,0
