"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KH","Cambodia","WPRO",0,0,0,0
"2020-01-04","KH","Cambodia","WPRO",0,0,0,0
"2020-01-05","KH","Cambodia","WPRO",0,0,0,0
"2020-01-06","KH","Cambodia","WPRO",0,0,0,0
"2020-01-07","KH","Cambodia","WPRO",0,0,0,0
"2020-01-08","KH","Cambodia","WPRO",0,0,0,0
"2020-01-09","KH","Cambodia","WPRO",0,0,0,0
"2020-01-10","KH","Cambodia","WPRO",0,0,0,0
"2020-01-11","KH","Cambodia","WPRO",0,0,0,0
"2020-01-12","KH","Cambodia","WPRO",0,0,0,0
"2020-01-13","KH","Cambodia","WPRO",0,0,0,0
"2020-01-14","KH","Cambodia","WPRO",0,0,0,0
"2020-01-15","KH","Cambodia","WPRO",0,0,0,0
"2020-01-16","KH","Cambodia","WPRO",0,0,0,0
"2020-01-17","KH","Cambodia","WPRO",0,0,0,0
"2020-01-18","KH","Cambodia","WPRO",0,0,0,0
"2020-01-19","KH","Cambodia","WPRO",0,0,0,0
"2020-01-20","KH","Cambodia","WPRO",0,0,0,0
"2020-01-21","KH","Cambodia","WPRO",0,0,0,0
"2020-01-22","KH","Cambodia","WPRO",0,0,0,0
"2020-01-23","KH","Cambodia","WPRO",0,0,0,0
"2020-01-24","KH","Cambodia","WPRO",0,0,0,0
"2020-01-25","KH","Cambodia","WPRO",0,0,0,0
"2020-01-26","KH","Cambodia","WPRO",0,0,0,0
"2020-01-27","KH","Cambodia","WPRO",5,5,0,0
"2020-01-28","KH","Cambodia","WPRO",0,5,0,0
"2020-01-29","KH","Cambodia","WPRO",0,5,0,0
"2020-01-30","KH","Cambodia","WPRO",0,5,0,0
"2020-01-31","KH","Cambodia","WPRO",0,5,0,0
"2020-02-01","KH","Cambodia","WPRO",0,5,0,0
"2020-02-02","KH","Cambodia","WPRO",0,5,0,0
"2020-02-03","KH","Cambodia","WPRO",0,5,0,0
"2020-02-04","KH","Cambodia","WPRO",0,5,0,0
"2020-02-05","KH","Cambodia","WPRO",0,5,0,0
"2020-02-06","KH","Cambodia","WPRO",0,5,0,0
"2020-02-07","KH","Cambodia","WPRO",0,5,0,0
"2020-02-08","KH","Cambodia","WPRO",0,5,0,0
"2020-02-09","KH","Cambodia","WPRO",0,5,0,0
"2020-02-10","KH","Cambodia","WPRO",0,5,0,0
"2020-02-11","KH","Cambodia","WPRO",0,5,0,0
"2020-02-12","KH","Cambodia","WPRO",0,5,0,0
"2020-02-13","KH","Cambodia","WPRO",0,5,0,0
"2020-02-14","KH","Cambodia","WPRO",0,5,0,0
"2020-02-15","KH","Cambodia","WPRO",0,5,0,0
"2020-02-16","KH","Cambodia","WPRO",0,5,0,0
"2020-02-17","KH","Cambodia","WPRO",0,5,0,0
"2020-02-18","KH","Cambodia","WPRO",0,5,0,0
"2020-02-19","KH","Cambodia","WPRO",0,5,0,0
"2020-02-20","KH","Cambodia","WPRO",0,5,0,0
"2020-02-21","KH","Cambodia","WPRO",0,5,0,0
"2020-02-22","KH","Cambodia","WPRO",0,5,0,0
"2020-02-23","KH","Cambodia","WPRO",0,5,0,0
"2020-02-24","KH","Cambodia","WPRO",0,5,0,0
"2020-02-25","KH","Cambodia","WPRO",0,5,0,0
"2020-02-26","KH","Cambodia","WPRO",0,5,0,0
"2020-02-27","KH","Cambodia","WPRO",0,5,0,0
"2020-02-28","KH","Cambodia","WPRO",0,5,0,0
"2020-02-29","KH","Cambodia","WPRO",0,5,0,0
"2020-03-01","KH","Cambodia","WPRO",0,5,0,0
"2020-03-02","KH","Cambodia","WPRO",0,5,0,0
"2020-03-03","KH","Cambodia","WPRO",0,5,0,0
"2020-03-04","KH","Cambodia","WPRO",0,5,0,0
"2020-03-05","KH","Cambodia","WPRO",0,5,0,0
"2020-03-06","KH","Cambodia","WPRO",0,5,0,0
"2020-03-07","KH","Cambodia","WPRO",1,6,0,0
"2020-03-08","KH","Cambodia","WPRO",0,6,0,0
"2020-03-09","KH","Cambodia","WPRO",0,6,0,0
"2020-03-10","KH","Cambodia","WPRO",1,7,0,0
"2020-03-11","KH","Cambodia","WPRO",0,7,0,0
"2020-03-12","KH","Cambodia","WPRO",2,9,0,0
"2020-03-13","KH","Cambodia","WPRO",0,9,0,0
"2020-03-14","KH","Cambodia","WPRO",2,11,0,0
"2020-03-15","KH","Cambodia","WPRO",5,16,0,0
"2020-03-16","KH","Cambodia","WPRO",0,16,0,0
"2020-03-17","KH","Cambodia","WPRO",12,28,0,0
"2020-03-18","KH","Cambodia","WPRO",11,39,0,0
"2020-03-19","KH","Cambodia","WPRO",8,47,0,0
"2020-03-20","KH","Cambodia","WPRO",4,51,0,0
"2020-03-21","KH","Cambodia","WPRO",2,53,0,0
"2020-03-22","KH","Cambodia","WPRO",0,53,0,0
"2020-03-23","KH","Cambodia","WPRO",33,86,0,0
"2020-03-24","KH","Cambodia","WPRO",1,87,0,0
"2020-03-25","KH","Cambodia","WPRO",4,91,0,0
"2020-03-26","KH","Cambodia","WPRO",5,96,0,0
"2020-03-27","KH","Cambodia","WPRO",2,98,0,0
"2020-03-28","KH","Cambodia","WPRO",4,102,0,0
"2020-03-29","KH","Cambodia","WPRO",0,102,0,0
"2020-03-30","KH","Cambodia","WPRO",5,107,0,0
"2020-03-31","KH","Cambodia","WPRO",0,107,0,0
"2020-04-01","KH","Cambodia","WPRO",2,109,0,0
"2020-04-02","KH","Cambodia","WPRO",0,109,0,0
"2020-04-03","KH","Cambodia","WPRO",1,110,0,0
"2020-04-04","KH","Cambodia","WPRO",4,114,0,0
"2020-04-05","KH","Cambodia","WPRO",0,114,0,0
"2020-04-06","KH","Cambodia","WPRO",0,114,0,0
"2020-04-07","KH","Cambodia","WPRO",1,115,0,0
"2020-04-08","KH","Cambodia","WPRO",2,117,0,0
"2020-04-09","KH","Cambodia","WPRO",0,117,0,0
"2020-04-10","KH","Cambodia","WPRO",1,118,0,0
"2020-04-11","KH","Cambodia","WPRO",2,120,0,0
"2020-04-12","KH","Cambodia","WPRO",2,122,0,0
"2020-04-13","KH","Cambodia","WPRO",0,122,0,0
"2020-04-14","KH","Cambodia","WPRO",0,122,0,0
"2020-04-15","KH","Cambodia","WPRO",0,122,0,0
"2020-04-16","KH","Cambodia","WPRO",0,122,0,0
"2020-04-17","KH","Cambodia","WPRO",0,122,0,0
"2020-04-18","KH","Cambodia","WPRO",0,122,0,0
"2020-04-19","KH","Cambodia","WPRO",0,122,0,0
"2020-04-20","KH","Cambodia","WPRO",0,122,0,0
"2020-04-21","KH","Cambodia","WPRO",0,122,0,0
"2020-04-22","KH","Cambodia","WPRO",0,122,0,0
"2020-04-23","KH","Cambodia","WPRO",0,122,0,0
"2020-04-24","KH","Cambodia","WPRO",0,122,0,0
"2020-04-25","KH","Cambodia","WPRO",0,122,0,0
"2020-04-26","KH","Cambodia","WPRO",0,122,0,0
"2020-04-27","KH","Cambodia","WPRO",0,122,0,0
"2020-04-28","KH","Cambodia","WPRO",0,122,0,0
"2020-04-29","KH","Cambodia","WPRO",0,122,0,0
"2020-04-30","KH","Cambodia","WPRO",0,122,0,0
"2020-05-01","KH","Cambodia","WPRO",0,122,0,0
"2020-05-02","KH","Cambodia","WPRO",0,122,0,0
"2020-05-03","KH","Cambodia","WPRO",0,122,0,0
"2020-05-04","KH","Cambodia","WPRO",0,122,0,0
"2020-05-05","KH","Cambodia","WPRO",0,122,0,0
"2020-05-06","KH","Cambodia","WPRO",0,122,0,0
"2020-05-07","KH","Cambodia","WPRO",0,122,0,0
"2020-05-08","KH","Cambodia","WPRO",0,122,0,0
"2020-05-09","KH","Cambodia","WPRO",0,122,0,0
"2020-05-10","KH","Cambodia","WPRO",0,122,0,0
"2020-05-11","KH","Cambodia","WPRO",0,122,0,0
"2020-05-12","KH","Cambodia","WPRO",0,122,0,0
"2020-05-13","KH","Cambodia","WPRO",0,122,0,0
"2020-05-14","KH","Cambodia","WPRO",0,122,0,0
"2020-05-15","KH","Cambodia","WPRO",0,122,0,0
"2020-05-16","KH","Cambodia","WPRO",0,122,0,0
"2020-05-17","KH","Cambodia","WPRO",0,122,0,0
"2020-05-18","KH","Cambodia","WPRO",0,122,0,0
"2020-05-19","KH","Cambodia","WPRO",0,122,0,0
"2020-05-20","KH","Cambodia","WPRO",0,122,0,0
"2020-05-21","KH","Cambodia","WPRO",0,122,0,0
"2020-05-22","KH","Cambodia","WPRO",1,123,0,0
"2020-05-23","KH","Cambodia","WPRO",1,124,0,0
"2020-05-24","KH","Cambodia","WPRO",0,124,0,0
"2020-05-25","KH","Cambodia","WPRO",0,124,0,0
"2020-05-26","KH","Cambodia","WPRO",0,124,0,0
"2020-05-27","KH","Cambodia","WPRO",0,124,0,0
"2020-05-28","KH","Cambodia","WPRO",0,124,0,0
"2020-05-29","KH","Cambodia","WPRO",0,124,0,0
"2020-05-30","KH","Cambodia","WPRO",1,125,0,0
"2020-05-31","KH","Cambodia","WPRO",0,125,0,0
"2020-06-01","KH","Cambodia","WPRO",0,125,0,0
"2020-06-02","KH","Cambodia","WPRO",0,125,0,0
"2020-06-03","KH","Cambodia","WPRO",0,125,0,0
"2020-06-04","KH","Cambodia","WPRO",0,125,0,0
"2020-06-05","KH","Cambodia","WPRO",0,125,0,0
"2020-06-06","KH","Cambodia","WPRO",0,125,0,0
"2020-06-07","KH","Cambodia","WPRO",1,126,0,0
"2020-06-08","KH","Cambodia","WPRO",0,126,0,0
"2020-06-09","KH","Cambodia","WPRO",0,126,0,0
"2020-06-10","KH","Cambodia","WPRO",0,126,0,0
"2020-06-11","KH","Cambodia","WPRO",0,126,0,0
"2020-06-12","KH","Cambodia","WPRO",0,126,0,0
"2020-06-13","KH","Cambodia","WPRO",0,126,0,0
"2020-06-14","KH","Cambodia","WPRO",0,126,0,0
"2020-06-15","KH","Cambodia","WPRO",2,128,0,0
"2020-06-16","KH","Cambodia","WPRO",0,128,0,0
"2020-06-17","KH","Cambodia","WPRO",0,128,0,0
"2020-06-18","KH","Cambodia","WPRO",1,129,0,0
"2020-06-19","KH","Cambodia","WPRO",0,129,0,0
"2020-06-20","KH","Cambodia","WPRO",0,129,0,0
"2020-06-21","KH","Cambodia","WPRO",0,129,0,0
"2020-06-22","KH","Cambodia","WPRO",0,129,0,0
"2020-06-23","KH","Cambodia","WPRO",0,129,0,0
"2020-06-24","KH","Cambodia","WPRO",1,130,0,0
"2020-06-25","KH","Cambodia","WPRO",0,130,0,0
"2020-06-26","KH","Cambodia","WPRO",0,130,0,0
"2020-06-27","KH","Cambodia","WPRO",9,139,0,0
"2020-06-28","KH","Cambodia","WPRO",0,139,0,0
"2020-06-29","KH","Cambodia","WPRO",2,141,0,0
"2020-06-30","KH","Cambodia","WPRO",0,141,0,0
"2020-07-01","KH","Cambodia","WPRO",0,141,0,0
"2020-07-02","KH","Cambodia","WPRO",0,141,0,0
"2020-07-03","KH","Cambodia","WPRO",0,141,0,0
"2020-07-04","KH","Cambodia","WPRO",0,141,0,0
"2020-07-05","KH","Cambodia","WPRO",0,141,0,0
"2020-07-06","KH","Cambodia","WPRO",0,141,0,0
"2020-07-07","KH","Cambodia","WPRO",0,141,0,0
"2020-07-08","KH","Cambodia","WPRO",0,141,0,0
"2020-07-09","KH","Cambodia","WPRO",0,141,0,0
"2020-07-10","KH","Cambodia","WPRO",0,141,0,0
"2020-07-11","KH","Cambodia","WPRO",0,141,0,0
"2020-07-12","KH","Cambodia","WPRO",15,156,0,0
"2020-07-13","KH","Cambodia","WPRO",0,156,0,0
