"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CM","Cameroon","AFRO",0,0,0,0
"2020-01-04","CM","Cameroon","AFRO",0,0,0,0
"2020-01-05","CM","Cameroon","AFRO",0,0,0,0
"2020-01-06","CM","Cameroon","AFRO",0,0,0,0
"2020-01-07","CM","Cameroon","AFRO",0,0,0,0
"2020-01-08","CM","Cameroon","AFRO",0,0,0,0
"2020-01-09","CM","Cameroon","AFRO",0,0,0,0
"2020-01-10","CM","Cameroon","AFRO",0,0,0,0
"2020-01-11","CM","Cameroon","AFRO",0,0,0,0
"2020-01-12","CM","Cameroon","AFRO",0,0,0,0
"2020-01-13","CM","Cameroon","AFRO",0,0,0,0
"2020-01-14","CM","Cameroon","AFRO",0,0,0,0
"2020-01-15","CM","Cameroon","AFRO",0,0,0,0
"2020-01-16","CM","Cameroon","AFRO",0,0,0,0
"2020-01-17","CM","Cameroon","AFRO",0,0,0,0
"2020-01-18","CM","Cameroon","AFRO",0,0,0,0
"2020-01-19","CM","Cameroon","AFRO",0,0,0,0
"2020-01-20","CM","Cameroon","AFRO",0,0,0,0
"2020-01-21","CM","Cameroon","AFRO",0,0,0,0
"2020-01-22","CM","Cameroon","AFRO",0,0,0,0
"2020-01-23","CM","Cameroon","AFRO",0,0,0,0
"2020-01-24","CM","Cameroon","AFRO",0,0,0,0
"2020-01-25","CM","Cameroon","AFRO",0,0,0,0
"2020-01-26","CM","Cameroon","AFRO",0,0,0,0
"2020-01-27","CM","Cameroon","AFRO",0,0,0,0
"2020-01-28","CM","Cameroon","AFRO",0,0,0,0
"2020-01-29","CM","Cameroon","AFRO",0,0,0,0
"2020-01-30","CM","Cameroon","AFRO",0,0,0,0
"2020-01-31","CM","Cameroon","AFRO",0,0,0,0
"2020-02-01","CM","Cameroon","AFRO",0,0,0,0
"2020-02-02","CM","Cameroon","AFRO",0,0,0,0
"2020-02-03","CM","Cameroon","AFRO",0,0,0,0
"2020-02-04","CM","Cameroon","AFRO",0,0,0,0
"2020-02-05","CM","Cameroon","AFRO",0,0,0,0
"2020-02-06","CM","Cameroon","AFRO",0,0,0,0
"2020-02-07","CM","Cameroon","AFRO",0,0,0,0
"2020-02-08","CM","Cameroon","AFRO",0,0,0,0
"2020-02-09","CM","Cameroon","AFRO",0,0,0,0
"2020-02-10","CM","Cameroon","AFRO",0,0,0,0
"2020-02-11","CM","Cameroon","AFRO",0,0,0,0
"2020-02-12","CM","Cameroon","AFRO",0,0,0,0
"2020-02-13","CM","Cameroon","AFRO",0,0,0,0
"2020-02-14","CM","Cameroon","AFRO",0,0,0,0
"2020-02-15","CM","Cameroon","AFRO",0,0,0,0
"2020-02-16","CM","Cameroon","AFRO",0,0,0,0
"2020-02-17","CM","Cameroon","AFRO",0,0,0,0
"2020-02-18","CM","Cameroon","AFRO",0,0,0,0
"2020-02-19","CM","Cameroon","AFRO",0,0,0,0
"2020-02-20","CM","Cameroon","AFRO",0,0,0,0
"2020-02-21","CM","Cameroon","AFRO",0,0,0,0
"2020-02-22","CM","Cameroon","AFRO",0,0,0,0
"2020-02-23","CM","Cameroon","AFRO",0,0,0,0
"2020-02-24","CM","Cameroon","AFRO",0,0,0,0
"2020-02-25","CM","Cameroon","AFRO",0,0,0,0
"2020-02-26","CM","Cameroon","AFRO",0,0,0,0
"2020-02-27","CM","Cameroon","AFRO",0,0,0,0
"2020-02-28","CM","Cameroon","AFRO",0,0,0,0
"2020-02-29","CM","Cameroon","AFRO",0,0,0,0
"2020-03-01","CM","Cameroon","AFRO",0,0,0,0
"2020-03-02","CM","Cameroon","AFRO",0,0,0,0
"2020-03-03","CM","Cameroon","AFRO",0,0,0,0
"2020-03-04","CM","Cameroon","AFRO",0,0,0,0
"2020-03-05","CM","Cameroon","AFRO",0,0,0,0
"2020-03-06","CM","Cameroon","AFRO",6,6,0,0
"2020-03-07","CM","Cameroon","AFRO",0,6,0,0
"2020-03-08","CM","Cameroon","AFRO",0,6,0,0
"2020-03-09","CM","Cameroon","AFRO",0,6,0,0
"2020-03-10","CM","Cameroon","AFRO",0,6,0,0
"2020-03-11","CM","Cameroon","AFRO",0,6,0,0
"2020-03-12","CM","Cameroon","AFRO",0,6,0,0
"2020-03-13","CM","Cameroon","AFRO",0,6,0,0
"2020-03-14","CM","Cameroon","AFRO",1,7,0,0
"2020-03-15","CM","Cameroon","AFRO",0,7,0,0
"2020-03-16","CM","Cameroon","AFRO",2,9,0,0
"2020-03-17","CM","Cameroon","AFRO",0,9,0,0
"2020-03-18","CM","Cameroon","AFRO",5,14,0,0
"2020-03-19","CM","Cameroon","AFRO",5,19,0,0
"2020-03-20","CM","Cameroon","AFRO",3,22,0,0
"2020-03-21","CM","Cameroon","AFRO",5,27,0,0
"2020-03-22","CM","Cameroon","AFRO",0,27,0,0
"2020-03-23","CM","Cameroon","AFRO",13,40,0,0
"2020-03-24","CM","Cameroon","AFRO",30,70,0,0
"2020-03-25","CM","Cameroon","AFRO",0,70,1,1
"2020-03-26","CM","Cameroon","AFRO",5,75,0,1
"2020-03-27","CM","Cameroon","AFRO",0,75,0,1
"2020-03-28","CM","Cameroon","AFRO",0,75,0,1
"2020-03-29","CM","Cameroon","AFRO",16,91,1,2
"2020-03-30","CM","Cameroon","AFRO",22,113,0,2
"2020-03-31","CM","Cameroon","AFRO",26,139,4,6
"2020-04-01","CM","Cameroon","AFRO",0,139,0,6
"2020-04-02","CM","Cameroon","AFRO",0,139,0,6
"2020-04-03","CM","Cameroon","AFRO",107,246,1,7
"2020-04-04","CM","Cameroon","AFRO",263,509,1,8
"2020-04-05","CM","Cameroon","AFRO",46,555,1,9
"2020-04-06","CM","Cameroon","AFRO",0,555,0,9
"2020-04-07","CM","Cameroon","AFRO",0,555,0,9
"2020-04-08","CM","Cameroon","AFRO",0,555,0,9
"2020-04-09","CM","Cameroon","AFRO",175,730,1,10
"2020-04-10","CM","Cameroon","AFRO",0,730,0,10
"2020-04-11","CM","Cameroon","AFRO",73,803,0,10
"2020-04-12","CM","Cameroon","AFRO",0,803,0,10
"2020-04-13","CM","Cameroon","AFRO",0,803,0,10
"2020-04-14","CM","Cameroon","AFRO",0,803,0,10
"2020-04-15","CM","Cameroon","AFRO",52,855,5,15
"2020-04-16","CM","Cameroon","AFRO",0,855,2,17
"2020-04-17","CM","Cameroon","AFRO",0,855,0,17
"2020-04-18","CM","Cameroon","AFRO",161,1016,4,21
"2020-04-19","CM","Cameroon","AFRO",0,1016,0,21
"2020-04-20","CM","Cameroon","AFRO",0,1016,0,21
"2020-04-21","CM","Cameroon","AFRO",147,1163,21,42
"2020-04-22","CM","Cameroon","AFRO",0,1163,1,43
"2020-04-23","CM","Cameroon","AFRO",0,1163,0,43
"2020-04-24","CM","Cameroon","AFRO",238,1401,6,49
"2020-04-25","CM","Cameroon","AFRO",2,1403,0,49
"2020-04-26","CM","Cameroon","AFRO",115,1518,4,53
"2020-04-27","CM","Cameroon","AFRO",103,1621,3,56
"2020-04-28","CM","Cameroon","AFRO",0,1621,0,56
"2020-04-29","CM","Cameroon","AFRO",84,1705,2,58
"2020-04-30","CM","Cameroon","AFRO",101,1806,1,59
"2020-05-01","CM","Cameroon","AFRO",26,1832,2,61
"2020-05-02","CM","Cameroon","AFRO",237,2069,0,61
"2020-05-03","CM","Cameroon","AFRO",8,2077,3,64
"2020-05-04","CM","Cameroon","AFRO",0,2077,0,64
"2020-05-05","CM","Cameroon","AFRO",0,2077,0,64
"2020-05-06","CM","Cameroon","AFRO",188,2265,44,108
"2020-05-07","CM","Cameroon","AFRO",0,2265,0,108
"2020-05-08","CM","Cameroon","AFRO",0,2265,0,108
"2020-05-09","CM","Cameroon","AFRO",0,2265,0,108
"2020-05-10","CM","Cameroon","AFRO",70,2335,2,110
"2020-05-11","CM","Cameroon","AFRO",244,2579,4,114
"2020-05-12","CM","Cameroon","AFRO",0,2579,0,114
"2020-05-13","CM","Cameroon","AFRO",110,2689,11,125
"2020-05-14","CM","Cameroon","AFRO",111,2800,11,136
"2020-05-15","CM","Cameroon","AFRO",154,2954,3,139
"2020-05-16","CM","Cameroon","AFRO",93,3047,0,139
"2020-05-17","CM","Cameroon","AFRO",0,3047,0,139
"2020-05-18","CM","Cameroon","AFRO",0,3047,0,139
"2020-05-19","CM","Cameroon","AFRO",482,3529,1,140
"2020-05-20","CM","Cameroon","AFRO",0,3529,0,140
"2020-05-21","CM","Cameroon","AFRO",204,3733,6,146
"2020-05-22","CM","Cameroon","AFRO",555,4288,10,156
"2020-05-23","CM","Cameroon","AFRO",112,4400,3,159
"2020-05-24","CM","Cameroon","AFRO",0,4400,0,159
"2020-05-25","CM","Cameroon","AFRO",0,4400,0,159
"2020-05-26","CM","Cameroon","AFRO",490,4890,6,165
"2020-05-27","CM","Cameroon","AFRO",546,5436,12,177
"2020-05-28","CM","Cameroon","AFRO",0,5436,0,177
"2020-05-29","CM","Cameroon","AFRO",0,5436,0,177
"2020-05-30","CM","Cameroon","AFRO",0,5436,0,177
"2020-05-31","CM","Cameroon","AFRO",223,5659,8,185
"2020-06-01","CM","Cameroon","AFRO",245,5904,6,191
"2020-06-02","CM","Cameroon","AFRO",493,6397,8,199
"2020-06-03","CM","Cameroon","AFRO",188,6585,1,200
"2020-06-04","CM","Cameroon","AFRO",167,6752,0,200
"2020-06-05","CM","Cameroon","AFRO",37,6789,3,203
"2020-06-06","CM","Cameroon","AFRO",603,7392,2,205
"2020-06-07","CM","Cameroon","AFRO",207,7599,7,212
"2020-06-08","CM","Cameroon","AFRO",261,7860,3,215
"2020-06-09","CM","Cameroon","AFRO",200,8060,0,215
"2020-06-10","CM","Cameroon","AFRO",252,8312,0,215
"2020-06-11","CM","Cameroon","AFRO",369,8681,0,215
"2020-06-12","CM","Cameroon","AFRO",0,8681,0,215
"2020-06-13","CM","Cameroon","AFRO",62,8743,55,270
"2020-06-14","CM","Cameroon","AFRO",0,8743,0,270
"2020-06-15","CM","Cameroon","AFRO",829,9572,5,275
"2020-06-16","CM","Cameroon","AFRO",292,9864,1,276
"2020-06-17","CM","Cameroon","AFRO",0,9864,0,276
"2020-06-18","CM","Cameroon","AFRO",0,9864,0,276
"2020-06-19","CM","Cameroon","AFRO",0,9864,0,276
"2020-06-20","CM","Cameroon","AFRO",774,10638,6,282
"2020-06-21","CM","Cameroon","AFRO",0,10638,0,282
"2020-06-22","CM","Cameroon","AFRO",643,11281,18,300
"2020-06-23","CM","Cameroon","AFRO",611,11892,3,303
"2020-06-24","CM","Cameroon","AFRO",149,12041,5,308
"2020-06-25","CM","Cameroon","AFRO",229,12270,5,313
"2020-06-26","CM","Cameroon","AFRO",322,12592,0,313
"2020-06-27","CM","Cameroon","AFRO",0,12592,0,313
"2020-06-28","CM","Cameroon","AFRO",0,12592,0,313
"2020-06-29","CM","Cameroon","AFRO",0,12592,0,313
"2020-06-30","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-01","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-02","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-03","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-04","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-05","CM","Cameroon","AFRO",0,12592,0,313
"2020-07-06","CM","Cameroon","AFRO",1445,14037,17,330
"2020-07-07","CM","Cameroon","AFRO",487,14524,12,342
"2020-07-08","CM","Cameroon","AFRO",392,14916,17,359
"2020-07-09","CM","Cameroon","AFRO",0,14916,0,359
"2020-07-10","CM","Cameroon","AFRO",0,14916,0,359
"2020-07-11","CM","Cameroon","AFRO",0,14916,0,359
"2020-07-12","CM","Cameroon","AFRO",0,14916,0,359
"2020-07-13","CM","Cameroon","AFRO",257,15173,0,359
"2020-07-14","CM","Cameroon","AFRO",0,15173,0,359
"2020-07-15","CM","Cameroon","AFRO",0,15173,0,359
"2020-07-16","CM","Cameroon","AFRO",884,16057,10,369
"2020-07-17","CM","Cameroon","AFRO",0,16057,0,369
"2020-07-18","CM","Cameroon","AFRO",100,16157,4,373
"2020-07-19","CM","Cameroon","AFRO",0,16157,0,373
"2020-07-20","CM","Cameroon","AFRO",0,16157,0,373
"2020-07-21","CM","Cameroon","AFRO",365,16522,9,382
"2020-07-22","CM","Cameroon","AFRO",0,16522,0,382
"2020-07-23","CM","Cameroon","AFRO",0,16522,0,382
"2020-07-24","CM","Cameroon","AFRO",0,16522,0,382
"2020-07-25","CM","Cameroon","AFRO",186,16708,3,385
"2020-07-26","CM","Cameroon","AFRO",0,16708,0,385
"2020-07-27","CM","Cameroon","AFRO",402,17110,6,391
"2020-07-28","CM","Cameroon","AFRO",69,17179,0,391
"2020-07-29","CM","Cameroon","AFRO",0,17179,0,391
"2020-07-30","CM","Cameroon","AFRO",76,17255,0,391
"2020-07-31","CM","Cameroon","AFRO",0,17255,0,391
"2020-08-01","CM","Cameroon","AFRO",0,17255,0,391
"2020-08-02","CM","Cameroon","AFRO",0,17255,0,391
"2020-08-03","CM","Cameroon","AFRO",0,17255,0,391
"2020-08-04","CM","Cameroon","AFRO",463,17718,0,391
"2020-08-05","CM","Cameroon","AFRO",0,17718,0,391
"2020-08-06","CM","Cameroon","AFRO",0,17718,0,391
"2020-08-07","CM","Cameroon","AFRO",0,17718,0,391
"2020-08-08","CM","Cameroon","AFRO",324,18042,4,395
"2020-08-09","CM","Cameroon","AFRO",0,18042,0,395
"2020-08-10","CM","Cameroon","AFRO",0,18042,0,395
"2020-08-11","CM","Cameroon","AFRO",171,18213,3,398
"2020-08-12","CM","Cameroon","AFRO",50,18263,3,401
"2020-08-13","CM","Cameroon","AFRO",45,18308,0,401
"2020-08-14","CM","Cameroon","AFRO",161,18469,0,401
"2020-08-15","CM","Cameroon","AFRO",0,18469,0,401
"2020-08-16","CM","Cameroon","AFRO",0,18469,0,401
"2020-08-17","CM","Cameroon","AFRO",113,18582,2,403
"2020-08-18","CM","Cameroon","AFRO",17,18599,3,406
"2020-08-19","CM","Cameroon","AFRO",25,18624,0,406
"2020-08-20","CM","Cameroon","AFRO",138,18762,2,408
"2020-08-21","CM","Cameroon","AFRO",0,18762,0,408
"2020-08-22","CM","Cameroon","AFRO",0,18762,0,408
"2020-08-23","CM","Cameroon","AFRO",0,18762,0,408
"2020-08-24","CM","Cameroon","AFRO",0,18762,0,408
"2020-08-25","CM","Cameroon","AFRO",211,18973,2,410
"2020-08-26","CM","Cameroon","AFRO",0,18973,0,410
"2020-08-27","CM","Cameroon","AFRO",0,18973,0,410
"2020-08-28","CM","Cameroon","AFRO",0,18973,0,410
"2020-08-29","CM","Cameroon","AFRO",169,19142,1,411
"2020-08-30","CM","Cameroon","AFRO",0,19142,0,411
"2020-08-31","CM","Cameroon","AFRO",0,19142,0,411
"2020-09-01","CM","Cameroon","AFRO",267,19409,3,414
"2020-09-02","CM","Cameroon","AFRO",51,19460,1,415
"2020-09-03","CM","Cameroon","AFRO",0,19460,0,415
"2020-09-04","CM","Cameroon","AFRO",144,19604,0,415
"2020-09-05","CM","Cameroon","AFRO",0,19604,0,415
"2020-09-06","CM","Cameroon","AFRO",0,19604,0,415
"2020-09-07","CM","Cameroon","AFRO",0,19604,0,415
"2020-09-08","CM","Cameroon","AFRO",244,19848,0,415
"2020-09-09","CM","Cameroon","AFRO",0,19848,0,415
"2020-09-10","CM","Cameroon","AFRO",0,19848,0,415
"2020-09-11","CM","Cameroon","AFRO",161,20009,0,415
"2020-09-12","CM","Cameroon","AFRO",0,20009,0,415
"2020-09-13","CM","Cameroon","AFRO",158,20167,0,415
"2020-09-14","CM","Cameroon","AFRO",61,20228,0,415
"2020-09-15","CM","Cameroon","AFRO",43,20271,0,415
"2020-09-16","CM","Cameroon","AFRO",32,20303,0,415
"2020-09-17","CM","Cameroon","AFRO",0,20303,0,415
"2020-09-18","CM","Cameroon","AFRO",0,20303,0,415
"2020-09-19","CM","Cameroon","AFRO",128,20431,1,416
"2020-09-20","CM","Cameroon","AFRO",0,20431,0,416
"2020-09-21","CM","Cameroon","AFRO",167,20598,0,416
"2020-09-22","CM","Cameroon","AFRO",0,20598,0,416
"2020-09-23","CM","Cameroon","AFRO",92,20690,0,416
"2020-09-24","CM","Cameroon","AFRO",0,20690,0,416
"2020-09-25","CM","Cameroon","AFRO",0,20690,0,416
"2020-09-26","CM","Cameroon","AFRO",45,20735,2,418
"2020-09-27","CM","Cameroon","AFRO",0,20735,0,418
"2020-09-28","CM","Cameroon","AFRO",103,20838,0,418
"2020-09-29","CM","Cameroon","AFRO",0,20838,0,418
"2020-09-30","CM","Cameroon","AFRO",0,20838,0,418
"2020-10-01","CM","Cameroon","AFRO",0,20838,0,418
"2020-10-02","CM","Cameroon","AFRO",0,20838,0,418
"2020-10-03","CM","Cameroon","AFRO",0,20838,0,418
"2020-10-04","CM","Cameroon","AFRO",0,20838,0,418
"2020-10-05","CM","Cameroon","AFRO",37,20875,0,418
"2020-10-06","CM","Cameroon","AFRO",49,20924,2,420
"2020-10-07","CM","Cameroon","AFRO",0,20924,0,420
"2020-10-08","CM","Cameroon","AFRO",236,21160,0,420
"2020-10-09","CM","Cameroon","AFRO",0,21160,0,420
"2020-10-10","CM","Cameroon","AFRO",0,21160,0,420
"2020-10-11","CM","Cameroon","AFRO",0,21160,0,420
"2020-10-12","CM","Cameroon","AFRO",0,21160,0,420
"2020-10-13","CM","Cameroon","AFRO",173,21333,3,423
"2020-10-14","CM","Cameroon","AFRO",108,21441,0,423
"2020-10-15","CM","Cameroon","AFRO",0,21441,0,423
"2020-10-16","CM","Cameroon","AFRO",0,21441,0,423
"2020-10-17","CM","Cameroon","AFRO",0,21441,0,423
"2020-10-18","CM","Cameroon","AFRO",0,21441,0,423
"2020-10-19","CM","Cameroon","AFRO",65,21506,1,424
"2020-10-20","CM","Cameroon","AFRO",64,21570,1,425
"2020-10-21","CM","Cameroon","AFRO",0,21570,0,425
"2020-10-22","CM","Cameroon","AFRO",0,21570,0,425
"2020-10-23","CM","Cameroon","AFRO",0,21570,0,425
"2020-10-24","CM","Cameroon","AFRO",0,21570,0,425
"2020-10-25","CM","Cameroon","AFRO",0,21570,0,425
"2020-10-26","CM","Cameroon","AFRO",223,21793,1,426
"2020-10-27","CM","Cameroon","AFRO",0,21793,0,426
"2020-10-28","CM","Cameroon","AFRO",0,21793,0,426
"2020-10-29","CM","Cameroon","AFRO",0,21793,0,426
"2020-10-30","CM","Cameroon","AFRO",0,21793,0,426
"2020-10-31","CM","Cameroon","AFRO",0,21793,0,426
"2020-11-01","CM","Cameroon","AFRO",0,21793,0,426
"2020-11-02","CM","Cameroon","AFRO",0,21793,0,426
"2020-11-03","CM","Cameroon","AFRO",310,22103,3,429
"2020-11-04","CM","Cameroon","AFRO",0,22103,0,429
"2020-11-05","CM","Cameroon","AFRO",0,22103,0,429
"2020-11-06","CM","Cameroon","AFRO",0,22103,0,429
"2020-11-07","CM","Cameroon","AFRO",239,22342,0,429
"2020-11-08","CM","Cameroon","AFRO",0,22342,0,429
"2020-11-09","CM","Cameroon","AFRO",0,22342,0,429
