"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-04","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-05","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-06","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-07","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-08","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-09","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-10","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-11","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-12","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-13","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-14","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-15","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-16","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-17","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-18","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-19","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-20","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-21","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-22","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-23","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-24","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-25","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-26","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-27","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-28","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-29","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-30","KY","Cayman Islands","AMRO",0,0,0,0
"2020-01-31","KY","Cayman Islands","AMRO",0,0,0,0
