"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","TD","Chad","AFRO",0,0,0,0
"2020-01-04","TD","Chad","AFRO",0,0,0,0
"2020-01-05","TD","Chad","AFRO",0,0,0,0
"2020-01-06","TD","Chad","AFRO",0,0,0,0
"2020-01-07","TD","Chad","AFRO",0,0,0,0
"2020-01-08","TD","Chad","AFRO",0,0,0,0
"2020-01-09","TD","Chad","AFRO",0,0,0,0
"2020-01-10","TD","Chad","AFRO",0,0,0,0
"2020-01-11","TD","Chad","AFRO",0,0,0,0
"2020-01-12","TD","Chad","AFRO",0,0,0,0
"2020-01-13","TD","Chad","AFRO",0,0,0,0
"2020-01-14","TD","Chad","AFRO",0,0,0,0
"2020-01-15","TD","Chad","AFRO",0,0,0,0
"2020-01-16","TD","Chad","AFRO",0,0,0,0
"2020-01-17","TD","Chad","AFRO",0,0,0,0
"2020-01-18","TD","Chad","AFRO",0,0,0,0
"2020-01-19","TD","Chad","AFRO",0,0,0,0
"2020-01-20","TD","Chad","AFRO",0,0,0,0
"2020-01-21","TD","Chad","AFRO",0,0,0,0
"2020-01-22","TD","Chad","AFRO",0,0,0,0
"2020-01-23","TD","Chad","AFRO",0,0,0,0
"2020-01-24","TD","Chad","AFRO",0,0,0,0
"2020-01-25","TD","Chad","AFRO",0,0,0,0
"2020-01-26","TD","Chad","AFRO",0,0,0,0
"2020-01-27","TD","Chad","AFRO",0,0,0,0
"2020-01-28","TD","Chad","AFRO",0,0,0,0
"2020-01-29","TD","Chad","AFRO",0,0,0,0
"2020-01-30","TD","Chad","AFRO",0,0,0,0
"2020-01-31","TD","Chad","AFRO",0,0,0,0
"2020-02-01","TD","Chad","AFRO",0,0,0,0
"2020-02-02","TD","Chad","AFRO",0,0,0,0
"2020-02-03","TD","Chad","AFRO",0,0,0,0
"2020-02-04","TD","Chad","AFRO",0,0,0,0
"2020-02-05","TD","Chad","AFRO",0,0,0,0
"2020-02-06","TD","Chad","AFRO",0,0,0,0
"2020-02-07","TD","Chad","AFRO",0,0,0,0
"2020-02-08","TD","Chad","AFRO",0,0,0,0
"2020-02-09","TD","Chad","AFRO",0,0,0,0
"2020-02-10","TD","Chad","AFRO",0,0,0,0
"2020-02-11","TD","Chad","AFRO",0,0,0,0
"2020-02-12","TD","Chad","AFRO",0,0,0,0
"2020-02-13","TD","Chad","AFRO",0,0,0,0
"2020-02-14","TD","Chad","AFRO",0,0,0,0
"2020-02-15","TD","Chad","AFRO",0,0,0,0
"2020-02-16","TD","Chad","AFRO",0,0,0,0
"2020-02-17","TD","Chad","AFRO",0,0,0,0
"2020-02-18","TD","Chad","AFRO",0,0,0,0
"2020-02-19","TD","Chad","AFRO",0,0,0,0
"2020-02-20","TD","Chad","AFRO",0,0,0,0
"2020-02-21","TD","Chad","AFRO",0,0,0,0
"2020-02-22","TD","Chad","AFRO",0,0,0,0
"2020-02-23","TD","Chad","AFRO",0,0,0,0
"2020-02-24","TD","Chad","AFRO",0,0,0,0
"2020-02-25","TD","Chad","AFRO",0,0,0,0
"2020-02-26","TD","Chad","AFRO",0,0,0,0
"2020-02-27","TD","Chad","AFRO",0,0,0,0
"2020-02-28","TD","Chad","AFRO",0,0,0,0
"2020-02-29","TD","Chad","AFRO",0,0,0,0
"2020-03-01","TD","Chad","AFRO",0,0,0,0
"2020-03-02","TD","Chad","AFRO",0,0,0,0
"2020-03-03","TD","Chad","AFRO",0,0,0,0
"2020-03-04","TD","Chad","AFRO",0,0,0,0
"2020-03-05","TD","Chad","AFRO",0,0,0,0
"2020-03-06","TD","Chad","AFRO",0,0,0,0
"2020-03-07","TD","Chad","AFRO",0,0,0,0
"2020-03-08","TD","Chad","AFRO",0,0,0,0
"2020-03-09","TD","Chad","AFRO",0,0,0,0
"2020-03-10","TD","Chad","AFRO",0,0,0,0
"2020-03-11","TD","Chad","AFRO",0,0,0,0
"2020-03-12","TD","Chad","AFRO",0,0,0,0
"2020-03-13","TD","Chad","AFRO",0,0,0,0
"2020-03-14","TD","Chad","AFRO",0,0,0,0
"2020-03-15","TD","Chad","AFRO",0,0,0,0
"2020-03-16","TD","Chad","AFRO",0,0,0,0
"2020-03-17","TD","Chad","AFRO",0,0,0,0
"2020-03-18","TD","Chad","AFRO",0,0,0,0
"2020-03-19","TD","Chad","AFRO",5,5,0,0
"2020-03-20","TD","Chad","AFRO",0,5,0,0
"2020-03-21","TD","Chad","AFRO",0,5,0,0
"2020-03-22","TD","Chad","AFRO",0,5,0,0
"2020-03-23","TD","Chad","AFRO",0,5,0,0
"2020-03-24","TD","Chad","AFRO",-2,3,0,0
"2020-03-25","TD","Chad","AFRO",0,3,0,0
"2020-03-26","TD","Chad","AFRO",0,3,0,0
"2020-03-27","TD","Chad","AFRO",2,5,0,0
"2020-03-28","TD","Chad","AFRO",0,5,0,0
"2020-03-29","TD","Chad","AFRO",0,5,0,0
"2020-03-30","TD","Chad","AFRO",0,5,0,0
"2020-03-31","TD","Chad","AFRO",0,5,0,0
"2020-04-01","TD","Chad","AFRO",2,7,0,0
"2020-04-02","TD","Chad","AFRO",0,7,0,0
"2020-04-03","TD","Chad","AFRO",0,7,0,0
"2020-04-04","TD","Chad","AFRO",0,7,0,0
"2020-04-05","TD","Chad","AFRO",0,7,0,0
"2020-04-06","TD","Chad","AFRO",2,9,0,0
"2020-04-07","TD","Chad","AFRO",0,9,0,0
"2020-04-08","TD","Chad","AFRO",1,10,0,0
"2020-04-09","TD","Chad","AFRO",0,10,0,0
"2020-04-10","TD","Chad","AFRO",1,11,0,0
"2020-04-11","TD","Chad","AFRO",0,11,0,0
"2020-04-12","TD","Chad","AFRO",0,11,0,0
"2020-04-13","TD","Chad","AFRO",7,18,0,0
"2020-04-14","TD","Chad","AFRO",5,23,0,0
"2020-04-15","TD","Chad","AFRO",0,23,0,0
"2020-04-16","TD","Chad","AFRO",4,27,0,0
"2020-04-17","TD","Chad","AFRO",0,27,0,0
"2020-04-18","TD","Chad","AFRO",6,33,0,0
"2020-04-19","TD","Chad","AFRO",0,33,0,0
"2020-04-20","TD","Chad","AFRO",0,33,0,0
"2020-04-21","TD","Chad","AFRO",0,33,0,0
"2020-04-22","TD","Chad","AFRO",1,34,0,0
"2020-04-23","TD","Chad","AFRO",0,34,0,0
"2020-04-24","TD","Chad","AFRO",0,34,0,0
"2020-04-25","TD","Chad","AFRO",6,40,0,0
"2020-04-26","TD","Chad","AFRO",6,46,0,0
"2020-04-27","TD","Chad","AFRO",0,46,0,0
"2020-04-28","TD","Chad","AFRO",0,46,0,0
"2020-04-29","TD","Chad","AFRO",6,52,2,2
"2020-04-30","TD","Chad","AFRO",0,52,0,2
"2020-05-01","TD","Chad","AFRO",21,73,1,3
"2020-05-02","TD","Chad","AFRO",0,73,2,5
"2020-05-03","TD","Chad","AFRO",44,117,5,10
"2020-05-04","TD","Chad","AFRO",0,117,0,10
"2020-05-05","TD","Chad","AFRO",0,117,0,10
"2020-05-06","TD","Chad","AFRO",53,170,7,17
"2020-05-07","TD","Chad","AFRO",0,170,0,17
"2020-05-08","TD","Chad","AFRO",83,253,10,27
"2020-05-09","TD","Chad","AFRO",7,260,1,28
"2020-05-10","TD","Chad","AFRO",62,322,3,31
"2020-05-11","TD","Chad","AFRO",0,322,0,31
"2020-05-12","TD","Chad","AFRO",0,322,0,31
"2020-05-13","TD","Chad","AFRO",35,357,9,40
"2020-05-14","TD","Chad","AFRO",15,372,2,42
"2020-05-15","TD","Chad","AFRO",27,399,4,46
"2020-05-16","TD","Chad","AFRO",29,428,2,48
"2020-05-17","TD","Chad","AFRO",46,474,2,50
"2020-05-18","TD","Chad","AFRO",29,503,3,53
"2020-05-19","TD","Chad","AFRO",16,519,1,54
"2020-05-20","TD","Chad","AFRO",26,545,2,56
"2020-05-21","TD","Chad","AFRO",20,565,1,57
"2020-05-22","TD","Chad","AFRO",23,588,1,58
"2020-05-23","TD","Chad","AFRO",23,611,1,59
"2020-05-24","TD","Chad","AFRO",37,648,1,60
"2020-05-25","TD","Chad","AFRO",27,675,0,60
"2020-05-26","TD","Chad","AFRO",12,687,1,61
"2020-05-27","TD","Chad","AFRO",13,700,1,62
"2020-05-28","TD","Chad","AFRO",15,715,2,64
"2020-05-29","TD","Chad","AFRO",11,726,1,65
"2020-05-30","TD","Chad","AFRO",33,759,0,65
"2020-05-31","TD","Chad","AFRO",0,759,0,65
"2020-06-01","TD","Chad","AFRO",19,778,0,65
"2020-06-02","TD","Chad","AFRO",12,790,1,66
"2020-06-03","TD","Chad","AFRO",13,803,0,66
"2020-06-04","TD","Chad","AFRO",17,820,0,66
"2020-06-05","TD","Chad","AFRO",8,828,0,66
"2020-06-06","TD","Chad","AFRO",8,836,2,68
"2020-06-07","TD","Chad","AFRO",0,836,1,69
"2020-06-08","TD","Chad","AFRO",1,837,0,69
"2020-06-09","TD","Chad","AFRO",2,839,1,70
"2020-06-10","TD","Chad","AFRO",5,844,1,71
"2020-06-11","TD","Chad","AFRO",2,846,1,72
"2020-06-12","TD","Chad","AFRO",2,848,0,72
"2020-06-13","TD","Chad","AFRO",0,848,0,72
"2020-06-14","TD","Chad","AFRO",0,848,0,72
"2020-06-15","TD","Chad","AFRO",2,850,1,73
"2020-06-16","TD","Chad","AFRO",0,850,0,73
"2020-06-17","TD","Chad","AFRO",3,853,1,74
"2020-06-18","TD","Chad","AFRO",1,854,0,74
"2020-06-19","TD","Chad","AFRO",0,854,0,74
"2020-06-20","TD","Chad","AFRO",4,858,0,74
"2020-06-21","TD","Chad","AFRO",0,858,0,74
"2020-06-22","TD","Chad","AFRO",0,858,0,74
"2020-06-23","TD","Chad","AFRO",0,858,0,74
"2020-06-24","TD","Chad","AFRO",2,860,0,74
"2020-06-25","TD","Chad","AFRO",0,860,0,74
"2020-06-26","TD","Chad","AFRO",3,863,0,74
"2020-06-27","TD","Chad","AFRO",2,865,0,74
"2020-06-28","TD","Chad","AFRO",0,865,0,74
"2020-06-29","TD","Chad","AFRO",1,866,0,74
"2020-06-30","TD","Chad","AFRO",0,866,0,74
"2020-07-01","TD","Chad","AFRO",0,866,0,74
"2020-07-02","TD","Chad","AFRO",0,866,0,74
"2020-07-03","TD","Chad","AFRO",2,868,0,74
"2020-07-04","TD","Chad","AFRO",3,871,0,74
"2020-07-05","TD","Chad","AFRO",0,871,0,74
"2020-07-06","TD","Chad","AFRO",1,872,0,74
"2020-07-07","TD","Chad","AFRO",0,872,0,74
"2020-07-08","TD","Chad","AFRO",1,873,0,74
"2020-07-09","TD","Chad","AFRO",0,873,0,74
"2020-07-10","TD","Chad","AFRO",0,873,0,74
"2020-07-11","TD","Chad","AFRO",1,874,0,74
"2020-07-12","TD","Chad","AFRO",0,874,0,74
"2020-07-13","TD","Chad","AFRO",6,880,1,75
"2020-07-14","TD","Chad","AFRO",0,880,0,75
"2020-07-15","TD","Chad","AFRO",4,884,0,75
"2020-07-16","TD","Chad","AFRO",1,885,0,75
"2020-07-17","TD","Chad","AFRO",1,886,0,75
"2020-07-18","TD","Chad","AFRO",1,887,0,75
"2020-07-19","TD","Chad","AFRO",2,889,0,75
"2020-07-20","TD","Chad","AFRO",0,889,0,75
"2020-07-21","TD","Chad","AFRO",0,889,0,75
"2020-07-22","TD","Chad","AFRO",0,889,0,75
"2020-07-23","TD","Chad","AFRO",0,889,0,75
"2020-07-24","TD","Chad","AFRO",26,915,0,75
"2020-07-25","TD","Chad","AFRO",0,915,0,75
"2020-07-26","TD","Chad","AFRO",0,915,0,75
"2020-07-27","TD","Chad","AFRO",0,915,0,75
"2020-07-28","TD","Chad","AFRO",7,922,0,75
"2020-07-29","TD","Chad","AFRO",4,926,0,75
"2020-07-30","TD","Chad","AFRO",0,926,0,75
"2020-07-31","TD","Chad","AFRO",9,935,0,75
"2020-08-01","TD","Chad","AFRO",1,936,0,75
"2020-08-02","TD","Chad","AFRO",0,936,0,75
"2020-08-03","TD","Chad","AFRO",0,936,0,75
