"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CG","Congo","AFRO",0,0,0,0
"2020-01-04","CG","Congo","AFRO",0,0,0,0
"2020-01-05","CG","Congo","AFRO",0,0,0,0
"2020-01-06","CG","Congo","AFRO",0,0,0,0
"2020-01-07","CG","Congo","AFRO",0,0,0,0
"2020-01-08","CG","Congo","AFRO",0,0,0,0
"2020-01-09","CG","Congo","AFRO",0,0,0,0
"2020-01-10","CG","Congo","AFRO",0,0,0,0
"2020-01-11","CG","Congo","AFRO",0,0,0,0
"2020-01-12","CG","Congo","AFRO",0,0,0,0
"2020-01-13","CG","Congo","AFRO",0,0,0,0
"2020-01-14","CG","Congo","AFRO",0,0,0,0
"2020-01-15","CG","Congo","AFRO",0,0,0,0
"2020-01-16","CG","Congo","AFRO",0,0,0,0
"2020-01-17","CG","Congo","AFRO",0,0,0,0
"2020-01-18","CG","Congo","AFRO",0,0,0,0
"2020-01-19","CG","Congo","AFRO",0,0,0,0
"2020-01-20","CG","Congo","AFRO",0,0,0,0
"2020-01-21","CG","Congo","AFRO",0,0,0,0
"2020-01-22","CG","Congo","AFRO",0,0,0,0
"2020-01-23","CG","Congo","AFRO",0,0,0,0
"2020-01-24","CG","Congo","AFRO",0,0,0,0
"2020-01-25","CG","Congo","AFRO",0,0,0,0
"2020-01-26","CG","Congo","AFRO",0,0,0,0
"2020-01-27","CG","Congo","AFRO",0,0,0,0
"2020-01-28","CG","Congo","AFRO",0,0,0,0
"2020-01-29","CG","Congo","AFRO",0,0,0,0
"2020-01-30","CG","Congo","AFRO",0,0,0,0
"2020-01-31","CG","Congo","AFRO",0,0,0,0
"2020-02-01","CG","Congo","AFRO",0,0,0,0
"2020-02-02","CG","Congo","AFRO",0,0,0,0
"2020-02-03","CG","Congo","AFRO",0,0,0,0
"2020-02-04","CG","Congo","AFRO",0,0,0,0
"2020-02-05","CG","Congo","AFRO",0,0,0,0
"2020-02-06","CG","Congo","AFRO",0,0,0,0
"2020-02-07","CG","Congo","AFRO",0,0,0,0
"2020-02-08","CG","Congo","AFRO",0,0,0,0
"2020-02-09","CG","Congo","AFRO",0,0,0,0
"2020-02-10","CG","Congo","AFRO",0,0,0,0
"2020-02-11","CG","Congo","AFRO",0,0,0,0
"2020-02-12","CG","Congo","AFRO",0,0,0,0
"2020-02-13","CG","Congo","AFRO",0,0,0,0
"2020-02-14","CG","Congo","AFRO",0,0,0,0
"2020-02-15","CG","Congo","AFRO",0,0,0,0
"2020-02-16","CG","Congo","AFRO",0,0,0,0
"2020-02-17","CG","Congo","AFRO",0,0,0,0
"2020-02-18","CG","Congo","AFRO",0,0,0,0
"2020-02-19","CG","Congo","AFRO",0,0,0,0
"2020-02-20","CG","Congo","AFRO",0,0,0,0
"2020-02-21","CG","Congo","AFRO",0,0,0,0
"2020-02-22","CG","Congo","AFRO",0,0,0,0
"2020-02-23","CG","Congo","AFRO",0,0,0,0
"2020-02-24","CG","Congo","AFRO",0,0,0,0
"2020-02-25","CG","Congo","AFRO",0,0,0,0
"2020-02-26","CG","Congo","AFRO",0,0,0,0
"2020-02-27","CG","Congo","AFRO",0,0,0,0
"2020-02-28","CG","Congo","AFRO",0,0,0,0
"2020-02-29","CG","Congo","AFRO",0,0,0,0
"2020-03-01","CG","Congo","AFRO",0,0,0,0
"2020-03-02","CG","Congo","AFRO",0,0,0,0
"2020-03-03","CG","Congo","AFRO",0,0,0,0
"2020-03-04","CG","Congo","AFRO",0,0,0,0
"2020-03-05","CG","Congo","AFRO",0,0,0,0
"2020-03-06","CG","Congo","AFRO",0,0,0,0
"2020-03-07","CG","Congo","AFRO",0,0,0,0
"2020-03-08","CG","Congo","AFRO",0,0,0,0
"2020-03-09","CG","Congo","AFRO",0,0,0,0
"2020-03-10","CG","Congo","AFRO",0,0,0,0
"2020-03-11","CG","Congo","AFRO",0,0,0,0
"2020-03-12","CG","Congo","AFRO",0,0,0,0
"2020-03-13","CG","Congo","AFRO",0,0,0,0
"2020-03-14","CG","Congo","AFRO",0,0,0,0
"2020-03-15","CG","Congo","AFRO",1,1,0,0
"2020-03-16","CG","Congo","AFRO",0,1,0,0
"2020-03-17","CG","Congo","AFRO",0,1,0,0
