"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-04","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-05","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-06","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-07","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-08","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-09","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-10","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-11","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-12","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-13","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-14","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-15","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-16","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-17","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-18","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-19","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-20","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-21","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-22","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-23","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-24","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-25","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-26","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-27","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-28","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-29","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-30","CK","Cook Islands","WPRO",0,0,0,0
"2020-01-31","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-01","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-02","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-03","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-04","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-05","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-06","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-07","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-08","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-09","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-10","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-11","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-12","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-13","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-14","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-15","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-16","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-17","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-18","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-19","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-20","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-21","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-22","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-23","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-24","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-25","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-26","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-27","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-28","CK","Cook Islands","WPRO",0,0,0,0
"2020-02-29","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-01","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-02","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-03","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-04","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-05","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-06","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-07","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-08","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-09","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-10","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-11","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-12","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-13","CK","Cook Islands","WPRO",0,0,0,0
"2020-03-14","CK","Cook Islands","WPRO",0,0,0,0
