"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-04","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-05","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-06","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-07","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-08","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-09","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-10","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-11","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-12","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-13","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-14","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-15","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-16","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-17","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-18","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-19","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-20","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-21","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-22","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-23","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-24","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-25","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-26","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-27","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-28","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-29","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-30","CR","Costa Rica","AMRO",0,0,0,0
"2020-01-31","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-01","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-02","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-03","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-04","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-05","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-06","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-07","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-08","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-09","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-10","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-11","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-12","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-13","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-14","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-15","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-16","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-17","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-18","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-19","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-20","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-21","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-22","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-23","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-24","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-25","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-26","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-27","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-28","CR","Costa Rica","AMRO",0,0,0,0
"2020-02-29","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-01","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-02","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-03","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-04","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-05","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-06","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-07","CR","Costa Rica","AMRO",0,0,0,0
"2020-03-08","CR","Costa Rica","AMRO",9,9,0,0
"2020-03-09","CR","Costa Rica","AMRO",4,13,0,0
"2020-03-10","CR","Costa Rica","AMRO",0,13,0,0
"2020-03-11","CR","Costa Rica","AMRO",4,17,0,0
"2020-03-12","CR","Costa Rica","AMRO",0,17,0,0
"2020-03-13","CR","Costa Rica","AMRO",10,27,0,0
"2020-03-14","CR","Costa Rica","AMRO",0,27,0,0
"2020-03-15","CR","Costa Rica","AMRO",0,27,0,0
"2020-03-16","CR","Costa Rica","AMRO",12,39,0,0
"2020-03-17","CR","Costa Rica","AMRO",6,45,0,0
"2020-03-18","CR","Costa Rica","AMRO",9,54,1,1
"2020-03-19","CR","Costa Rica","AMRO",33,87,0,1
"2020-03-20","CR","Costa Rica","AMRO",26,113,1,2
"2020-03-21","CR","Costa Rica","AMRO",0,113,0,2
"2020-03-22","CR","Costa Rica","AMRO",0,113,0,2
"2020-03-23","CR","Costa Rica","AMRO",4,117,0,2
"2020-03-24","CR","Costa Rica","AMRO",60,177,0,2
"2020-03-25","CR","Costa Rica","AMRO",0,177,0,2
"2020-03-26","CR","Costa Rica","AMRO",24,201,0,2
"2020-03-27","CR","Costa Rica","AMRO",0,201,0,2
