"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","HR","Croatia","EURO",0,0,0,0
"2020-01-04","HR","Croatia","EURO",0,0,0,0
"2020-01-05","HR","Croatia","EURO",0,0,0,0
"2020-01-06","HR","Croatia","EURO",0,0,0,0
"2020-01-07","HR","Croatia","EURO",0,0,0,0
"2020-01-08","HR","Croatia","EURO",0,0,0,0
"2020-01-09","HR","Croatia","EURO",0,0,0,0
"2020-01-10","HR","Croatia","EURO",0,0,0,0
"2020-01-11","HR","Croatia","EURO",0,0,0,0
"2020-01-12","HR","Croatia","EURO",0,0,0,0
"2020-01-13","HR","Croatia","EURO",0,0,0,0
"2020-01-14","HR","Croatia","EURO",0,0,0,0
"2020-01-15","HR","Croatia","EURO",0,0,0,0
"2020-01-16","HR","Croatia","EURO",0,0,0,0
"2020-01-17","HR","Croatia","EURO",0,0,0,0
"2020-01-18","HR","Croatia","EURO",0,0,0,0
"2020-01-19","HR","Croatia","EURO",0,0,0,0
"2020-01-20","HR","Croatia","EURO",0,0,0,0
"2020-01-21","HR","Croatia","EURO",0,0,0,0
"2020-01-22","HR","Croatia","EURO",0,0,0,0
"2020-01-23","HR","Croatia","EURO",0,0,0,0
"2020-01-24","HR","Croatia","EURO",0,0,0,0
"2020-01-25","HR","Croatia","EURO",0,0,0,0
"2020-01-26","HR","Croatia","EURO",0,0,0,0
"2020-01-27","HR","Croatia","EURO",0,0,0,0
"2020-01-28","HR","Croatia","EURO",0,0,0,0
"2020-01-29","HR","Croatia","EURO",0,0,0,0
"2020-01-30","HR","Croatia","EURO",0,0,0,0
"2020-01-31","HR","Croatia","EURO",0,0,0,0
"2020-02-01","HR","Croatia","EURO",0,0,0,0
"2020-02-02","HR","Croatia","EURO",0,0,0,0
"2020-02-03","HR","Croatia","EURO",0,0,0,0
"2020-02-04","HR","Croatia","EURO",0,0,0,0
"2020-02-05","HR","Croatia","EURO",0,0,0,0
"2020-02-06","HR","Croatia","EURO",0,0,0,0
"2020-02-07","HR","Croatia","EURO",0,0,0,0
"2020-02-08","HR","Croatia","EURO",0,0,0,0
"2020-02-09","HR","Croatia","EURO",0,0,0,0
"2020-02-10","HR","Croatia","EURO",0,0,0,0
"2020-02-11","HR","Croatia","EURO",0,0,0,0
"2020-02-12","HR","Croatia","EURO",0,0,0,0
"2020-02-13","HR","Croatia","EURO",0,0,0,0
"2020-02-14","HR","Croatia","EURO",0,0,0,0
"2020-02-15","HR","Croatia","EURO",0,0,0,0
"2020-02-16","HR","Croatia","EURO",0,0,0,0
"2020-02-17","HR","Croatia","EURO",0,0,0,0
"2020-02-18","HR","Croatia","EURO",0,0,0,0
"2020-02-19","HR","Croatia","EURO",0,0,0,0
"2020-02-20","HR","Croatia","EURO",0,0,0,0
"2020-02-21","HR","Croatia","EURO",0,0,0,0
"2020-02-22","HR","Croatia","EURO",0,0,0,0
"2020-02-23","HR","Croatia","EURO",0,0,0,0
"2020-02-24","HR","Croatia","EURO",0,0,0,0
"2020-02-25","HR","Croatia","EURO",0,0,0,0
"2020-02-26","HR","Croatia","EURO",1,1,0,0
"2020-02-27","HR","Croatia","EURO",1,2,0,0
"2020-02-28","HR","Croatia","EURO",1,3,0,0
"2020-02-29","HR","Croatia","EURO",2,5,0,0
"2020-03-01","HR","Croatia","EURO",0,5,0,0
"2020-03-02","HR","Croatia","EURO",2,7,0,0
"2020-03-03","HR","Croatia","EURO",1,8,0,0
"2020-03-04","HR","Croatia","EURO",1,9,0,0
"2020-03-05","HR","Croatia","EURO",0,9,0,0
"2020-03-06","HR","Croatia","EURO",1,10,0,0
"2020-03-07","HR","Croatia","EURO",1,11,0,0
"2020-03-08","HR","Croatia","EURO",1,12,0,0
"2020-03-09","HR","Croatia","EURO",0,12,0,0
"2020-03-10","HR","Croatia","EURO",0,12,0,0
"2020-03-11","HR","Croatia","EURO",1,13,0,0
"2020-03-12","HR","Croatia","EURO",3,16,0,0
"2020-03-13","HR","Croatia","EURO",9,25,0,0
"2020-03-14","HR","Croatia","EURO",6,31,0,0
"2020-03-15","HR","Croatia","EURO",6,37,0,0
"2020-03-16","HR","Croatia","EURO",11,48,0,0
"2020-03-17","HR","Croatia","EURO",8,56,0,0
"2020-03-18","HR","Croatia","EURO",13,69,0,0
"2020-03-19","HR","Croatia","EURO",12,81,0,0
"2020-03-20","HR","Croatia","EURO",23,104,0,0
"2020-03-21","HR","Croatia","EURO",22,126,0,0
"2020-03-22","HR","Croatia","EURO",80,206,0,0
"2020-03-23","HR","Croatia","EURO",29,235,0,0
"2020-03-24","HR","Croatia","EURO",71,306,0,0
"2020-03-25","HR","Croatia","EURO",76,382,1,1
"2020-03-26","HR","Croatia","EURO",36,418,0,1
"2020-03-27","HR","Croatia","EURO",77,495,1,2
"2020-03-28","HR","Croatia","EURO",91,586,1,3
"2020-03-29","HR","Croatia","EURO",71,657,2,5
"2020-03-30","HR","Croatia","EURO",56,713,1,6
"2020-03-31","HR","Croatia","EURO",77,790,0,6
"2020-04-01","HR","Croatia","EURO",77,867,0,6
"2020-04-02","HR","Croatia","EURO",96,963,0,6
"2020-04-03","HR","Croatia","EURO",48,1011,1,7
"2020-04-04","HR","Croatia","EURO",68,1079,1,8
"2020-04-05","HR","Croatia","EURO",47,1126,4,12
"2020-04-06","HR","Croatia","EURO",56,1182,3,15
"2020-04-07","HR","Croatia","EURO",40,1222,1,16
"2020-04-08","HR","Croatia","EURO",60,1282,2,18
"2020-04-09","HR","Croatia","EURO",61,1343,1,19
"2020-04-10","HR","Croatia","EURO",64,1407,1,20
"2020-04-11","HR","Croatia","EURO",88,1495,1,21
"2020-04-12","HR","Croatia","EURO",39,1534,0,21
"2020-04-13","HR","Croatia","EURO",66,1600,2,23
"2020-04-14","HR","Croatia","EURO",50,1650,2,25
"2020-04-15","HR","Croatia","EURO",54,1704,6,31
"2020-04-16","HR","Croatia","EURO",37,1741,3,34
"2020-04-17","HR","Croatia","EURO",50,1791,1,35
