"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CU","Cuba","AMRO",0,0,0,0
"2020-01-04","CU","Cuba","AMRO",0,0,0,0
"2020-01-05","CU","Cuba","AMRO",0,0,0,0
"2020-01-06","CU","Cuba","AMRO",0,0,0,0
"2020-01-07","CU","Cuba","AMRO",0,0,0,0
"2020-01-08","CU","Cuba","AMRO",0,0,0,0
"2020-01-09","CU","Cuba","AMRO",0,0,0,0
"2020-01-10","CU","Cuba","AMRO",0,0,0,0
"2020-01-11","CU","Cuba","AMRO",0,0,0,0
"2020-01-12","CU","Cuba","AMRO",0,0,0,0
"2020-01-13","CU","Cuba","AMRO",0,0,0,0
"2020-01-14","CU","Cuba","AMRO",0,0,0,0
"2020-01-15","CU","Cuba","AMRO",0,0,0,0
"2020-01-16","CU","Cuba","AMRO",0,0,0,0
"2020-01-17","CU","Cuba","AMRO",0,0,0,0
"2020-01-18","CU","Cuba","AMRO",0,0,0,0
"2020-01-19","CU","Cuba","AMRO",0,0,0,0
"2020-01-20","CU","Cuba","AMRO",0,0,0,0
"2020-01-21","CU","Cuba","AMRO",0,0,0,0
"2020-01-22","CU","Cuba","AMRO",0,0,0,0
"2020-01-23","CU","Cuba","AMRO",0,0,0,0
"2020-01-24","CU","Cuba","AMRO",0,0,0,0
"2020-01-25","CU","Cuba","AMRO",0,0,0,0
"2020-01-26","CU","Cuba","AMRO",0,0,0,0
"2020-01-27","CU","Cuba","AMRO",0,0,0,0
"2020-01-28","CU","Cuba","AMRO",0,0,0,0
"2020-01-29","CU","Cuba","AMRO",0,0,0,0
"2020-01-30","CU","Cuba","AMRO",0,0,0,0
"2020-01-31","CU","Cuba","AMRO",0,0,0,0
"2020-02-01","CU","Cuba","AMRO",0,0,0,0
"2020-02-02","CU","Cuba","AMRO",0,0,0,0
"2020-02-03","CU","Cuba","AMRO",0,0,0,0
"2020-02-04","CU","Cuba","AMRO",0,0,0,0
"2020-02-05","CU","Cuba","AMRO",0,0,0,0
"2020-02-06","CU","Cuba","AMRO",0,0,0,0
"2020-02-07","CU","Cuba","AMRO",0,0,0,0
"2020-02-08","CU","Cuba","AMRO",0,0,0,0
"2020-02-09","CU","Cuba","AMRO",0,0,0,0
"2020-02-10","CU","Cuba","AMRO",0,0,0,0
"2020-02-11","CU","Cuba","AMRO",0,0,0,0
"2020-02-12","CU","Cuba","AMRO",0,0,0,0
"2020-02-13","CU","Cuba","AMRO",0,0,0,0
"2020-02-14","CU","Cuba","AMRO",0,0,0,0
"2020-02-15","CU","Cuba","AMRO",0,0,0,0
"2020-02-16","CU","Cuba","AMRO",0,0,0,0
"2020-02-17","CU","Cuba","AMRO",0,0,0,0
"2020-02-18","CU","Cuba","AMRO",0,0,0,0
"2020-02-19","CU","Cuba","AMRO",0,0,0,0
"2020-02-20","CU","Cuba","AMRO",0,0,0,0
"2020-02-21","CU","Cuba","AMRO",0,0,0,0
"2020-02-22","CU","Cuba","AMRO",0,0,0,0
"2020-02-23","CU","Cuba","AMRO",0,0,0,0
"2020-02-24","CU","Cuba","AMRO",0,0,0,0
"2020-02-25","CU","Cuba","AMRO",0,0,0,0
"2020-02-26","CU","Cuba","AMRO",0,0,0,0
"2020-02-27","CU","Cuba","AMRO",0,0,0,0
"2020-02-28","CU","Cuba","AMRO",0,0,0,0
"2020-02-29","CU","Cuba","AMRO",0,0,0,0
"2020-03-01","CU","Cuba","AMRO",0,0,0,0
"2020-03-02","CU","Cuba","AMRO",0,0,0,0
"2020-03-03","CU","Cuba","AMRO",0,0,0,0
"2020-03-04","CU","Cuba","AMRO",0,0,0,0
"2020-03-05","CU","Cuba","AMRO",0,0,0,0
"2020-03-06","CU","Cuba","AMRO",0,0,0,0
"2020-03-07","CU","Cuba","AMRO",0,0,0,0
