"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CY","Cyprus","EURO",0,0,0,0
"2020-01-04","CY","Cyprus","EURO",0,0,0,0
"2020-01-05","CY","Cyprus","EURO",0,0,0,0
"2020-01-06","CY","Cyprus","EURO",0,0,0,0
"2020-01-07","CY","Cyprus","EURO",0,0,0,0
"2020-01-08","CY","Cyprus","EURO",0,0,0,0
"2020-01-09","CY","Cyprus","EURO",0,0,0,0
"2020-01-10","CY","Cyprus","EURO",0,0,0,0
"2020-01-11","CY","Cyprus","EURO",0,0,0,0
"2020-01-12","CY","Cyprus","EURO",0,0,0,0
"2020-01-13","CY","Cyprus","EURO",0,0,0,0
"2020-01-14","CY","Cyprus","EURO",0,0,0,0
"2020-01-15","CY","Cyprus","EURO",0,0,0,0
"2020-01-16","CY","Cyprus","EURO",0,0,0,0
"2020-01-17","CY","Cyprus","EURO",0,0,0,0
"2020-01-18","CY","Cyprus","EURO",0,0,0,0
"2020-01-19","CY","Cyprus","EURO",0,0,0,0
"2020-01-20","CY","Cyprus","EURO",0,0,0,0
"2020-01-21","CY","Cyprus","EURO",0,0,0,0
"2020-01-22","CY","Cyprus","EURO",0,0,0,0
"2020-01-23","CY","Cyprus","EURO",0,0,0,0
"2020-01-24","CY","Cyprus","EURO",0,0,0,0
"2020-01-25","CY","Cyprus","EURO",0,0,0,0
"2020-01-26","CY","Cyprus","EURO",0,0,0,0
"2020-01-27","CY","Cyprus","EURO",0,0,0,0
"2020-01-28","CY","Cyprus","EURO",0,0,0,0
"2020-01-29","CY","Cyprus","EURO",0,0,0,0
"2020-01-30","CY","Cyprus","EURO",0,0,0,0
"2020-01-31","CY","Cyprus","EURO",0,0,0,0
"2020-02-01","CY","Cyprus","EURO",0,0,0,0
"2020-02-02","CY","Cyprus","EURO",0,0,0,0
"2020-02-03","CY","Cyprus","EURO",0,0,0,0
"2020-02-04","CY","Cyprus","EURO",0,0,0,0
"2020-02-05","CY","Cyprus","EURO",0,0,0,0
"2020-02-06","CY","Cyprus","EURO",0,0,0,0
"2020-02-07","CY","Cyprus","EURO",0,0,0,0
"2020-02-08","CY","Cyprus","EURO",0,0,0,0
"2020-02-09","CY","Cyprus","EURO",0,0,0,0
"2020-02-10","CY","Cyprus","EURO",0,0,0,0
"2020-02-11","CY","Cyprus","EURO",0,0,0,0
"2020-02-12","CY","Cyprus","EURO",0,0,0,0
"2020-02-13","CY","Cyprus","EURO",0,0,0,0
"2020-02-14","CY","Cyprus","EURO",0,0,0,0
"2020-02-15","CY","Cyprus","EURO",0,0,0,0
"2020-02-16","CY","Cyprus","EURO",0,0,0,0
"2020-02-17","CY","Cyprus","EURO",0,0,0,0
"2020-02-18","CY","Cyprus","EURO",0,0,0,0
"2020-02-19","CY","Cyprus","EURO",0,0,0,0
"2020-02-20","CY","Cyprus","EURO",0,0,0,0
"2020-02-21","CY","Cyprus","EURO",0,0,0,0
"2020-02-22","CY","Cyprus","EURO",0,0,0,0
