"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CZ","Czechia","EURO",0,0,0,0
"2020-01-04","CZ","Czechia","EURO",0,0,0,0
"2020-01-05","CZ","Czechia","EURO",0,0,0,0
"2020-01-06","CZ","Czechia","EURO",0,0,0,0
"2020-01-07","CZ","Czechia","EURO",0,0,0,0
"2020-01-08","CZ","Czechia","EURO",0,0,0,0
"2020-01-09","CZ","Czechia","EURO",0,0,0,0
"2020-01-10","CZ","Czechia","EURO",0,0,0,0
"2020-01-11","CZ","Czechia","EURO",0,0,0,0
"2020-01-12","CZ","Czechia","EURO",0,0,0,0
"2020-01-13","CZ","Czechia","EURO",0,0,0,0
"2020-01-14","CZ","Czechia","EURO",0,0,0,0
"2020-01-15","CZ","Czechia","EURO",0,0,0,0
"2020-01-16","CZ","Czechia","EURO",0,0,0,0
"2020-01-17","CZ","Czechia","EURO",0,0,0,0
"2020-01-18","CZ","Czechia","EURO",0,0,0,0
"2020-01-19","CZ","Czechia","EURO",0,0,0,0
"2020-01-20","CZ","Czechia","EURO",0,0,0,0
"2020-01-21","CZ","Czechia","EURO",0,0,0,0
"2020-01-22","CZ","Czechia","EURO",0,0,0,0
"2020-01-23","CZ","Czechia","EURO",0,0,0,0
"2020-01-24","CZ","Czechia","EURO",0,0,0,0
"2020-01-25","CZ","Czechia","EURO",0,0,0,0
"2020-01-26","CZ","Czechia","EURO",0,0,0,0
"2020-01-27","CZ","Czechia","EURO",0,0,0,0
"2020-01-28","CZ","Czechia","EURO",0,0,0,0
"2020-01-29","CZ","Czechia","EURO",0,0,0,0
"2020-01-30","CZ","Czechia","EURO",0,0,0,0
"2020-01-31","CZ","Czechia","EURO",0,0,0,0
"2020-02-01","CZ","Czechia","EURO",0,0,0,0
"2020-02-02","CZ","Czechia","EURO",0,0,0,0
"2020-02-03","CZ","Czechia","EURO",0,0,0,0
"2020-02-04","CZ","Czechia","EURO",0,0,0,0
"2020-02-05","CZ","Czechia","EURO",0,0,0,0
"2020-02-06","CZ","Czechia","EURO",0,0,0,0
"2020-02-07","CZ","Czechia","EURO",0,0,0,0
"2020-02-08","CZ","Czechia","EURO",0,0,0,0
"2020-02-09","CZ","Czechia","EURO",0,0,0,0
"2020-02-10","CZ","Czechia","EURO",0,0,0,0
"2020-02-11","CZ","Czechia","EURO",0,0,0,0
"2020-02-12","CZ","Czechia","EURO",0,0,0,0
"2020-02-13","CZ","Czechia","EURO",0,0,0,0
"2020-02-14","CZ","Czechia","EURO",0,0,0,0
"2020-02-15","CZ","Czechia","EURO",0,0,0,0
"2020-02-16","CZ","Czechia","EURO",0,0,0,0
"2020-02-17","CZ","Czechia","EURO",0,0,0,0
"2020-02-18","CZ","Czechia","EURO",0,0,0,0
"2020-02-19","CZ","Czechia","EURO",0,0,0,0
"2020-02-20","CZ","Czechia","EURO",0,0,0,0
"2020-02-21","CZ","Czechia","EURO",0,0,0,0
"2020-02-22","CZ","Czechia","EURO",0,0,0,0
"2020-02-23","CZ","Czechia","EURO",0,0,0,0
"2020-02-24","CZ","Czechia","EURO",0,0,0,0
"2020-02-25","CZ","Czechia","EURO",0,0,0,0
"2020-02-26","CZ","Czechia","EURO",0,0,0,0
"2020-02-27","CZ","Czechia","EURO",0,0,0,0
"2020-02-28","CZ","Czechia","EURO",0,0,0,0
"2020-02-29","CZ","Czechia","EURO",0,0,0,0
"2020-03-01","CZ","Czechia","EURO",0,0,0,0
"2020-03-02","CZ","Czechia","EURO",3,3,0,0
"2020-03-03","CZ","Czechia","EURO",2,5,0,0
"2020-03-04","CZ","Czechia","EURO",0,5,0,0
"2020-03-05","CZ","Czechia","EURO",3,8,0,0
"2020-03-06","CZ","Czechia","EURO",4,12,0,0
"2020-03-07","CZ","Czechia","EURO",7,19,0,0
"2020-03-08","CZ","Czechia","EURO",7,26,0,0
"2020-03-09","CZ","Czechia","EURO",6,32,0,0
"2020-03-10","CZ","Czechia","EURO",8,40,0,0
"2020-03-11","CZ","Czechia","EURO",23,63,0,0
"2020-03-12","CZ","Czechia","EURO",31,94,0,0
"2020-03-13","CZ","Czechia","EURO",22,116,0,0
"2020-03-14","CZ","Czechia","EURO",34,150,0,0
"2020-03-15","CZ","Czechia","EURO",64,214,0,0
"2020-03-16","CZ","Czechia","EURO",84,298,0,0
