"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-04","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-05","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-06","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-07","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-08","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-09","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-10","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-11","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-12","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-13","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-14","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-15","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-16","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-17","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-18","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-19","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-20","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-21","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-22","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-23","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-24","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-25","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-26","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-27","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-28","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-29","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-30","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-01-31","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-01","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-02","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-03","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-04","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-05","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-06","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-07","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-08","CI","Côte d’Ivoire","AFRO",0,0,0,0
"2020-02-09","CI","Côte d’Ivoire","AFRO",0,0,0,0
