"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","DK","Denmark","EURO",0,0,0,0
"2020-01-04","DK","Denmark","EURO",0,0,0,0
"2020-01-05","DK","Denmark","EURO",0,0,0,0
"2020-01-06","DK","Denmark","EURO",0,0,0,0
"2020-01-07","DK","Denmark","EURO",0,0,0,0
"2020-01-08","DK","Denmark","EURO",0,0,0,0
"2020-01-09","DK","Denmark","EURO",0,0,0,0
"2020-01-10","DK","Denmark","EURO",0,0,0,0
"2020-01-11","DK","Denmark","EURO",0,0,0,0
"2020-01-12","DK","Denmark","EURO",0,0,0,0
"2020-01-13","DK","Denmark","EURO",0,0,0,0
"2020-01-14","DK","Denmark","EURO",0,0,0,0
"2020-01-15","DK","Denmark","EURO",0,0,0,0
"2020-01-16","DK","Denmark","EURO",0,0,0,0
"2020-01-17","DK","Denmark","EURO",0,0,0,0
"2020-01-18","DK","Denmark","EURO",0,0,0,0
"2020-01-19","DK","Denmark","EURO",0,0,0,0
"2020-01-20","DK","Denmark","EURO",0,0,0,0
"2020-01-21","DK","Denmark","EURO",0,0,0,0
"2020-01-22","DK","Denmark","EURO",0,0,0,0
"2020-01-23","DK","Denmark","EURO",0,0,0,0
"2020-01-24","DK","Denmark","EURO",0,0,0,0
"2020-01-25","DK","Denmark","EURO",0,0,0,0
"2020-01-26","DK","Denmark","EURO",0,0,0,0
"2020-01-27","DK","Denmark","EURO",0,0,0,0
"2020-01-28","DK","Denmark","EURO",0,0,0,0
"2020-01-29","DK","Denmark","EURO",0,0,0,0
"2020-01-30","DK","Denmark","EURO",0,0,0,0
"2020-01-31","DK","Denmark","EURO",0,0,0,0
"2020-02-01","DK","Denmark","EURO",0,0,0,0
"2020-02-02","DK","Denmark","EURO",0,0,0,0
"2020-02-03","DK","Denmark","EURO",0,0,0,0
"2020-02-04","DK","Denmark","EURO",0,0,0,0
"2020-02-05","DK","Denmark","EURO",0,0,0,0
"2020-02-06","DK","Denmark","EURO",0,0,0,0
"2020-02-07","DK","Denmark","EURO",0,0,0,0
"2020-02-08","DK","Denmark","EURO",0,0,0,0
"2020-02-09","DK","Denmark","EURO",0,0,0,0
"2020-02-10","DK","Denmark","EURO",0,0,0,0
"2020-02-11","DK","Denmark","EURO",0,0,0,0
"2020-02-12","DK","Denmark","EURO",0,0,0,0
"2020-02-13","DK","Denmark","EURO",0,0,0,0
"2020-02-14","DK","Denmark","EURO",0,0,0,0
"2020-02-15","DK","Denmark","EURO",0,0,0,0
"2020-02-16","DK","Denmark","EURO",0,0,0,0
"2020-02-17","DK","Denmark","EURO",0,0,0,0
"2020-02-18","DK","Denmark","EURO",0,0,0,0
"2020-02-19","DK","Denmark","EURO",0,0,0,0
"2020-02-20","DK","Denmark","EURO",0,0,0,0
"2020-02-21","DK","Denmark","EURO",0,0,0,0
"2020-02-22","DK","Denmark","EURO",0,0,0,0
"2020-02-23","DK","Denmark","EURO",0,0,0,0
"2020-02-24","DK","Denmark","EURO",0,0,0,0
"2020-02-25","DK","Denmark","EURO",0,0,0,0
"2020-02-26","DK","Denmark","EURO",0,0,0,0
"2020-02-27","DK","Denmark","EURO",1,1,0,0
"2020-02-28","DK","Denmark","EURO",0,1,0,0
"2020-02-29","DK","Denmark","EURO",1,2,0,0
"2020-03-01","DK","Denmark","EURO",1,3,0,0
"2020-03-02","DK","Denmark","EURO",1,4,0,0
"2020-03-03","DK","Denmark","EURO",1,5,0,0
"2020-03-04","DK","Denmark","EURO",3,8,0,0
