"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-04","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-05","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-06","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-07","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-08","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-09","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-10","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-11","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-12","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-13","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-14","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-15","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-16","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-17","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-18","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-19","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-20","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-21","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-22","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-23","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-24","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-25","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-26","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-27","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-28","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-29","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-30","DJ","Djibouti","EMRO",0,0,0,0
"2020-01-31","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-01","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-02","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-03","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-04","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-05","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-06","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-07","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-08","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-09","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-10","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-11","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-12","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-13","DJ","Djibouti","EMRO",0,0,0,0
"2020-02-14","DJ","Djibouti","EMRO",0,0,0,0
