"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-04","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-05","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-06","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-07","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-08","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-09","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-10","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-11","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-12","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-13","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-14","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-15","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-16","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-17","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-18","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-19","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-20","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-21","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-22","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-23","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-24","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-25","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-26","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-27","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-28","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-29","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-30","DO","Dominican Republic","AMRO",0,0,0,0
"2020-01-31","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-01","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-02","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-03","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-04","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-05","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-06","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-07","DO","Dominican Republic","AMRO",0,0,0,0
"2020-02-08","DO","Dominican Republic","AMRO",0,0,0,0
