"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","EC","Ecuador","AMRO",0,0,0,0
"2020-01-04","EC","Ecuador","AMRO",0,0,0,0
"2020-01-05","EC","Ecuador","AMRO",0,0,0,0
"2020-01-06","EC","Ecuador","AMRO",0,0,0,0
"2020-01-07","EC","Ecuador","AMRO",0,0,0,0
"2020-01-08","EC","Ecuador","AMRO",0,0,0,0
"2020-01-09","EC","Ecuador","AMRO",0,0,0,0
"2020-01-10","EC","Ecuador","AMRO",0,0,0,0
"2020-01-11","EC","Ecuador","AMRO",0,0,0,0
"2020-01-12","EC","Ecuador","AMRO",0,0,0,0
"2020-01-13","EC","Ecuador","AMRO",0,0,0,0
"2020-01-14","EC","Ecuador","AMRO",0,0,0,0
"2020-01-15","EC","Ecuador","AMRO",0,0,0,0
"2020-01-16","EC","Ecuador","AMRO",0,0,0,0
"2020-01-17","EC","Ecuador","AMRO",0,0,0,0
"2020-01-18","EC","Ecuador","AMRO",0,0,0,0
"2020-01-19","EC","Ecuador","AMRO",0,0,0,0
"2020-01-20","EC","Ecuador","AMRO",0,0,0,0
"2020-01-21","EC","Ecuador","AMRO",0,0,0,0
"2020-01-22","EC","Ecuador","AMRO",0,0,0,0
"2020-01-23","EC","Ecuador","AMRO",0,0,0,0
"2020-01-24","EC","Ecuador","AMRO",0,0,0,0
"2020-01-25","EC","Ecuador","AMRO",0,0,0,0
"2020-01-26","EC","Ecuador","AMRO",0,0,0,0
"2020-01-27","EC","Ecuador","AMRO",0,0,0,0
"2020-01-28","EC","Ecuador","AMRO",0,0,0,0
"2020-01-29","EC","Ecuador","AMRO",0,0,0,0
"2020-01-30","EC","Ecuador","AMRO",0,0,0,0
"2020-01-31","EC","Ecuador","AMRO",0,0,0,0
"2020-02-01","EC","Ecuador","AMRO",0,0,0,0
"2020-02-02","EC","Ecuador","AMRO",0,0,0,0
"2020-02-03","EC","Ecuador","AMRO",0,0,0,0
"2020-02-04","EC","Ecuador","AMRO",0,0,0,0
"2020-02-05","EC","Ecuador","AMRO",0,0,0,0
