"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","EG","Egypt","EMRO",0,0,0,0
"2020-01-04","EG","Egypt","EMRO",0,0,0,0
"2020-01-05","EG","Egypt","EMRO",0,0,0,0
"2020-01-06","EG","Egypt","EMRO",0,0,0,0
"2020-01-07","EG","Egypt","EMRO",0,0,0,0
"2020-01-08","EG","Egypt","EMRO",0,0,0,0
"2020-01-09","EG","Egypt","EMRO",0,0,0,0
"2020-01-10","EG","Egypt","EMRO",0,0,0,0
"2020-01-11","EG","Egypt","EMRO",0,0,0,0
"2020-01-12","EG","Egypt","EMRO",0,0,0,0
"2020-01-13","EG","Egypt","EMRO",0,0,0,0
"2020-01-14","EG","Egypt","EMRO",0,0,0,0
"2020-01-15","EG","Egypt","EMRO",0,0,0,0
"2020-01-16","EG","Egypt","EMRO",0,0,0,0
"2020-01-17","EG","Egypt","EMRO",0,0,0,0
"2020-01-18","EG","Egypt","EMRO",0,0,0,0
"2020-01-19","EG","Egypt","EMRO",0,0,0,0
"2020-01-20","EG","Egypt","EMRO",0,0,0,0
"2020-01-21","EG","Egypt","EMRO",0,0,0,0
"2020-01-22","EG","Egypt","EMRO",0,0,0,0
"2020-01-23","EG","Egypt","EMRO",0,0,0,0
"2020-01-24","EG","Egypt","EMRO",0,0,0,0
"2020-01-25","EG","Egypt","EMRO",0,0,0,0
"2020-01-26","EG","Egypt","EMRO",0,0,0,0
"2020-01-27","EG","Egypt","EMRO",0,0,0,0
"2020-01-28","EG","Egypt","EMRO",0,0,0,0
"2020-01-29","EG","Egypt","EMRO",0,0,0,0
"2020-01-30","EG","Egypt","EMRO",0,0,0,0
"2020-01-31","EG","Egypt","EMRO",0,0,0,0
"2020-02-01","EG","Egypt","EMRO",0,0,0,0
"2020-02-02","EG","Egypt","EMRO",0,0,0,0
"2020-02-03","EG","Egypt","EMRO",0,0,0,0
"2020-02-04","EG","Egypt","EMRO",0,0,0,0
"2020-02-05","EG","Egypt","EMRO",0,0,0,0
"2020-02-06","EG","Egypt","EMRO",0,0,0,0
"2020-02-07","EG","Egypt","EMRO",0,0,0,0
"2020-02-08","EG","Egypt","EMRO",0,0,0,0
"2020-02-09","EG","Egypt","EMRO",0,0,0,0
"2020-02-10","EG","Egypt","EMRO",0,0,0,0
"2020-02-11","EG","Egypt","EMRO",0,0,0,0
"2020-02-12","EG","Egypt","EMRO",0,0,0,0
"2020-02-13","EG","Egypt","EMRO",0,0,0,0
"2020-02-14","EG","Egypt","EMRO",5,5,0,0
"2020-02-15","EG","Egypt","EMRO",0,5,0,0
"2020-02-16","EG","Egypt","EMRO",0,5,0,0
"2020-02-17","EG","Egypt","EMRO",0,5,0,0
"2020-02-18","EG","Egypt","EMRO",0,5,0,0
"2020-02-19","EG","Egypt","EMRO",0,5,0,0
"2020-02-20","EG","Egypt","EMRO",0,5,0,0
"2020-02-21","EG","Egypt","EMRO",0,5,0,0
"2020-02-22","EG","Egypt","EMRO",0,5,0,0
"2020-02-23","EG","Egypt","EMRO",0,5,0,0
"2020-02-24","EG","Egypt","EMRO",0,5,0,0
"2020-02-25","EG","Egypt","EMRO",0,5,0,0
"2020-02-26","EG","Egypt","EMRO",0,5,0,0
"2020-02-27","EG","Egypt","EMRO",0,5,0,0
"2020-02-28","EG","Egypt","EMRO",0,5,0,0
"2020-02-29","EG","Egypt","EMRO",0,5,0,0
"2020-03-01","EG","Egypt","EMRO",0,5,0,0
"2020-03-02","EG","Egypt","EMRO",1,6,0,0
"2020-03-03","EG","Egypt","EMRO",0,6,0,0
"2020-03-04","EG","Egypt","EMRO",0,6,0,0
"2020-03-05","EG","Egypt","EMRO",1,7,0,0
"2020-03-06","EG","Egypt","EMRO",0,7,0,0
"2020-03-07","EG","Egypt","EMRO",45,52,0,0
"2020-03-08","EG","Egypt","EMRO",1,53,1,1
"2020-03-09","EG","Egypt","EMRO",10,63,0,1
"2020-03-10","EG","Egypt","EMRO",0,63,0,1
"2020-03-11","EG","Egypt","EMRO",8,71,0,1
"2020-03-12","EG","Egypt","EMRO",0,71,0,1
"2020-03-13","EG","Egypt","EMRO",0,71,0,1
"2020-03-14","EG","Egypt","EMRO",26,97,1,2
"2020-03-15","EG","Egypt","EMRO",17,114,0,2
"2020-03-16","EG","Egypt","EMRO",16,130,0,2
"2020-03-17","EG","Egypt","EMRO",40,170,2,4
"2020-03-18","EG","Egypt","EMRO",30,200,2,6
"2020-03-19","EG","Egypt","EMRO",14,214,0,6
"2020-03-20","EG","Egypt","EMRO",42,256,1,7
"2020-03-21","EG","Egypt","EMRO",29,285,1,8
"2020-03-22","EG","Egypt","EMRO",9,294,2,10
"2020-03-23","EG","Egypt","EMRO",33,327,4,14
"2020-03-24","EG","Egypt","EMRO",39,366,5,19
"2020-03-25","EG","Egypt","EMRO",76,442,2,21
"2020-03-26","EG","Egypt","EMRO",14,456,0,21
"2020-03-27","EG","Egypt","EMRO",39,495,3,24
"2020-03-28","EG","Egypt","EMRO",41,536,6,30
"2020-03-29","EG","Egypt","EMRO",40,576,6,36
"2020-03-30","EG","Egypt","EMRO",33,609,4,40
"2020-03-31","EG","Egypt","EMRO",47,656,1,41
"2020-04-01","EG","Egypt","EMRO",54,710,5,46
"2020-04-02","EG","Egypt","EMRO",69,779,6,52
"2020-04-03","EG","Egypt","EMRO",86,865,6,58
"2020-04-04","EG","Egypt","EMRO",120,985,8,66
"2020-04-05","EG","Egypt","EMRO",85,1070,5,71
"2020-04-06","EG","Egypt","EMRO",103,1173,7,78
"2020-04-07","EG","Egypt","EMRO",149,1322,7,85
"2020-04-08","EG","Egypt","EMRO",128,1450,9,94
"2020-04-09","EG","Egypt","EMRO",110,1560,9,103
"2020-04-10","EG","Egypt","EMRO",139,1699,15,118
"2020-04-11","EG","Egypt","EMRO",95,1794,17,135
"2020-04-12","EG","Egypt","EMRO",145,1939,11,146
"2020-04-13","EG","Egypt","EMRO",126,2065,13,159
"2020-04-14","EG","Egypt","EMRO",125,2190,5,164
"2020-04-15","EG","Egypt","EMRO",160,2350,14,178
"2020-04-16","EG","Egypt","EMRO",155,2505,5,183
"2020-04-17","EG","Egypt","EMRO",168,2673,13,196
"2020-04-18","EG","Egypt","EMRO",171,2844,9,205
"2020-04-19","EG","Egypt","EMRO",188,3032,19,224
