"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-04","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-05","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-06","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-07","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-08","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-09","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-10","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-11","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-12","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-13","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-14","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-15","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-16","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-17","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-18","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-19","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-20","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-21","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-22","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-23","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-24","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-25","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-26","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-27","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-28","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-29","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-30","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-01-31","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-02-01","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-02-02","GQ","Equatorial Guinea","AFRO",0,0,0,0
"2020-02-03","GQ","Equatorial Guinea","AFRO",0,0,0,0
