"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ER","Eritrea","AFRO",0,0,0,0
"2020-01-04","ER","Eritrea","AFRO",0,0,0,0
"2020-01-05","ER","Eritrea","AFRO",0,0,0,0
"2020-01-06","ER","Eritrea","AFRO",0,0,0,0
"2020-01-07","ER","Eritrea","AFRO",0,0,0,0
"2020-01-08","ER","Eritrea","AFRO",0,0,0,0
"2020-01-09","ER","Eritrea","AFRO",0,0,0,0
"2020-01-10","ER","Eritrea","AFRO",0,0,0,0
"2020-01-11","ER","Eritrea","AFRO",0,0,0,0
"2020-01-12","ER","Eritrea","AFRO",0,0,0,0
"2020-01-13","ER","Eritrea","AFRO",0,0,0,0
"2020-01-14","ER","Eritrea","AFRO",0,0,0,0
"2020-01-15","ER","Eritrea","AFRO",0,0,0,0
"2020-01-16","ER","Eritrea","AFRO",0,0,0,0
"2020-01-17","ER","Eritrea","AFRO",0,0,0,0
"2020-01-18","ER","Eritrea","AFRO",0,0,0,0
"2020-01-19","ER","Eritrea","AFRO",0,0,0,0
"2020-01-20","ER","Eritrea","AFRO",0,0,0,0
"2020-01-21","ER","Eritrea","AFRO",0,0,0,0
"2020-01-22","ER","Eritrea","AFRO",0,0,0,0
"2020-01-23","ER","Eritrea","AFRO",0,0,0,0
"2020-01-24","ER","Eritrea","AFRO",0,0,0,0
"2020-01-25","ER","Eritrea","AFRO",0,0,0,0
"2020-01-26","ER","Eritrea","AFRO",0,0,0,0
"2020-01-27","ER","Eritrea","AFRO",0,0,0,0
"2020-01-28","ER","Eritrea","AFRO",0,0,0,0
"2020-01-29","ER","Eritrea","AFRO",0,0,0,0
"2020-01-30","ER","Eritrea","AFRO",0,0,0,0
"2020-01-31","ER","Eritrea","AFRO",0,0,0,0
"2020-02-01","ER","Eritrea","AFRO",0,0,0,0
"2020-02-02","ER","Eritrea","AFRO",0,0,0,0
"2020-02-03","ER","Eritrea","AFRO",0,0,0,0
"2020-02-04","ER","Eritrea","AFRO",0,0,0,0
"2020-02-05","ER","Eritrea","AFRO",0,0,0,0
"2020-02-06","ER","Eritrea","AFRO",0,0,0,0
"2020-02-07","ER","Eritrea","AFRO",0,0,0,0
"2020-02-08","ER","Eritrea","AFRO",0,0,0,0
"2020-02-09","ER","Eritrea","AFRO",0,0,0,0
"2020-02-10","ER","Eritrea","AFRO",0,0,0,0
"2020-02-11","ER","Eritrea","AFRO",0,0,0,0
"2020-02-12","ER","Eritrea","AFRO",0,0,0,0
"2020-02-13","ER","Eritrea","AFRO",0,0,0,0
"2020-02-14","ER","Eritrea","AFRO",0,0,0,0
"2020-02-15","ER","Eritrea","AFRO",0,0,0,0
"2020-02-16","ER","Eritrea","AFRO",0,0,0,0
"2020-02-17","ER","Eritrea","AFRO",0,0,0,0
"2020-02-18","ER","Eritrea","AFRO",0,0,0,0
"2020-02-19","ER","Eritrea","AFRO",0,0,0,0
"2020-02-20","ER","Eritrea","AFRO",0,0,0,0
"2020-02-21","ER","Eritrea","AFRO",0,0,0,0
"2020-02-22","ER","Eritrea","AFRO",0,0,0,0
"2020-02-23","ER","Eritrea","AFRO",0,0,0,0
"2020-02-24","ER","Eritrea","AFRO",0,0,0,0
"2020-02-25","ER","Eritrea","AFRO",0,0,0,0
"2020-02-26","ER","Eritrea","AFRO",0,0,0,0
"2020-02-27","ER","Eritrea","AFRO",0,0,0,0
"2020-02-28","ER","Eritrea","AFRO",0,0,0,0
"2020-02-29","ER","Eritrea","AFRO",0,0,0,0
"2020-03-01","ER","Eritrea","AFRO",0,0,0,0
"2020-03-02","ER","Eritrea","AFRO",0,0,0,0
"2020-03-03","ER","Eritrea","AFRO",0,0,0,0
"2020-03-04","ER","Eritrea","AFRO",0,0,0,0
"2020-03-05","ER","Eritrea","AFRO",0,0,0,0
"2020-03-06","ER","Eritrea","AFRO",0,0,0,0
"2020-03-07","ER","Eritrea","AFRO",0,0,0,0
"2020-03-08","ER","Eritrea","AFRO",0,0,0,0
"2020-03-09","ER","Eritrea","AFRO",0,0,0,0
"2020-03-10","ER","Eritrea","AFRO",0,0,0,0
"2020-03-11","ER","Eritrea","AFRO",0,0,0,0
"2020-03-12","ER","Eritrea","AFRO",0,0,0,0
"2020-03-13","ER","Eritrea","AFRO",0,0,0,0
"2020-03-14","ER","Eritrea","AFRO",0,0,0,0
"2020-03-15","ER","Eritrea","AFRO",0,0,0,0
"2020-03-16","ER","Eritrea","AFRO",0,0,0,0
"2020-03-17","ER","Eritrea","AFRO",0,0,0,0
"2020-03-18","ER","Eritrea","AFRO",0,0,0,0
"2020-03-19","ER","Eritrea","AFRO",0,0,0,0
"2020-03-20","ER","Eritrea","AFRO",0,0,0,0
"2020-03-21","ER","Eritrea","AFRO",1,1,0,0
"2020-03-22","ER","Eritrea","AFRO",0,1,0,0
"2020-03-23","ER","Eritrea","AFRO",0,1,0,0
"2020-03-24","ER","Eritrea","AFRO",0,1,0,0
"2020-03-25","ER","Eritrea","AFRO",0,1,0,0
"2020-03-26","ER","Eritrea","AFRO",3,4,0,0
"2020-03-27","ER","Eritrea","AFRO",2,6,0,0
"2020-03-28","ER","Eritrea","AFRO",0,6,0,0
"2020-03-29","ER","Eritrea","AFRO",0,6,0,0
"2020-03-30","ER","Eritrea","AFRO",0,6,0,0
"2020-03-31","ER","Eritrea","AFRO",0,6,0,0
"2020-04-01","ER","Eritrea","AFRO",0,6,0,0
"2020-04-02","ER","Eritrea","AFRO",9,15,0,0
