"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","EE","Estonia","EURO",0,0,0,0
"2020-01-04","EE","Estonia","EURO",0,0,0,0
"2020-01-05","EE","Estonia","EURO",0,0,0,0
"2020-01-06","EE","Estonia","EURO",0,0,0,0
"2020-01-07","EE","Estonia","EURO",0,0,0,0
"2020-01-08","EE","Estonia","EURO",0,0,0,0
"2020-01-09","EE","Estonia","EURO",0,0,0,0
"2020-01-10","EE","Estonia","EURO",0,0,0,0
"2020-01-11","EE","Estonia","EURO",0,0,0,0
"2020-01-12","EE","Estonia","EURO",0,0,0,0
"2020-01-13","EE","Estonia","EURO",0,0,0,0
"2020-01-14","EE","Estonia","EURO",0,0,0,0
"2020-01-15","EE","Estonia","EURO",0,0,0,0
"2020-01-16","EE","Estonia","EURO",0,0,0,0
"2020-01-17","EE","Estonia","EURO",0,0,0,0
"2020-01-18","EE","Estonia","EURO",0,0,0,0
"2020-01-19","EE","Estonia","EURO",0,0,0,0
"2020-01-20","EE","Estonia","EURO",0,0,0,0
"2020-01-21","EE","Estonia","EURO",0,0,0,0
"2020-01-22","EE","Estonia","EURO",0,0,0,0
"2020-01-23","EE","Estonia","EURO",0,0,0,0
"2020-01-24","EE","Estonia","EURO",0,0,0,0
"2020-01-25","EE","Estonia","EURO",0,0,0,0
"2020-01-26","EE","Estonia","EURO",0,0,0,0
"2020-01-27","EE","Estonia","EURO",0,0,0,0
"2020-01-28","EE","Estonia","EURO",0,0,0,0
"2020-01-29","EE","Estonia","EURO",0,0,0,0
"2020-01-30","EE","Estonia","EURO",0,0,0,0
"2020-01-31","EE","Estonia","EURO",0,0,0,0
"2020-02-01","EE","Estonia","EURO",0,0,0,0
"2020-02-02","EE","Estonia","EURO",0,0,0,0
"2020-02-03","EE","Estonia","EURO",0,0,0,0
"2020-02-04","EE","Estonia","EURO",0,0,0,0
"2020-02-05","EE","Estonia","EURO",0,0,0,0
"2020-02-06","EE","Estonia","EURO",0,0,0,0
"2020-02-07","EE","Estonia","EURO",0,0,0,0
"2020-02-08","EE","Estonia","EURO",0,0,0,0
"2020-02-09","EE","Estonia","EURO",0,0,0,0
"2020-02-10","EE","Estonia","EURO",0,0,0,0
"2020-02-11","EE","Estonia","EURO",0,0,0,0
"2020-02-12","EE","Estonia","EURO",0,0,0,0
"2020-02-13","EE","Estonia","EURO",0,0,0,0
"2020-02-14","EE","Estonia","EURO",0,0,0,0
"2020-02-15","EE","Estonia","EURO",0,0,0,0
"2020-02-16","EE","Estonia","EURO",0,0,0,0
"2020-02-17","EE","Estonia","EURO",0,0,0,0
"2020-02-18","EE","Estonia","EURO",0,0,0,0
"2020-02-19","EE","Estonia","EURO",0,0,0,0
"2020-02-20","EE","Estonia","EURO",0,0,0,0
"2020-02-21","EE","Estonia","EURO",0,0,0,0
"2020-02-22","EE","Estonia","EURO",0,0,0,0
"2020-02-23","EE","Estonia","EURO",0,0,0,0
"2020-02-24","EE","Estonia","EURO",0,0,0,0
"2020-02-25","EE","Estonia","EURO",0,0,0,0
"2020-02-26","EE","Estonia","EURO",0,0,0,0
"2020-02-27","EE","Estonia","EURO",1,1,0,0
"2020-02-28","EE","Estonia","EURO",0,1,0,0
"2020-02-29","EE","Estonia","EURO",0,1,0,0
"2020-03-01","EE","Estonia","EURO",0,1,0,0
"2020-03-02","EE","Estonia","EURO",0,1,0,0
"2020-03-03","EE","Estonia","EURO",0,1,0,0
"2020-03-04","EE","Estonia","EURO",1,2,0,0
"2020-03-05","EE","Estonia","EURO",0,2,0,0
"2020-03-06","EE","Estonia","EURO",3,5,0,0
"2020-03-07","EE","Estonia","EURO",5,10,0,0
"2020-03-08","EE","Estonia","EURO",0,10,0,0
"2020-03-09","EE","Estonia","EURO",0,10,0,0
"2020-03-10","EE","Estonia","EURO",0,10,0,0
"2020-03-11","EE","Estonia","EURO",3,13,0,0
"2020-03-12","EE","Estonia","EURO",3,16,0,0
"2020-03-13","EE","Estonia","EURO",11,27,0,0
"2020-03-14","EE","Estonia","EURO",52,79,0,0
"2020-03-15","EE","Estonia","EURO",36,115,0,0
"2020-03-16","EE","Estonia","EURO",56,171,0,0
"2020-03-17","EE","Estonia","EURO",34,205,0,0
"2020-03-18","EE","Estonia","EURO",20,225,0,0
"2020-03-19","EE","Estonia","EURO",33,258,0,0
"2020-03-20","EE","Estonia","EURO",9,267,0,0
"2020-03-21","EE","Estonia","EURO",16,283,0,0
"2020-03-22","EE","Estonia","EURO",23,306,0,0
"2020-03-23","EE","Estonia","EURO",20,326,0,0
"2020-03-24","EE","Estonia","EURO",26,352,0,0
"2020-03-25","EE","Estonia","EURO",17,369,0,0
"2020-03-26","EE","Estonia","EURO",35,404,1,1
"2020-03-27","EE","Estonia","EURO",134,538,0,1
"2020-03-28","EE","Estonia","EURO",37,575,0,1
"2020-03-29","EE","Estonia","EURO",65,640,0,1
"2020-03-30","EE","Estonia","EURO",39,679,2,3
"2020-03-31","EE","Estonia","EURO",36,715,0,3
"2020-04-01","EE","Estonia","EURO",30,745,1,4
"2020-04-02","EE","Estonia","EURO",34,779,1,5
"2020-04-03","EE","Estonia","EURO",79,858,6,11
"2020-04-04","EE","Estonia","EURO",103,961,1,12
"2020-04-05","EE","Estonia","EURO",57,1018,1,13
"2020-04-06","EE","Estonia","EURO",79,1097,2,15
"2020-04-07","EE","Estonia","EURO",11,1108,4,19
"2020-04-08","EE","Estonia","EURO",41,1149,2,21
"2020-04-09","EE","Estonia","EURO",36,1185,3,24
"2020-04-10","EE","Estonia","EURO",22,1207,0,24
"2020-04-11","EE","Estonia","EURO",51,1258,0,24
"2020-04-12","EE","Estonia","EURO",46,1304,0,24
"2020-04-13","EE","Estonia","EURO",5,1309,1,25
"2020-04-14","EE","Estonia","EURO",23,1332,3,28
"2020-04-15","EE","Estonia","EURO",41,1373,3,31
"2020-04-16","EE","Estonia","EURO",29,1402,4,35
"2020-04-17","EE","Estonia","EURO",32,1434,1,36
"2020-04-18","EE","Estonia","EURO",25,1459,2,38
"2020-04-19","EE","Estonia","EURO",53,1512,0,38
"2020-04-20","EE","Estonia","EURO",16,1528,2,40
"2020-04-21","EE","Estonia","EURO",7,1535,0,40
"2020-04-22","EE","Estonia","EURO",17,1552,3,43
"2020-04-23","EE","Estonia","EURO",7,1559,1,44
"2020-04-24","EE","Estonia","EURO",33,1592,1,45
"2020-04-25","EE","Estonia","EURO",13,1605,1,46
"2020-04-26","EE","Estonia","EURO",30,1635,0,46
"2020-04-27","EE","Estonia","EURO",8,1643,3,49
"2020-04-28","EE","Estonia","EURO",4,1647,1,50
"2020-04-29","EE","Estonia","EURO",13,1660,0,50
"2020-04-30","EE","Estonia","EURO",6,1666,0,50
"2020-05-01","EE","Estonia","EURO",23,1689,2,52
"2020-05-02","EE","Estonia","EURO",5,1694,0,52
"2020-05-03","EE","Estonia","EURO",5,1699,1,53
"2020-05-04","EE","Estonia","EURO",1,1700,2,55
"2020-05-05","EE","Estonia","EURO",3,1703,0,55
"2020-05-06","EE","Estonia","EURO",8,1711,0,55
"2020-05-07","EE","Estonia","EURO",2,1713,0,55
"2020-05-08","EE","Estonia","EURO",7,1720,1,56
"2020-05-09","EE","Estonia","EURO",5,1725,0,56
"2020-05-10","EE","Estonia","EURO",8,1733,4,60
"2020-05-11","EE","Estonia","EURO",6,1739,0,60
"2020-05-12","EE","Estonia","EURO",2,1741,1,61
"2020-05-13","EE","Estonia","EURO",5,1746,0,61
"2020-05-14","EE","Estonia","EURO",5,1751,0,61
"2020-05-15","EE","Estonia","EURO",7,1758,1,62
