"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-04","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-05","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-06","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-07","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-08","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-09","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-10","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-11","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-12","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-13","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-14","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-15","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-16","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-17","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-18","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-19","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-20","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-21","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-22","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-23","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-24","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-25","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-26","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-27","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-28","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-29","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-30","SZ","Eswatini","AFRO",0,0,0,0
"2020-01-31","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-01","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-02","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-03","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-04","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-05","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-06","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-07","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-08","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-09","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-10","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-11","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-12","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-13","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-14","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-15","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-16","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-17","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-18","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-19","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-20","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-21","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-22","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-23","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-24","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-25","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-26","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-27","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-28","SZ","Eswatini","AFRO",0,0,0,0
"2020-02-29","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-01","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-02","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-03","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-04","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-05","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-06","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-07","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-08","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-09","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-10","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-11","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-12","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-13","SZ","Eswatini","AFRO",0,0,0,0
"2020-03-14","SZ","Eswatini","AFRO",5,5,0,0
"2020-03-15","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-16","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-17","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-18","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-19","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-20","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-21","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-22","SZ","Eswatini","AFRO",0,5,0,0
"2020-03-23","SZ","Eswatini","AFRO",-1,4,0,0
"2020-03-24","SZ","Eswatini","AFRO",0,4,0,0
"2020-03-25","SZ","Eswatini","AFRO",0,4,0,0
"2020-03-26","SZ","Eswatini","AFRO",0,4,0,0
"2020-03-27","SZ","Eswatini","AFRO",2,6,0,0
"2020-03-28","SZ","Eswatini","AFRO",3,9,0,0
"2020-03-29","SZ","Eswatini","AFRO",0,9,0,0
"2020-03-30","SZ","Eswatini","AFRO",0,9,0,0
"2020-03-31","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-01","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-02","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-03","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-04","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-05","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-06","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-07","SZ","Eswatini","AFRO",0,9,0,0
"2020-04-08","SZ","Eswatini","AFRO",1,10,0,0
"2020-04-09","SZ","Eswatini","AFRO",2,12,0,0
"2020-04-10","SZ","Eswatini","AFRO",0,12,0,0
"2020-04-11","SZ","Eswatini","AFRO",0,12,0,0
"2020-04-12","SZ","Eswatini","AFRO",0,12,0,0
"2020-04-13","SZ","Eswatini","AFRO",2,14,0,0
