"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-04","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-05","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-06","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-07","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-08","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-09","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-10","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-11","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-12","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-13","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-14","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-15","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-16","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-17","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-18","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-19","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-20","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-21","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-22","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-23","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-24","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-25","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-26","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-27","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-28","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-29","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-30","ET","Ethiopia","AFRO",0,0,0,0
"2020-01-31","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-01","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-02","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-03","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-04","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-05","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-06","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-07","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-08","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-09","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-10","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-11","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-12","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-13","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-14","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-15","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-16","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-17","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-18","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-19","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-20","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-21","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-22","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-23","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-24","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-25","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-26","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-27","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-28","ET","Ethiopia","AFRO",0,0,0,0
"2020-02-29","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-01","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-02","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-03","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-04","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-05","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-06","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-07","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-08","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-09","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-10","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-11","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-12","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-13","ET","Ethiopia","AFRO",0,0,0,0
"2020-03-14","ET","Ethiopia","AFRO",5,5,0,0
"2020-03-15","ET","Ethiopia","AFRO",0,5,0,0
"2020-03-16","ET","Ethiopia","AFRO",3,8,0,0
"2020-03-17","ET","Ethiopia","AFRO",1,9,0,0
"2020-03-18","ET","Ethiopia","AFRO",1,10,0,0
"2020-03-19","ET","Ethiopia","AFRO",3,13,0,0
"2020-03-20","ET","Ethiopia","AFRO",0,13,0,0
"2020-03-21","ET","Ethiopia","AFRO",0,13,0,0
"2020-03-22","ET","Ethiopia","AFRO",0,13,0,0
"2020-03-23","ET","Ethiopia","AFRO",-2,11,0,0
"2020-03-24","ET","Ethiopia","AFRO",0,11,0,0
"2020-03-25","ET","Ethiopia","AFRO",1,12,0,0
"2020-03-26","ET","Ethiopia","AFRO",0,12,0,0
