"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-04","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-05","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-06","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-07","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-08","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-09","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-10","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-11","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-12","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-13","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-14","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-15","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-16","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-17","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-18","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-19","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-20","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-21","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-22","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-23","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-24","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-25","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-26","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-27","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-28","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-29","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-30","FO","Faroe Islands","EURO",0,0,0,0
"2020-01-31","FO","Faroe Islands","EURO",0,0,0,0
"2020-02-01","FO","Faroe Islands","EURO",0,0,0,0
"2020-02-02","FO","Faroe Islands","EURO",0,0,0,0
"2020-02-03","FO","Faroe Islands","EURO",0,0,0,0
"2020-02-04","FO","Faroe Islands","EURO",0,0,0,0
