"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","FJ","Fiji","WPRO",0,0,0,0
"2020-01-04","FJ","Fiji","WPRO",0,0,0,0
"2020-01-05","FJ","Fiji","WPRO",0,0,0,0
"2020-01-06","FJ","Fiji","WPRO",0,0,0,0
"2020-01-07","FJ","Fiji","WPRO",0,0,0,0
"2020-01-08","FJ","Fiji","WPRO",0,0,0,0
"2020-01-09","FJ","Fiji","WPRO",0,0,0,0
"2020-01-10","FJ","Fiji","WPRO",0,0,0,0
"2020-01-11","FJ","Fiji","WPRO",0,0,0,0
"2020-01-12","FJ","Fiji","WPRO",0,0,0,0
"2020-01-13","FJ","Fiji","WPRO",0,0,0,0
"2020-01-14","FJ","Fiji","WPRO",0,0,0,0
"2020-01-15","FJ","Fiji","WPRO",0,0,0,0
"2020-01-16","FJ","Fiji","WPRO",0,0,0,0
"2020-01-17","FJ","Fiji","WPRO",0,0,0,0
"2020-01-18","FJ","Fiji","WPRO",0,0,0,0
"2020-01-19","FJ","Fiji","WPRO",0,0,0,0
"2020-01-20","FJ","Fiji","WPRO",0,0,0,0
"2020-01-21","FJ","Fiji","WPRO",0,0,0,0
"2020-01-22","FJ","Fiji","WPRO",0,0,0,0
"2020-01-23","FJ","Fiji","WPRO",0,0,0,0
"2020-01-24","FJ","Fiji","WPRO",0,0,0,0
"2020-01-25","FJ","Fiji","WPRO",0,0,0,0
"2020-01-26","FJ","Fiji","WPRO",0,0,0,0
"2020-01-27","FJ","Fiji","WPRO",0,0,0,0
"2020-01-28","FJ","Fiji","WPRO",0,0,0,0
"2020-01-29","FJ","Fiji","WPRO",0,0,0,0
"2020-01-30","FJ","Fiji","WPRO",0,0,0,0
"2020-01-31","FJ","Fiji","WPRO",0,0,0,0
"2020-02-01","FJ","Fiji","WPRO",0,0,0,0
"2020-02-02","FJ","Fiji","WPRO",0,0,0,0
"2020-02-03","FJ","Fiji","WPRO",0,0,0,0
"2020-02-04","FJ","Fiji","WPRO",0,0,0,0
"2020-02-05","FJ","Fiji","WPRO",0,0,0,0
"2020-02-06","FJ","Fiji","WPRO",0,0,0,0
"2020-02-07","FJ","Fiji","WPRO",0,0,0,0
"2020-02-08","FJ","Fiji","WPRO",0,0,0,0
"2020-02-09","FJ","Fiji","WPRO",0,0,0,0
"2020-02-10","FJ","Fiji","WPRO",0,0,0,0
"2020-02-11","FJ","Fiji","WPRO",0,0,0,0
"2020-02-12","FJ","Fiji","WPRO",0,0,0,0
"2020-02-13","FJ","Fiji","WPRO",0,0,0,0
"2020-02-14","FJ","Fiji","WPRO",0,0,0,0
"2020-02-15","FJ","Fiji","WPRO",0,0,0,0
"2020-02-16","FJ","Fiji","WPRO",0,0,0,0
"2020-02-17","FJ","Fiji","WPRO",0,0,0,0
"2020-02-18","FJ","Fiji","WPRO",0,0,0,0
"2020-02-19","FJ","Fiji","WPRO",0,0,0,0
"2020-02-20","FJ","Fiji","WPRO",0,0,0,0
"2020-02-21","FJ","Fiji","WPRO",0,0,0,0
"2020-02-22","FJ","Fiji","WPRO",0,0,0,0
"2020-02-23","FJ","Fiji","WPRO",0,0,0,0
"2020-02-24","FJ","Fiji","WPRO",0,0,0,0
"2020-02-25","FJ","Fiji","WPRO",0,0,0,0
"2020-02-26","FJ","Fiji","WPRO",0,0,0,0
"2020-02-27","FJ","Fiji","WPRO",0,0,0,0
"2020-02-28","FJ","Fiji","WPRO",0,0,0,0
"2020-02-29","FJ","Fiji","WPRO",0,0,0,0
"2020-03-01","FJ","Fiji","WPRO",0,0,0,0
"2020-03-02","FJ","Fiji","WPRO",0,0,0,0
"2020-03-03","FJ","Fiji","WPRO",0,0,0,0
"2020-03-04","FJ","Fiji","WPRO",0,0,0,0
"2020-03-05","FJ","Fiji","WPRO",0,0,0,0
"2020-03-06","FJ","Fiji","WPRO",0,0,0,0
"2020-03-07","FJ","Fiji","WPRO",0,0,0,0
"2020-03-08","FJ","Fiji","WPRO",0,0,0,0
"2020-03-09","FJ","Fiji","WPRO",0,0,0,0
"2020-03-10","FJ","Fiji","WPRO",0,0,0,0
"2020-03-11","FJ","Fiji","WPRO",0,0,0,0
"2020-03-12","FJ","Fiji","WPRO",0,0,0,0
"2020-03-13","FJ","Fiji","WPRO",0,0,0,0
"2020-03-14","FJ","Fiji","WPRO",0,0,0,0
"2020-03-15","FJ","Fiji","WPRO",0,0,0,0
"2020-03-16","FJ","Fiji","WPRO",0,0,0,0
"2020-03-17","FJ","Fiji","WPRO",0,0,0,0
"2020-03-18","FJ","Fiji","WPRO",0,0,0,0
"2020-03-19","FJ","Fiji","WPRO",1,1,0,0
"2020-03-20","FJ","Fiji","WPRO",0,1,0,0
"2020-03-21","FJ","Fiji","WPRO",1,2,0,0
"2020-03-22","FJ","Fiji","WPRO",0,2,0,0
"2020-03-23","FJ","Fiji","WPRO",1,3,0,0
"2020-03-24","FJ","Fiji","WPRO",1,4,0,0
"2020-03-25","FJ","Fiji","WPRO",1,5,0,0
"2020-03-26","FJ","Fiji","WPRO",0,5,0,0
"2020-03-27","FJ","Fiji","WPRO",0,5,0,0
"2020-03-28","FJ","Fiji","WPRO",0,5,0,0
"2020-03-29","FJ","Fiji","WPRO",0,5,0,0
"2020-03-30","FJ","Fiji","WPRO",0,5,0,0
"2020-03-31","FJ","Fiji","WPRO",0,5,0,0
"2020-04-01","FJ","Fiji","WPRO",0,5,0,0
"2020-04-02","FJ","Fiji","WPRO",0,5,0,0
"2020-04-03","FJ","Fiji","WPRO",2,7,0,0
"2020-04-04","FJ","Fiji","WPRO",0,7,0,0
"2020-04-05","FJ","Fiji","WPRO",5,12,0,0
"2020-04-06","FJ","Fiji","WPRO",2,14,0,0
"2020-04-07","FJ","Fiji","WPRO",1,15,0,0
"2020-04-08","FJ","Fiji","WPRO",0,15,0,0
"2020-04-09","FJ","Fiji","WPRO",0,15,0,0
"2020-04-10","FJ","Fiji","WPRO",0,15,0,0
"2020-04-11","FJ","Fiji","WPRO",1,16,0,0
"2020-04-12","FJ","Fiji","WPRO",0,16,0,0
"2020-04-13","FJ","Fiji","WPRO",0,16,0,0
"2020-04-14","FJ","Fiji","WPRO",0,16,0,0
"2020-04-15","FJ","Fiji","WPRO",0,16,0,0
