"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","FI","Finland","EURO",0,0,0,0
"2020-01-04","FI","Finland","EURO",0,0,0,0
"2020-01-05","FI","Finland","EURO",0,0,0,0
"2020-01-06","FI","Finland","EURO",0,0,0,0
"2020-01-07","FI","Finland","EURO",0,0,0,0
"2020-01-08","FI","Finland","EURO",0,0,0,0
"2020-01-09","FI","Finland","EURO",0,0,0,0
"2020-01-10","FI","Finland","EURO",0,0,0,0
"2020-01-11","FI","Finland","EURO",0,0,0,0
"2020-01-12","FI","Finland","EURO",0,0,0,0
"2020-01-13","FI","Finland","EURO",0,0,0,0
"2020-01-14","FI","Finland","EURO",0,0,0,0
"2020-01-15","FI","Finland","EURO",0,0,0,0
"2020-01-16","FI","Finland","EURO",0,0,0,0
"2020-01-17","FI","Finland","EURO",0,0,0,0
"2020-01-18","FI","Finland","EURO",0,0,0,0
"2020-01-19","FI","Finland","EURO",0,0,0,0
"2020-01-20","FI","Finland","EURO",0,0,0,0
"2020-01-21","FI","Finland","EURO",0,0,0,0
"2020-01-22","FI","Finland","EURO",0,0,0,0
"2020-01-23","FI","Finland","EURO",0,0,0,0
"2020-01-24","FI","Finland","EURO",0,0,0,0
"2020-01-25","FI","Finland","EURO",0,0,0,0
"2020-01-26","FI","Finland","EURO",0,0,0,0
"2020-01-27","FI","Finland","EURO",0,0,0,0
"2020-01-28","FI","Finland","EURO",0,0,0,0
"2020-01-29","FI","Finland","EURO",1,1,0,0
"2020-01-30","FI","Finland","EURO",0,1,0,0
"2020-01-31","FI","Finland","EURO",0,1,0,0
"2020-02-01","FI","Finland","EURO",0,1,0,0
"2020-02-02","FI","Finland","EURO",0,1,0,0
"2020-02-03","FI","Finland","EURO",0,1,0,0
"2020-02-04","FI","Finland","EURO",0,1,0,0
"2020-02-05","FI","Finland","EURO",0,1,0,0
"2020-02-06","FI","Finland","EURO",0,1,0,0
"2020-02-07","FI","Finland","EURO",0,1,0,0
"2020-02-08","FI","Finland","EURO",0,1,0,0
"2020-02-09","FI","Finland","EURO",0,1,0,0
"2020-02-10","FI","Finland","EURO",0,1,0,0
"2020-02-11","FI","Finland","EURO",0,1,0,0
"2020-02-12","FI","Finland","EURO",0,1,0,0
"2020-02-13","FI","Finland","EURO",0,1,0,0
"2020-02-14","FI","Finland","EURO",0,1,0,0
"2020-02-15","FI","Finland","EURO",0,1,0,0
"2020-02-16","FI","Finland","EURO",0,1,0,0
"2020-02-17","FI","Finland","EURO",0,1,0,0
"2020-02-18","FI","Finland","EURO",0,1,0,0
"2020-02-19","FI","Finland","EURO",0,1,0,0
"2020-02-20","FI","Finland","EURO",0,1,0,0
"2020-02-21","FI","Finland","EURO",0,1,0,0
"2020-02-22","FI","Finland","EURO",0,1,0,0
"2020-02-23","FI","Finland","EURO",0,1,0,0
"2020-02-24","FI","Finland","EURO",0,1,0,0
"2020-02-25","FI","Finland","EURO",0,1,0,0
"2020-02-26","FI","Finland","EURO",0,1,0,0
"2020-02-27","FI","Finland","EURO",1,2,0,0
"2020-02-28","FI","Finland","EURO",0,2,0,0
"2020-02-29","FI","Finland","EURO",1,3,0,0
"2020-03-01","FI","Finland","EURO",0,3,0,0
"2020-03-02","FI","Finland","EURO",3,6,0,0
"2020-03-03","FI","Finland","EURO",0,6,0,0
"2020-03-04","FI","Finland","EURO",1,7,0,0
"2020-03-05","FI","Finland","EURO",0,7,0,0
"2020-03-06","FI","Finland","EURO",5,12,0,0
"2020-03-07","FI","Finland","EURO",7,19,0,0
