"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GF","French Guiana","AMRO",0,0,0,0
"2020-01-04","GF","French Guiana","AMRO",0,0,0,0
"2020-01-05","GF","French Guiana","AMRO",0,0,0,0
"2020-01-06","GF","French Guiana","AMRO",0,0,0,0
"2020-01-07","GF","French Guiana","AMRO",0,0,0,0
"2020-01-08","GF","French Guiana","AMRO",0,0,0,0
"2020-01-09","GF","French Guiana","AMRO",0,0,0,0
"2020-01-10","GF","French Guiana","AMRO",0,0,0,0
"2020-01-11","GF","French Guiana","AMRO",0,0,0,0
"2020-01-12","GF","French Guiana","AMRO",0,0,0,0
"2020-01-13","GF","French Guiana","AMRO",0,0,0,0
"2020-01-14","GF","French Guiana","AMRO",0,0,0,0
"2020-01-15","GF","French Guiana","AMRO",0,0,0,0
"2020-01-16","GF","French Guiana","AMRO",0,0,0,0
"2020-01-17","GF","French Guiana","AMRO",0,0,0,0
"2020-01-18","GF","French Guiana","AMRO",0,0,0,0
"2020-01-19","GF","French Guiana","AMRO",0,0,0,0
"2020-01-20","GF","French Guiana","AMRO",0,0,0,0
"2020-01-21","GF","French Guiana","AMRO",0,0,0,0
"2020-01-22","GF","French Guiana","AMRO",0,0,0,0
"2020-01-23","GF","French Guiana","AMRO",0,0,0,0
"2020-01-24","GF","French Guiana","AMRO",0,0,0,0
"2020-01-25","GF","French Guiana","AMRO",0,0,0,0
"2020-01-26","GF","French Guiana","AMRO",0,0,0,0
"2020-01-27","GF","French Guiana","AMRO",0,0,0,0
"2020-01-28","GF","French Guiana","AMRO",0,0,0,0
"2020-01-29","GF","French Guiana","AMRO",0,0,0,0
"2020-01-30","GF","French Guiana","AMRO",0,0,0,0
"2020-01-31","GF","French Guiana","AMRO",0,0,0,0
"2020-02-01","GF","French Guiana","AMRO",0,0,0,0
"2020-02-02","GF","French Guiana","AMRO",0,0,0,0
"2020-02-03","GF","French Guiana","AMRO",0,0,0,0
"2020-02-04","GF","French Guiana","AMRO",0,0,0,0
"2020-02-05","GF","French Guiana","AMRO",0,0,0,0
"2020-02-06","GF","French Guiana","AMRO",0,0,0,0
"2020-02-07","GF","French Guiana","AMRO",0,0,0,0
"2020-02-08","GF","French Guiana","AMRO",0,0,0,0
"2020-02-09","GF","French Guiana","AMRO",0,0,0,0
"2020-02-10","GF","French Guiana","AMRO",0,0,0,0
"2020-02-11","GF","French Guiana","AMRO",0,0,0,0
"2020-02-12","GF","French Guiana","AMRO",0,0,0,0
"2020-02-13","GF","French Guiana","AMRO",0,0,0,0
"2020-02-14","GF","French Guiana","AMRO",0,0,0,0
"2020-02-15","GF","French Guiana","AMRO",0,0,0,0
"2020-02-16","GF","French Guiana","AMRO",0,0,0,0
"2020-02-17","GF","French Guiana","AMRO",0,0,0,0
"2020-02-18","GF","French Guiana","AMRO",0,0,0,0
"2020-02-19","GF","French Guiana","AMRO",0,0,0,0
"2020-02-20","GF","French Guiana","AMRO",0,0,0,0
"2020-02-21","GF","French Guiana","AMRO",0,0,0,0
"2020-02-22","GF","French Guiana","AMRO",0,0,0,0
"2020-02-23","GF","French Guiana","AMRO",0,0,0,0
"2020-02-24","GF","French Guiana","AMRO",0,0,0,0
"2020-02-25","GF","French Guiana","AMRO",0,0,0,0
"2020-02-26","GF","French Guiana","AMRO",0,0,0,0
"2020-02-27","GF","French Guiana","AMRO",0,0,0,0
"2020-02-28","GF","French Guiana","AMRO",0,0,0,0
"2020-02-29","GF","French Guiana","AMRO",0,0,0,0
"2020-03-01","GF","French Guiana","AMRO",0,0,0,0
"2020-03-02","GF","French Guiana","AMRO",0,0,0,0
"2020-03-03","GF","French Guiana","AMRO",0,0,0,0
"2020-03-04","GF","French Guiana","AMRO",0,0,0,0
"2020-03-05","GF","French Guiana","AMRO",0,0,0,0
"2020-03-06","GF","French Guiana","AMRO",0,0,0,0
"2020-03-07","GF","French Guiana","AMRO",5,5,0,0
"2020-03-08","GF","French Guiana","AMRO",0,5,0,0
"2020-03-09","GF","French Guiana","AMRO",0,5,0,0
"2020-03-10","GF","French Guiana","AMRO",0,5,0,0
"2020-03-11","GF","French Guiana","AMRO",0,5,0,0
"2020-03-12","GF","French Guiana","AMRO",0,5,0,0
"2020-03-13","GF","French Guiana","AMRO",1,6,0,0
"2020-03-14","GF","French Guiana","AMRO",1,7,0,0
"2020-03-15","GF","French Guiana","AMRO",0,7,0,0
"2020-03-16","GF","French Guiana","AMRO",0,7,0,0
"2020-03-17","GF","French Guiana","AMRO",0,7,0,0
"2020-03-18","GF","French Guiana","AMRO",8,15,0,0
"2020-03-19","GF","French Guiana","AMRO",0,15,0,0
"2020-03-20","GF","French Guiana","AMRO",0,15,0,0
"2020-03-21","GF","French Guiana","AMRO",0,15,0,0
"2020-03-22","GF","French Guiana","AMRO",0,15,0,0
"2020-03-23","GF","French Guiana","AMRO",3,18,0,0
"2020-03-24","GF","French Guiana","AMRO",5,23,0,0
"2020-03-25","GF","French Guiana","AMRO",0,23,0,0
"2020-03-26","GF","French Guiana","AMRO",5,28,0,0
"2020-03-27","GF","French Guiana","AMRO",0,28,0,0
"2020-03-28","GF","French Guiana","AMRO",3,31,0,0
"2020-03-29","GF","French Guiana","AMRO",0,31,0,0
"2020-03-30","GF","French Guiana","AMRO",0,31,0,0
"2020-03-31","GF","French Guiana","AMRO",12,43,0,0
"2020-04-01","GF","French Guiana","AMRO",3,46,0,0
"2020-04-02","GF","French Guiana","AMRO",5,51,0,0
"2020-04-03","GF","French Guiana","AMRO",4,55,0,0
"2020-04-04","GF","French Guiana","AMRO",2,57,0,0
"2020-04-05","GF","French Guiana","AMRO",5,62,0,0
"2020-04-06","GF","French Guiana","AMRO",4,66,0,0
"2020-04-07","GF","French Guiana","AMRO",2,68,0,0
"2020-04-08","GF","French Guiana","AMRO",4,72,0,0
"2020-04-09","GF","French Guiana","AMRO",5,77,0,0
"2020-04-10","GF","French Guiana","AMRO",6,83,0,0
"2020-04-11","GF","French Guiana","AMRO",1,84,0,0
"2020-04-12","GF","French Guiana","AMRO",2,86,0,0
"2020-04-13","GF","French Guiana","AMRO",0,86,0,0
"2020-04-14","GF","French Guiana","AMRO",2,88,0,0
"2020-04-15","GF","French Guiana","AMRO",0,88,0,0
"2020-04-16","GF","French Guiana","AMRO",7,95,0,0
"2020-04-17","GF","French Guiana","AMRO",1,96,0,0
"2020-04-18","GF","French Guiana","AMRO",0,96,0,0
"2020-04-19","GF","French Guiana","AMRO",0,96,0,0
"2020-04-20","GF","French Guiana","AMRO",0,96,0,0
"2020-04-21","GF","French Guiana","AMRO",1,97,1,1
"2020-04-22","GF","French Guiana","AMRO",0,97,0,1
"2020-04-23","GF","French Guiana","AMRO",0,97,0,1
"2020-04-24","GF","French Guiana","AMRO",10,107,0,1
"2020-04-25","GF","French Guiana","AMRO",2,109,0,1
"2020-04-26","GF","French Guiana","AMRO",0,109,0,1
"2020-04-27","GF","French Guiana","AMRO",0,109,0,1
"2020-04-28","GF","French Guiana","AMRO",2,111,0,1
"2020-04-29","GF","French Guiana","AMRO",13,124,0,1
"2020-04-30","GF","French Guiana","AMRO",1,125,0,1
"2020-05-01","GF","French Guiana","AMRO",1,126,0,1
