"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-04","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-05","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-06","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-07","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-08","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-09","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-10","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-11","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-12","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-13","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-14","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-15","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-16","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-17","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-18","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-19","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-20","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-21","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-22","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-23","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-24","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-25","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-26","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-27","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-28","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-29","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-30","PF","French Polynesia","WPRO",0,0,0,0
"2020-01-31","PF","French Polynesia","WPRO",0,0,0,0
"2020-02-01","PF","French Polynesia","WPRO",0,0,0,0
"2020-02-02","PF","French Polynesia","WPRO",0,0,0,0
