"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GA","Gabon","AFRO",0,0,0,0
"2020-01-04","GA","Gabon","AFRO",0,0,0,0
"2020-01-05","GA","Gabon","AFRO",0,0,0,0
"2020-01-06","GA","Gabon","AFRO",0,0,0,0
"2020-01-07","GA","Gabon","AFRO",0,0,0,0
"2020-01-08","GA","Gabon","AFRO",0,0,0,0
"2020-01-09","GA","Gabon","AFRO",0,0,0,0
"2020-01-10","GA","Gabon","AFRO",0,0,0,0
"2020-01-11","GA","Gabon","AFRO",0,0,0,0
"2020-01-12","GA","Gabon","AFRO",0,0,0,0
"2020-01-13","GA","Gabon","AFRO",0,0,0,0
"2020-01-14","GA","Gabon","AFRO",0,0,0,0
"2020-01-15","GA","Gabon","AFRO",0,0,0,0
"2020-01-16","GA","Gabon","AFRO",0,0,0,0
"2020-01-17","GA","Gabon","AFRO",0,0,0,0
"2020-01-18","GA","Gabon","AFRO",0,0,0,0
"2020-01-19","GA","Gabon","AFRO",0,0,0,0
"2020-01-20","GA","Gabon","AFRO",0,0,0,0
"2020-01-21","GA","Gabon","AFRO",0,0,0,0
"2020-01-22","GA","Gabon","AFRO",0,0,0,0
"2020-01-23","GA","Gabon","AFRO",0,0,0,0
"2020-01-24","GA","Gabon","AFRO",0,0,0,0
"2020-01-25","GA","Gabon","AFRO",0,0,0,0
"2020-01-26","GA","Gabon","AFRO",0,0,0,0
"2020-01-27","GA","Gabon","AFRO",0,0,0,0
"2020-01-28","GA","Gabon","AFRO",0,0,0,0
"2020-01-29","GA","Gabon","AFRO",0,0,0,0
"2020-01-30","GA","Gabon","AFRO",0,0,0,0
"2020-01-31","GA","Gabon","AFRO",0,0,0,0
"2020-02-01","GA","Gabon","AFRO",0,0,0,0
"2020-02-02","GA","Gabon","AFRO",0,0,0,0
"2020-02-03","GA","Gabon","AFRO",0,0,0,0
"2020-02-04","GA","Gabon","AFRO",0,0,0,0
"2020-02-05","GA","Gabon","AFRO",0,0,0,0
"2020-02-06","GA","Gabon","AFRO",0,0,0,0
"2020-02-07","GA","Gabon","AFRO",0,0,0,0
"2020-02-08","GA","Gabon","AFRO",0,0,0,0
"2020-02-09","GA","Gabon","AFRO",0,0,0,0
"2020-02-10","GA","Gabon","AFRO",0,0,0,0
"2020-02-11","GA","Gabon","AFRO",0,0,0,0
"2020-02-12","GA","Gabon","AFRO",0,0,0,0
"2020-02-13","GA","Gabon","AFRO",0,0,0,0
"2020-02-14","GA","Gabon","AFRO",0,0,0,0
"2020-02-15","GA","Gabon","AFRO",0,0,0,0
"2020-02-16","GA","Gabon","AFRO",0,0,0,0
"2020-02-17","GA","Gabon","AFRO",0,0,0,0
"2020-02-18","GA","Gabon","AFRO",0,0,0,0
"2020-02-19","GA","Gabon","AFRO",0,0,0,0
"2020-02-20","GA","Gabon","AFRO",0,0,0,0
"2020-02-21","GA","Gabon","AFRO",0,0,0,0
"2020-02-22","GA","Gabon","AFRO",0,0,0,0
"2020-02-23","GA","Gabon","AFRO",0,0,0,0
"2020-02-24","GA","Gabon","AFRO",0,0,0,0
"2020-02-25","GA","Gabon","AFRO",0,0,0,0
"2020-02-26","GA","Gabon","AFRO",0,0,0,0
"2020-02-27","GA","Gabon","AFRO",0,0,0,0
"2020-02-28","GA","Gabon","AFRO",0,0,0,0
"2020-02-29","GA","Gabon","AFRO",0,0,0,0
"2020-03-01","GA","Gabon","AFRO",0,0,0,0
"2020-03-02","GA","Gabon","AFRO",0,0,0,0
"2020-03-03","GA","Gabon","AFRO",0,0,0,0
"2020-03-04","GA","Gabon","AFRO",0,0,0,0
"2020-03-05","GA","Gabon","AFRO",0,0,0,0
"2020-03-06","GA","Gabon","AFRO",0,0,0,0
"2020-03-07","GA","Gabon","AFRO",0,0,0,0
"2020-03-08","GA","Gabon","AFRO",0,0,0,0
"2020-03-09","GA","Gabon","AFRO",0,0,0,0
"2020-03-10","GA","Gabon","AFRO",0,0,0,0
"2020-03-11","GA","Gabon","AFRO",0,0,0,0
"2020-03-12","GA","Gabon","AFRO",0,0,0,0
"2020-03-13","GA","Gabon","AFRO",0,0,0,0
"2020-03-14","GA","Gabon","AFRO",1,1,0,0
"2020-03-15","GA","Gabon","AFRO",0,1,0,0
"2020-03-16","GA","Gabon","AFRO",0,1,0,0
"2020-03-17","GA","Gabon","AFRO",0,1,0,0
"2020-03-18","GA","Gabon","AFRO",1,2,0,0
"2020-03-19","GA","Gabon","AFRO",0,2,0,0
"2020-03-20","GA","Gabon","AFRO",1,3,1,1
"2020-03-21","GA","Gabon","AFRO",0,3,0,1
"2020-03-22","GA","Gabon","AFRO",3,6,0,1
"2020-03-23","GA","Gabon","AFRO",0,6,0,1
"2020-03-24","GA","Gabon","AFRO",0,6,0,1
"2020-03-25","GA","Gabon","AFRO",0,6,0,1
"2020-03-26","GA","Gabon","AFRO",0,6,0,1
"2020-03-27","GA","Gabon","AFRO",0,6,0,1
"2020-03-28","GA","Gabon","AFRO",1,7,0,1
"2020-03-29","GA","Gabon","AFRO",0,7,0,1
"2020-03-30","GA","Gabon","AFRO",0,7,0,1
"2020-03-31","GA","Gabon","AFRO",0,7,0,1
"2020-04-01","GA","Gabon","AFRO",0,7,0,1
"2020-04-02","GA","Gabon","AFRO",0,7,0,1
"2020-04-03","GA","Gabon","AFRO",11,18,0,1
"2020-04-04","GA","Gabon","AFRO",3,21,0,1
"2020-04-05","GA","Gabon","AFRO",0,21,0,1
"2020-04-06","GA","Gabon","AFRO",0,21,0,1
"2020-04-07","GA","Gabon","AFRO",0,21,0,1
"2020-04-08","GA","Gabon","AFRO",3,24,0,1
