"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GE","Georgia","EURO",0,0,0,0
"2020-01-04","GE","Georgia","EURO",0,0,0,0
"2020-01-05","GE","Georgia","EURO",0,0,0,0
"2020-01-06","GE","Georgia","EURO",0,0,0,0
"2020-01-07","GE","Georgia","EURO",0,0,0,0
"2020-01-08","GE","Georgia","EURO",0,0,0,0
"2020-01-09","GE","Georgia","EURO",0,0,0,0
"2020-01-10","GE","Georgia","EURO",0,0,0,0
"2020-01-11","GE","Georgia","EURO",0,0,0,0
"2020-01-12","GE","Georgia","EURO",0,0,0,0
"2020-01-13","GE","Georgia","EURO",0,0,0,0
"2020-01-14","GE","Georgia","EURO",0,0,0,0
"2020-01-15","GE","Georgia","EURO",0,0,0,0
"2020-01-16","GE","Georgia","EURO",0,0,0,0
"2020-01-17","GE","Georgia","EURO",0,0,0,0
"2020-01-18","GE","Georgia","EURO",0,0,0,0
"2020-01-19","GE","Georgia","EURO",0,0,0,0
"2020-01-20","GE","Georgia","EURO",0,0,0,0
"2020-01-21","GE","Georgia","EURO",0,0,0,0
"2020-01-22","GE","Georgia","EURO",0,0,0,0
"2020-01-23","GE","Georgia","EURO",0,0,0,0
"2020-01-24","GE","Georgia","EURO",0,0,0,0
"2020-01-25","GE","Georgia","EURO",0,0,0,0
"2020-01-26","GE","Georgia","EURO",0,0,0,0
"2020-01-27","GE","Georgia","EURO",0,0,0,0
"2020-01-28","GE","Georgia","EURO",0,0,0,0
"2020-01-29","GE","Georgia","EURO",0,0,0,0
"2020-01-30","GE","Georgia","EURO",0,0,0,0
"2020-01-31","GE","Georgia","EURO",0,0,0,0
"2020-02-01","GE","Georgia","EURO",0,0,0,0
"2020-02-02","GE","Georgia","EURO",0,0,0,0
"2020-02-03","GE","Georgia","EURO",0,0,0,0
"2020-02-04","GE","Georgia","EURO",0,0,0,0
"2020-02-05","GE","Georgia","EURO",0,0,0,0
"2020-02-06","GE","Georgia","EURO",0,0,0,0
"2020-02-07","GE","Georgia","EURO",0,0,0,0
"2020-02-08","GE","Georgia","EURO",0,0,0,0
"2020-02-09","GE","Georgia","EURO",0,0,0,0
"2020-02-10","GE","Georgia","EURO",0,0,0,0
"2020-02-11","GE","Georgia","EURO",0,0,0,0
"2020-02-12","GE","Georgia","EURO",0,0,0,0
"2020-02-13","GE","Georgia","EURO",0,0,0,0
"2020-02-14","GE","Georgia","EURO",0,0,0,0
"2020-02-15","GE","Georgia","EURO",0,0,0,0
"2020-02-16","GE","Georgia","EURO",0,0,0,0
"2020-02-17","GE","Georgia","EURO",0,0,0,0
"2020-02-18","GE","Georgia","EURO",0,0,0,0
"2020-02-19","GE","Georgia","EURO",0,0,0,0
"2020-02-20","GE","Georgia","EURO",0,0,0,0
"2020-02-21","GE","Georgia","EURO",0,0,0,0
"2020-02-22","GE","Georgia","EURO",0,0,0,0
"2020-02-23","GE","Georgia","EURO",0,0,0,0
"2020-02-24","GE","Georgia","EURO",0,0,0,0
"2020-02-25","GE","Georgia","EURO",0,0,0,0
"2020-02-26","GE","Georgia","EURO",1,1,0,0
"2020-02-27","GE","Georgia","EURO",0,1,0,0
"2020-02-28","GE","Georgia","EURO",0,1,0,0
"2020-02-29","GE","Georgia","EURO",2,3,0,0
"2020-03-01","GE","Georgia","EURO",0,3,0,0
"2020-03-02","GE","Georgia","EURO",0,3,0,0
"2020-03-03","GE","Georgia","EURO",0,3,0,0
"2020-03-04","GE","Georgia","EURO",0,3,0,0
"2020-03-05","GE","Georgia","EURO",0,3,0,0
"2020-03-06","GE","Georgia","EURO",6,9,0,0
"2020-03-07","GE","Georgia","EURO",0,9,0,0
"2020-03-08","GE","Georgia","EURO",3,12,0,0
"2020-03-09","GE","Georgia","EURO",1,13,0,0
"2020-03-10","GE","Georgia","EURO",2,15,0,0
"2020-03-11","GE","Georgia","EURO",8,23,0,0
"2020-03-12","GE","Georgia","EURO",0,23,0,0
"2020-03-13","GE","Georgia","EURO",2,25,0,0
"2020-03-14","GE","Georgia","EURO",0,25,0,0
"2020-03-15","GE","Georgia","EURO",5,30,0,0
"2020-03-16","GE","Georgia","EURO",3,33,0,0
"2020-03-17","GE","Georgia","EURO",0,33,0,0
"2020-03-18","GE","Georgia","EURO",1,34,0,0
"2020-03-19","GE","Georgia","EURO",0,34,0,0
