"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GH","Ghana","AFRO",0,0,0,0
"2020-01-04","GH","Ghana","AFRO",0,0,0,0
"2020-01-05","GH","Ghana","AFRO",0,0,0,0
"2020-01-06","GH","Ghana","AFRO",0,0,0,0
"2020-01-07","GH","Ghana","AFRO",0,0,0,0
"2020-01-08","GH","Ghana","AFRO",0,0,0,0
"2020-01-09","GH","Ghana","AFRO",0,0,0,0
"2020-01-10","GH","Ghana","AFRO",0,0,0,0
"2020-01-11","GH","Ghana","AFRO",0,0,0,0
"2020-01-12","GH","Ghana","AFRO",0,0,0,0
"2020-01-13","GH","Ghana","AFRO",0,0,0,0
"2020-01-14","GH","Ghana","AFRO",0,0,0,0
"2020-01-15","GH","Ghana","AFRO",0,0,0,0
"2020-01-16","GH","Ghana","AFRO",0,0,0,0
"2020-01-17","GH","Ghana","AFRO",0,0,0,0
"2020-01-18","GH","Ghana","AFRO",0,0,0,0
"2020-01-19","GH","Ghana","AFRO",0,0,0,0
"2020-01-20","GH","Ghana","AFRO",0,0,0,0
"2020-01-21","GH","Ghana","AFRO",0,0,0,0
"2020-01-22","GH","Ghana","AFRO",0,0,0,0
"2020-01-23","GH","Ghana","AFRO",0,0,0,0
"2020-01-24","GH","Ghana","AFRO",0,0,0,0
"2020-01-25","GH","Ghana","AFRO",0,0,0,0
"2020-01-26","GH","Ghana","AFRO",0,0,0,0
"2020-01-27","GH","Ghana","AFRO",0,0,0,0
"2020-01-28","GH","Ghana","AFRO",0,0,0,0
"2020-01-29","GH","Ghana","AFRO",0,0,0,0
"2020-01-30","GH","Ghana","AFRO",0,0,0,0
"2020-01-31","GH","Ghana","AFRO",0,0,0,0
"2020-02-01","GH","Ghana","AFRO",0,0,0,0
"2020-02-02","GH","Ghana","AFRO",0,0,0,0
"2020-02-03","GH","Ghana","AFRO",0,0,0,0
"2020-02-04","GH","Ghana","AFRO",0,0,0,0
"2020-02-05","GH","Ghana","AFRO",0,0,0,0
"2020-02-06","GH","Ghana","AFRO",0,0,0,0
"2020-02-07","GH","Ghana","AFRO",0,0,0,0
"2020-02-08","GH","Ghana","AFRO",0,0,0,0
"2020-02-09","GH","Ghana","AFRO",0,0,0,0
"2020-02-10","GH","Ghana","AFRO",0,0,0,0
"2020-02-11","GH","Ghana","AFRO",0,0,0,0
"2020-02-12","GH","Ghana","AFRO",0,0,0,0
