"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GI","Gibraltar","EURO",0,0,0,0
"2020-01-04","GI","Gibraltar","EURO",0,0,0,0
"2020-01-05","GI","Gibraltar","EURO",0,0,0,0
"2020-01-06","GI","Gibraltar","EURO",0,0,0,0
"2020-01-07","GI","Gibraltar","EURO",0,0,0,0
"2020-01-08","GI","Gibraltar","EURO",0,0,0,0
"2020-01-09","GI","Gibraltar","EURO",0,0,0,0
"2020-01-10","GI","Gibraltar","EURO",0,0,0,0
"2020-01-11","GI","Gibraltar","EURO",0,0,0,0
"2020-01-12","GI","Gibraltar","EURO",0,0,0,0
"2020-01-13","GI","Gibraltar","EURO",0,0,0,0
"2020-01-14","GI","Gibraltar","EURO",0,0,0,0
"2020-01-15","GI","Gibraltar","EURO",0,0,0,0
"2020-01-16","GI","Gibraltar","EURO",0,0,0,0
"2020-01-17","GI","Gibraltar","EURO",0,0,0,0
"2020-01-18","GI","Gibraltar","EURO",0,0,0,0
"2020-01-19","GI","Gibraltar","EURO",0,0,0,0
"2020-01-20","GI","Gibraltar","EURO",0,0,0,0
"2020-01-21","GI","Gibraltar","EURO",0,0,0,0
"2020-01-22","GI","Gibraltar","EURO",0,0,0,0
"2020-01-23","GI","Gibraltar","EURO",0,0,0,0
"2020-01-24","GI","Gibraltar","EURO",0,0,0,0
"2020-01-25","GI","Gibraltar","EURO",0,0,0,0
"2020-01-26","GI","Gibraltar","EURO",0,0,0,0
"2020-01-27","GI","Gibraltar","EURO",0,0,0,0
"2020-01-28","GI","Gibraltar","EURO",0,0,0,0
"2020-01-29","GI","Gibraltar","EURO",0,0,0,0
"2020-01-30","GI","Gibraltar","EURO",0,0,0,0
"2020-01-31","GI","Gibraltar","EURO",0,0,0,0
"2020-02-01","GI","Gibraltar","EURO",0,0,0,0
"2020-02-02","GI","Gibraltar","EURO",0,0,0,0
"2020-02-03","GI","Gibraltar","EURO",0,0,0,0
"2020-02-04","GI","Gibraltar","EURO",0,0,0,0
"2020-02-05","GI","Gibraltar","EURO",0,0,0,0
"2020-02-06","GI","Gibraltar","EURO",0,0,0,0
"2020-02-07","GI","Gibraltar","EURO",0,0,0,0
"2020-02-08","GI","Gibraltar","EURO",0,0,0,0
"2020-02-09","GI","Gibraltar","EURO",0,0,0,0
"2020-02-10","GI","Gibraltar","EURO",0,0,0,0
"2020-02-11","GI","Gibraltar","EURO",0,0,0,0
"2020-02-12","GI","Gibraltar","EURO",0,0,0,0
"2020-02-13","GI","Gibraltar","EURO",0,0,0,0
"2020-02-14","GI","Gibraltar","EURO",0,0,0,0
"2020-02-15","GI","Gibraltar","EURO",0,0,0,0
"2020-02-16","GI","Gibraltar","EURO",0,0,0,0
"2020-02-17","GI","Gibraltar","EURO",0,0,0,0
"2020-02-18","GI","Gibraltar","EURO",0,0,0,0
"2020-02-19","GI","Gibraltar","EURO",0,0,0,0
"2020-02-20","GI","Gibraltar","EURO",0,0,0,0
"2020-02-21","GI","Gibraltar","EURO",0,0,0,0
"2020-02-22","GI","Gibraltar","EURO",0,0,0,0
"2020-02-23","GI","Gibraltar","EURO",0,0,0,0
"2020-02-24","GI","Gibraltar","EURO",0,0,0,0
"2020-02-25","GI","Gibraltar","EURO",0,0,0,0
"2020-02-26","GI","Gibraltar","EURO",0,0,0,0
"2020-02-27","GI","Gibraltar","EURO",0,0,0,0
"2020-02-28","GI","Gibraltar","EURO",0,0,0,0
"2020-02-29","GI","Gibraltar","EURO",0,0,0,0
"2020-03-01","GI","Gibraltar","EURO",0,0,0,0
"2020-03-02","GI","Gibraltar","EURO",0,0,0,0
"2020-03-03","GI","Gibraltar","EURO",1,1,0,0
"2020-03-04","GI","Gibraltar","EURO",0,1,0,0
"2020-03-05","GI","Gibraltar","EURO",0,1,0,0
"2020-03-06","GI","Gibraltar","EURO",0,1,0,0
"2020-03-07","GI","Gibraltar","EURO",0,1,0,0
"2020-03-08","GI","Gibraltar","EURO",0,1,0,0
"2020-03-09","GI","Gibraltar","EURO",0,1,0,0
"2020-03-10","GI","Gibraltar","EURO",0,1,0,0
"2020-03-11","GI","Gibraltar","EURO",0,1,0,0
