"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GR","Greece","EURO",0,0,0,0
"2020-01-04","GR","Greece","EURO",0,0,0,0
"2020-01-05","GR","Greece","EURO",0,0,0,0
"2020-01-06","GR","Greece","EURO",0,0,0,0
"2020-01-07","GR","Greece","EURO",0,0,0,0
"2020-01-08","GR","Greece","EURO",0,0,0,0
"2020-01-09","GR","Greece","EURO",0,0,0,0
"2020-01-10","GR","Greece","EURO",0,0,0,0
"2020-01-11","GR","Greece","EURO",0,0,0,0
"2020-01-12","GR","Greece","EURO",0,0,0,0
"2020-01-13","GR","Greece","EURO",0,0,0,0
"2020-01-14","GR","Greece","EURO",0,0,0,0
"2020-01-15","GR","Greece","EURO",0,0,0,0
"2020-01-16","GR","Greece","EURO",0,0,0,0
"2020-01-17","GR","Greece","EURO",0,0,0,0
"2020-01-18","GR","Greece","EURO",0,0,0,0
"2020-01-19","GR","Greece","EURO",0,0,0,0
"2020-01-20","GR","Greece","EURO",0,0,0,0
"2020-01-21","GR","Greece","EURO",0,0,0,0
"2020-01-22","GR","Greece","EURO",0,0,0,0
"2020-01-23","GR","Greece","EURO",0,0,0,0
"2020-01-24","GR","Greece","EURO",0,0,0,0
"2020-01-25","GR","Greece","EURO",0,0,0,0
"2020-01-26","GR","Greece","EURO",0,0,0,0
"2020-01-27","GR","Greece","EURO",0,0,0,0
"2020-01-28","GR","Greece","EURO",0,0,0,0
"2020-01-29","GR","Greece","EURO",0,0,0,0
"2020-01-30","GR","Greece","EURO",0,0,0,0
"2020-01-31","GR","Greece","EURO",0,0,0,0
"2020-02-01","GR","Greece","EURO",0,0,0,0
"2020-02-02","GR","Greece","EURO",0,0,0,0
"2020-02-03","GR","Greece","EURO",0,0,0,0
"2020-02-04","GR","Greece","EURO",0,0,0,0
"2020-02-05","GR","Greece","EURO",0,0,0,0
"2020-02-06","GR","Greece","EURO",0,0,0,0
"2020-02-07","GR","Greece","EURO",0,0,0,0
"2020-02-08","GR","Greece","EURO",0,0,0,0
"2020-02-09","GR","Greece","EURO",0,0,0,0
"2020-02-10","GR","Greece","EURO",0,0,0,0
"2020-02-11","GR","Greece","EURO",0,0,0,0
"2020-02-12","GR","Greece","EURO",0,0,0,0
"2020-02-13","GR","Greece","EURO",0,0,0,0
"2020-02-14","GR","Greece","EURO",0,0,0,0
"2020-02-15","GR","Greece","EURO",0,0,0,0
"2020-02-16","GR","Greece","EURO",0,0,0,0
"2020-02-17","GR","Greece","EURO",0,0,0,0
"2020-02-18","GR","Greece","EURO",0,0,0,0
"2020-02-19","GR","Greece","EURO",0,0,0,0
"2020-02-20","GR","Greece","EURO",0,0,0,0
"2020-02-21","GR","Greece","EURO",0,0,0,0
"2020-02-22","GR","Greece","EURO",0,0,0,0
"2020-02-23","GR","Greece","EURO",0,0,0,0
"2020-02-24","GR","Greece","EURO",0,0,0,0
"2020-02-25","GR","Greece","EURO",0,0,0,0
"2020-02-26","GR","Greece","EURO",0,0,0,0
"2020-02-27","GR","Greece","EURO",1,1,0,0
"2020-02-28","GR","Greece","EURO",2,3,0,0
"2020-02-29","GR","Greece","EURO",1,4,0,0
"2020-03-01","GR","Greece","EURO",3,7,0,0
"2020-03-02","GR","Greece","EURO",0,7,0,0
"2020-03-03","GR","Greece","EURO",0,7,0,0
"2020-03-04","GR","Greece","EURO",0,7,0,0
"2020-03-05","GR","Greece","EURO",3,10,0,0
"2020-03-06","GR","Greece","EURO",22,32,0,0
"2020-03-07","GR","Greece","EURO",13,45,0,0
"2020-03-08","GR","Greece","EURO",21,66,0,0
"2020-03-09","GR","Greece","EURO",7,73,0,0
"2020-03-10","GR","Greece","EURO",11,84,0,0
"2020-03-11","GR","Greece","EURO",6,90,0,0
"2020-03-12","GR","Greece","EURO",9,99,1,1
"2020-03-13","GR","Greece","EURO",34,133,0,1
"2020-03-14","GR","Greece","EURO",57,190,0,1
"2020-03-15","GR","Greece","EURO",38,228,2,3
"2020-03-16","GR","Greece","EURO",103,331,1,4
"2020-03-17","GR","Greece","EURO",21,352,0,4
"2020-03-18","GR","Greece","EURO",35,387,1,5
"2020-03-19","GR","Greece","EURO",31,418,0,5
"2020-03-20","GR","Greece","EURO",46,464,0,5
"2020-03-21","GR","Greece","EURO",31,495,3,8
"2020-03-22","GR","Greece","EURO",35,530,5,13
"2020-03-23","GR","Greece","EURO",94,624,2,15
"2020-03-24","GR","Greece","EURO",71,695,2,17
"2020-03-25","GR","Greece","EURO",48,743,3,20
"2020-03-26","GR","Greece","EURO",78,821,2,22
"2020-03-27","GR","Greece","EURO",71,892,4,26
"2020-03-28","GR","Greece","EURO",74,966,2,28
"2020-03-29","GR","Greece","EURO",95,1061,4,32
"2020-03-30","GR","Greece","EURO",95,1156,6,38
"2020-03-31","GR","Greece","EURO",56,1212,5,43
"2020-04-01","GR","Greece","EURO",102,1314,6,49
"2020-04-02","GR","Greece","EURO",61,1375,1,50
"2020-04-03","GR","Greece","EURO",139,1514,3,53
"2020-04-04","GR","Greece","EURO",99,1613,6,59
"2020-04-05","GR","Greece","EURO",60,1673,9,68
"2020-04-06","GR","Greece","EURO",62,1735,5,73
"2020-04-07","GR","Greece","EURO",20,1755,6,79
"2020-04-08","GR","Greece","EURO",77,1832,2,81
"2020-04-09","GR","Greece","EURO",52,1884,2,83
"2020-04-10","GR","Greece","EURO",71,1955,3,86
"2020-04-11","GR","Greece","EURO",56,2011,4,90
"2020-04-12","GR","Greece","EURO",70,2081,3,93
"2020-04-13","GR","Greece","EURO",33,2114,5,98
"2020-04-14","GR","Greece","EURO",31,2145,1,99
"2020-04-15","GR","Greece","EURO",25,2170,2,101
"2020-04-16","GR","Greece","EURO",22,2192,1,102
"2020-04-17","GR","Greece","EURO",15,2207,3,105
"2020-04-18","GR","Greece","EURO",0,2207,0,105
"2020-04-19","GR","Greece","EURO",0,2207,0,105
"2020-04-20","GR","Greece","EURO",28,2235,5,110
"2020-04-21","GR","Greece","EURO",10,2245,6,116
"2020-04-22","GR","Greece","EURO",156,2401,5,121
"2020-04-23","GR","Greece","EURO",7,2408,0,121
"2020-04-24","GR","Greece","EURO",55,2463,4,125
"2020-04-25","GR","Greece","EURO",27,2490,5,130
"2020-04-26","GR","Greece","EURO",16,2506,0,130
"2020-04-27","GR","Greece","EURO",0,2506,0,130
"2020-04-28","GR","Greece","EURO",28,2534,6,136
"2020-04-29","GR","Greece","EURO",0,2534,0,136
"2020-04-30","GR","Greece","EURO",42,2576,3,139
"2020-05-01","GR","Greece","EURO",15,2591,1,140
"2020-05-02","GR","Greece","EURO",0,2591,0,140
"2020-05-03","GR","Greece","EURO",29,2620,3,143
"2020-05-04","GR","Greece","EURO",6,2626,1,144
"2020-05-05","GR","Greece","EURO",6,2632,2,146
"2020-05-06","GR","Greece","EURO",10,2642,0,146
"2020-05-07","GR","Greece","EURO",21,2663,1,147
"2020-05-08","GR","Greece","EURO",15,2678,1,148
"2020-05-09","GR","Greece","EURO",13,2691,2,150
"2020-05-10","GR","Greece","EURO",19,2710,1,151
"2020-05-11","GR","Greece","EURO",6,2716,0,151
"2020-05-12","GR","Greece","EURO",10,2726,0,151
"2020-05-13","GR","Greece","EURO",18,2744,1,152
"2020-05-14","GR","Greece","EURO",16,2760,3,155
"2020-05-15","GR","Greece","EURO",10,2770,1,156
"2020-05-16","GR","Greece","EURO",40,2810,4,160
"2020-05-17","GR","Greece","EURO",9,2819,2,162
"2020-05-18","GR","Greece","EURO",15,2834,1,163
"2020-05-19","GR","Greece","EURO",2,2836,2,165
"2020-05-20","GR","Greece","EURO",4,2840,0,165
"2020-05-21","GR","Greece","EURO",10,2850,1,166
"2020-05-22","GR","Greece","EURO",3,2853,2,168
"2020-05-23","GR","Greece","EURO",20,2873,1,169
"2020-05-24","GR","Greece","EURO",3,2876,2,171
"2020-05-25","GR","Greece","EURO",2,2878,0,171
"2020-05-26","GR","Greece","EURO",4,2882,1,172
"2020-05-27","GR","Greece","EURO",10,2892,1,173
"2020-05-28","GR","Greece","EURO",11,2903,0,173
"2020-05-29","GR","Greece","EURO",3,2906,2,175
"2020-05-30","GR","Greece","EURO",3,2909,0,175
"2020-05-31","GR","Greece","EURO",6,2915,0,175
"2020-06-01","GR","Greece","EURO",2,2917,0,175
"2020-06-02","GR","Greece","EURO",1,2918,4,179
"2020-06-03","GR","Greece","EURO",19,2937,0,179
"2020-06-04","GR","Greece","EURO",0,2937,0,179
"2020-06-05","GR","Greece","EURO",15,2952,1,180
"2020-06-06","GR","Greece","EURO",15,2967,0,180
"2020-06-07","GR","Greece","EURO",13,2980,0,180
"2020-06-08","GR","Greece","EURO",17,2997,0,180
"2020-06-09","GR","Greece","EURO",52,3049,2,182
"2020-06-10","GR","Greece","EURO",9,3058,1,183
"2020-06-11","GR","Greece","EURO",10,3068,0,183
"2020-06-12","GR","Greece","EURO",20,3088,0,183
"2020-06-13","GR","Greece","EURO",20,3108,0,183
"2020-06-14","GR","Greece","EURO",4,3112,0,183
"2020-06-15","GR","Greece","EURO",9,3121,0,183
"2020-06-16","GR","Greece","EURO",13,3134,1,184
"2020-06-17","GR","Greece","EURO",14,3148,1,185
"2020-06-18","GR","Greece","EURO",55,3203,2,187
"2020-06-19","GR","Greece","EURO",24,3227,1,188
"2020-06-20","GR","Greece","EURO",10,3237,1,189
"2020-06-21","GR","Greece","EURO",19,3256,1,190
"2020-06-22","GR","Greece","EURO",10,3266,0,190
"2020-06-23","GR","Greece","EURO",21,3287,0,190
"2020-06-24","GR","Greece","EURO",15,3302,0,190
"2020-06-25","GR","Greece","EURO",8,3310,0,190
"2020-06-26","GR","Greece","EURO",11,3321,1,191
"2020-06-27","GR","Greece","EURO",22,3343,0,191
"2020-06-28","GR","Greece","EURO",23,3366,0,191
"2020-06-29","GR","Greece","EURO",10,3376,0,191
"2020-06-30","GR","Greece","EURO",14,3390,0,191
"2020-07-01","GR","Greece","EURO",19,3409,1,192
"2020-07-02","GR","Greece","EURO",23,3432,0,192
"2020-07-03","GR","Greece","EURO",26,3458,0,192
"2020-07-04","GR","Greece","EURO",28,3486,0,192
"2020-07-05","GR","Greece","EURO",25,3511,0,192
"2020-07-06","GR","Greece","EURO",8,3519,0,192
"2020-07-07","GR","Greece","EURO",43,3562,0,192
"2020-07-08","GR","Greece","EURO",27,3589,1,193
"2020-07-09","GR","Greece","EURO",33,3622,0,193
"2020-07-10","GR","Greece","EURO",50,3672,0,193
"2020-07-11","GR","Greece","EURO",60,3732,0,193
"2020-07-12","GR","Greece","EURO",40,3772,0,193
"2020-07-13","GR","Greece","EURO",31,3803,0,193
"2020-07-14","GR","Greece","EURO",23,3826,0,193
"2020-07-15","GR","Greece","EURO",57,3883,0,193
"2020-07-16","GR","Greece","EURO",27,3910,0,193
"2020-07-17","GR","Greece","EURO",29,3939,0,193
"2020-07-18","GR","Greece","EURO",25,3964,1,194
"2020-07-19","GR","Greece","EURO",19,3983,0,194
"2020-07-20","GR","Greece","EURO",24,4007,0,194
"2020-07-21","GR","Greece","EURO",5,4012,1,195
"2020-07-22","GR","Greece","EURO",36,4048,2,197
"2020-07-23","GR","Greece","EURO",29,4077,3,200
"2020-07-24","GR","Greece","EURO",33,4110,1,201
"2020-07-25","GR","Greece","EURO",25,4135,0,201
"2020-07-26","GR","Greece","EURO",31,4166,0,201
"2020-07-27","GR","Greece","EURO",27,4193,1,202
"2020-07-28","GR","Greece","EURO",34,4227,0,202
"2020-07-29","GR","Greece","EURO",52,4279,1,203
"2020-07-30","GR","Greece","EURO",57,4336,0,203
"2020-07-31","GR","Greece","EURO",65,4401,0,203
"2020-08-01","GR","Greece","EURO",76,4477,3,206
"2020-08-02","GR","Greece","EURO",110,4587,0,206
"2020-08-03","GR","Greece","EURO",75,4662,2,208
"2020-08-04","GR","Greece","EURO",75,4737,1,209
"2020-08-05","GR","Greece","EURO",118,4855,0,209
"2020-08-06","GR","Greece","EURO",118,4973,1,210
"2020-08-07","GR","Greece","EURO",150,5123,0,210
"2020-08-08","GR","Greece","EURO",147,5270,0,210
"2020-08-09","GR","Greece","EURO",151,5421,1,211
"2020-08-10","GR","Greece","EURO",202,5623,1,212
"2020-08-11","GR","Greece","EURO",126,5749,1,213
"2020-08-12","GR","Greece","EURO",193,5942,1,214
"2020-08-13","GR","Greece","EURO",235,6177,2,216
"2020-08-14","GR","Greece","EURO",204,6381,5,221
"2020-08-15","GR","Greece","EURO",251,6632,2,223
"2020-08-16","GR","Greece","EURO",226,6858,3,226
"2020-08-17","GR","Greece","EURO",217,7075,2,228
"2020-08-18","GR","Greece","EURO",147,7222,2,230
"2020-08-19","GR","Greece","EURO",250,7472,2,232
"2020-08-20","GR","Greece","EURO",212,7684,3,235
"2020-08-21","GR","Greece","EURO",250,7934,0,235
"2020-08-22","GR","Greece","EURO",204,8138,3,238
"2020-08-23","GR","Greece","EURO",243,8381,2,240
"2020-08-24","GR","Greece","EURO",283,8664,2,242
"2020-08-25","GR","Greece","EURO",155,8819,0,242
"2020-08-26","GR","Greece","EURO",168,8987,1,243
"2020-08-27","GR","Greece","EURO",293,9280,5,248
"2020-08-28","GR","Greece","EURO",251,9531,6,254
"2020-08-29","GR","Greece","EURO",269,9800,5,259
"2020-08-30","GR","Greece","EURO",177,9977,1,260
"2020-08-31","GR","Greece","EURO",157,10134,2,262
"2020-09-01","GR","Greece","EURO",183,10317,4,266
"2020-09-02","GR","Greece","EURO",207,10524,5,271
"2020-09-03","GR","Greece","EURO",233,10757,2,273
"2020-09-04","GR","Greece","EURO",241,10998,5,278
"2020-09-05","GR","Greece","EURO",202,11200,1,279
"2020-09-06","GR","Greece","EURO",186,11386,1,280
"2020-09-07","GR","Greece","EURO",138,11524,4,284
"2020-09-08","GR","Greece","EURO",139,11663,5,289
"2020-09-09","GR","Greece","EURO",169,11832,1,290
"2020-09-10","GR","Greece","EURO",248,12080,3,293
"2020-09-11","GR","Greece","EURO",372,12452,4,297
"2020-09-12","GR","Greece","EURO",282,12734,3,300
"2020-09-13","GR","Greece","EURO",302,13036,2,302
"2020-09-14","GR","Greece","EURO",204,13240,3,305
"2020-09-15","GR","Greece","EURO",180,13420,5,310
"2020-09-16","GR","Greece","EURO",310,13730,3,313
"2020-09-17","GR","Greece","EURO",311,14041,3,316
"2020-09-18","GR","Greece","EURO",359,14400,9,325
"2020-09-19","GR","Greece","EURO",338,14738,2,327
"2020-09-20","GR","Greece","EURO",240,14978,4,331
"2020-09-21","GR","Greece","EURO",164,15142,7,338
"2020-09-22","GR","Greece","EURO",453,15595,6,344
"2020-09-23","GR","Greece","EURO",333,15928,8,352
"2020-09-24","GR","Greece","EURO",358,16286,5,357
"2020-09-25","GR","Greece","EURO",341,16627,9,366
"2020-09-26","GR","Greece","EURO",286,16913,3,369
"2020-09-27","GR","Greece","EURO",315,17228,7,376
"2020-09-28","GR","Greece","EURO",216,17444,3,379
"2020-09-29","GR","Greece","EURO",263,17707,4,383
"2020-09-30","GR","Greece","EURO",416,18123,5,388
"2020-10-01","GR","Greece","EURO",352,18475,3,391
"2020-10-02","GR","Greece","EURO",411,18886,2,393
"2020-10-03","GR","Greece","EURO",460,19346,5,398
"2020-10-04","GR","Greece","EURO",267,19613,7,405
"2020-10-05","GR","Greece","EURO",229,19842,4,409
"2020-10-06","GR","Greece","EURO",300,20142,8,417
"2020-10-07","GR","Greece","EURO",399,20541,3,420
"2020-10-08","GR","Greece","EURO",406,20947,4,424
"2020-10-09","GR","Greece","EURO",434,21381,6,430
"2020-10-10","GR","Greece","EURO",391,21772,1,431
"2020-10-11","GR","Greece","EURO",306,22078,5,436
"2020-10-12","GR","Greece","EURO",280,22358,13,449
