"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-04","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-05","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-06","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-07","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-08","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-09","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-10","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-11","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-12","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-13","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-14","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-15","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-16","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-17","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-18","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-19","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-20","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-21","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-22","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-23","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-24","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-25","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-26","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-27","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-28","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-29","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-30","GP","Guadeloupe","AMRO",0,0,0,0
"2020-01-31","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-01","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-02","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-03","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-04","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-05","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-06","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-07","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-08","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-09","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-10","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-11","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-12","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-13","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-14","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-15","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-16","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-17","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-18","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-19","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-20","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-21","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-22","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-23","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-24","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-25","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-26","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-27","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-28","GP","Guadeloupe","AMRO",0,0,0,0
"2020-02-29","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-01","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-02","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-03","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-04","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-05","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-06","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-07","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-08","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-09","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-10","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-11","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-12","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-13","GP","Guadeloupe","AMRO",0,0,0,0
"2020-03-14","GP","Guadeloupe","AMRO",7,7,0,0
"2020-03-15","GP","Guadeloupe","AMRO",3,10,0,0
"2020-03-16","GP","Guadeloupe","AMRO",0,10,0,0
"2020-03-17","GP","Guadeloupe","AMRO",12,22,0,0
"2020-03-18","GP","Guadeloupe","AMRO",15,37,0,0
"2020-03-19","GP","Guadeloupe","AMRO",8,45,0,0
"2020-03-20","GP","Guadeloupe","AMRO",6,51,0,0
"2020-03-21","GP","Guadeloupe","AMRO",0,51,0,0
"2020-03-22","GP","Guadeloupe","AMRO",0,51,0,0
"2020-03-23","GP","Guadeloupe","AMRO",5,56,0,0
"2020-03-24","GP","Guadeloupe","AMRO",17,73,0,0
"2020-03-25","GP","Guadeloupe","AMRO",0,73,0,0
"2020-03-26","GP","Guadeloupe","AMRO",3,76,0,0
"2020-03-27","GP","Guadeloupe","AMRO",0,76,0,0
"2020-03-28","GP","Guadeloupe","AMRO",20,96,2,2
"2020-03-29","GP","Guadeloupe","AMRO",0,96,0,2
"2020-03-30","GP","Guadeloupe","AMRO",0,96,0,2
"2020-03-31","GP","Guadeloupe","AMRO",10,106,2,4
"2020-04-01","GP","Guadeloupe","AMRO",8,114,1,5
"2020-04-02","GP","Guadeloupe","AMRO",11,125,1,6
"2020-04-03","GP","Guadeloupe","AMRO",3,128,0,6
"2020-04-04","GP","Guadeloupe","AMRO",2,130,1,7
"2020-04-05","GP","Guadeloupe","AMRO",0,130,0,7
"2020-04-06","GP","Guadeloupe","AMRO",4,134,0,7
"2020-04-07","GP","Guadeloupe","AMRO",1,135,0,7
"2020-04-08","GP","Guadeloupe","AMRO",4,139,0,7
"2020-04-09","GP","Guadeloupe","AMRO",0,139,1,8
"2020-04-10","GP","Guadeloupe","AMRO",2,141,0,8
"2020-04-11","GP","Guadeloupe","AMRO",2,143,0,8
"2020-04-12","GP","Guadeloupe","AMRO",0,143,0,8
"2020-04-13","GP","Guadeloupe","AMRO",0,143,0,8
"2020-04-14","GP","Guadeloupe","AMRO",0,143,0,8
"2020-04-15","GP","Guadeloupe","AMRO",2,145,0,8
"2020-04-16","GP","Guadeloupe","AMRO",0,145,0,8
"2020-04-17","GP","Guadeloupe","AMRO",0,145,0,8
"2020-04-18","GP","Guadeloupe","AMRO",0,145,0,8
"2020-04-19","GP","Guadeloupe","AMRO",0,145,2,10
"2020-04-20","GP","Guadeloupe","AMRO",3,148,0,10
"2020-04-21","GP","Guadeloupe","AMRO",0,148,0,10
"2020-04-22","GP","Guadeloupe","AMRO",0,148,0,10
"2020-04-23","GP","Guadeloupe","AMRO",0,148,0,10
"2020-04-24","GP","Guadeloupe","AMRO",0,148,0,10
"2020-04-25","GP","Guadeloupe","AMRO",1,149,0,10
"2020-04-26","GP","Guadeloupe","AMRO",0,149,0,10
"2020-04-27","GP","Guadeloupe","AMRO",0,149,0,10
"2020-04-28","GP","Guadeloupe","AMRO",0,149,0,10
"2020-04-29","GP","Guadeloupe","AMRO",0,149,1,11
"2020-04-30","GP","Guadeloupe","AMRO",2,151,0,11
"2020-05-01","GP","Guadeloupe","AMRO",1,152,1,12
"2020-05-02","GP","Guadeloupe","AMRO",0,152,0,12
"2020-05-03","GP","Guadeloupe","AMRO",0,152,0,12
"2020-05-04","GP","Guadeloupe","AMRO",0,152,0,12
"2020-05-05","GP","Guadeloupe","AMRO",0,152,0,12
"2020-05-06","GP","Guadeloupe","AMRO",0,152,1,13
"2020-05-07","GP","Guadeloupe","AMRO",1,153,0,13
"2020-05-08","GP","Guadeloupe","AMRO",0,153,0,13
"2020-05-09","GP","Guadeloupe","AMRO",1,154,0,13
"2020-05-10","GP","Guadeloupe","AMRO",0,154,0,13
"2020-05-11","GP","Guadeloupe","AMRO",0,154,0,13
"2020-05-12","GP","Guadeloupe","AMRO",0,154,0,13
"2020-05-13","GP","Guadeloupe","AMRO",1,155,0,13
"2020-05-14","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-15","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-16","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-17","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-18","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-19","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-20","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-21","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-22","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-23","GP","Guadeloupe","AMRO",0,155,0,13
"2020-05-24","GP","Guadeloupe","AMRO",1,156,0,13
"2020-05-25","GP","Guadeloupe","AMRO",0,156,0,13
"2020-05-26","GP","Guadeloupe","AMRO",5,161,1,14
"2020-05-27","GP","Guadeloupe","AMRO",0,161,0,14
"2020-05-28","GP","Guadeloupe","AMRO",0,161,0,14
"2020-05-29","GP","Guadeloupe","AMRO",0,161,0,14
"2020-05-30","GP","Guadeloupe","AMRO",1,162,0,14
"2020-05-31","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-01","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-02","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-03","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-04","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-05","GP","Guadeloupe","AMRO",0,162,0,14
"2020-06-06","GP","Guadeloupe","AMRO",2,164,0,14
"2020-06-07","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-08","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-09","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-10","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-11","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-12","GP","Guadeloupe","AMRO",0,164,0,14
"2020-06-13","GP","Guadeloupe","AMRO",7,171,0,14
"2020-06-14","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-15","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-16","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-17","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-18","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-19","GP","Guadeloupe","AMRO",0,171,0,14
"2020-06-20","GP","Guadeloupe","AMRO",3,174,0,14
"2020-06-21","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-22","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-23","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-24","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-25","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-26","GP","Guadeloupe","AMRO",0,174,0,14
"2020-06-27","GP","Guadeloupe","AMRO",8,182,0,14
"2020-06-28","GP","Guadeloupe","AMRO",0,182,0,14
"2020-06-29","GP","Guadeloupe","AMRO",0,182,0,14
"2020-06-30","GP","Guadeloupe","AMRO",0,182,0,14
"2020-07-01","GP","Guadeloupe","AMRO",0,182,0,14
"2020-07-02","GP","Guadeloupe","AMRO",0,182,0,14
"2020-07-03","GP","Guadeloupe","AMRO",0,182,0,14
"2020-07-04","GP","Guadeloupe","AMRO",0,182,0,14
"2020-07-05","GP","Guadeloupe","AMRO",2,184,2,16
"2020-07-06","GP","Guadeloupe","AMRO",0,184,-2,14
"2020-07-07","GP","Guadeloupe","AMRO",0,184,0,14
"2020-07-08","GP","Guadeloupe","AMRO",0,184,0,14
