"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GU","Guam","WPRO",0,0,0,0
"2020-01-04","GU","Guam","WPRO",0,0,0,0
"2020-01-05","GU","Guam","WPRO",0,0,0,0
"2020-01-06","GU","Guam","WPRO",0,0,0,0
"2020-01-07","GU","Guam","WPRO",0,0,0,0
"2020-01-08","GU","Guam","WPRO",0,0,0,0
"2020-01-09","GU","Guam","WPRO",0,0,0,0
"2020-01-10","GU","Guam","WPRO",0,0,0,0
"2020-01-11","GU","Guam","WPRO",0,0,0,0
"2020-01-12","GU","Guam","WPRO",0,0,0,0
"2020-01-13","GU","Guam","WPRO",0,0,0,0
"2020-01-14","GU","Guam","WPRO",0,0,0,0
"2020-01-15","GU","Guam","WPRO",0,0,0,0
"2020-01-16","GU","Guam","WPRO",0,0,0,0
"2020-01-17","GU","Guam","WPRO",0,0,0,0
"2020-01-18","GU","Guam","WPRO",0,0,0,0
"2020-01-19","GU","Guam","WPRO",0,0,0,0
"2020-01-20","GU","Guam","WPRO",0,0,0,0
"2020-01-21","GU","Guam","WPRO",0,0,0,0
"2020-01-22","GU","Guam","WPRO",0,0,0,0
"2020-01-23","GU","Guam","WPRO",0,0,0,0
"2020-01-24","GU","Guam","WPRO",0,0,0,0
"2020-01-25","GU","Guam","WPRO",0,0,0,0
"2020-01-26","GU","Guam","WPRO",0,0,0,0
"2020-01-27","GU","Guam","WPRO",0,0,0,0
"2020-01-28","GU","Guam","WPRO",0,0,0,0
"2020-01-29","GU","Guam","WPRO",0,0,0,0
"2020-01-30","GU","Guam","WPRO",0,0,0,0
"2020-01-31","GU","Guam","WPRO",0,0,0,0
"2020-02-01","GU","Guam","WPRO",0,0,0,0
"2020-02-02","GU","Guam","WPRO",0,0,0,0
"2020-02-03","GU","Guam","WPRO",0,0,0,0
"2020-02-04","GU","Guam","WPRO",0,0,0,0
"2020-02-05","GU","Guam","WPRO",0,0,0,0
"2020-02-06","GU","Guam","WPRO",0,0,0,0
"2020-02-07","GU","Guam","WPRO",0,0,0,0
"2020-02-08","GU","Guam","WPRO",0,0,0,0
