"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GT","Guatemala","AMRO",0,0,0,0
"2020-01-04","GT","Guatemala","AMRO",0,0,0,0
"2020-01-05","GT","Guatemala","AMRO",0,0,0,0
"2020-01-06","GT","Guatemala","AMRO",0,0,0,0
"2020-01-07","GT","Guatemala","AMRO",0,0,0,0
"2020-01-08","GT","Guatemala","AMRO",0,0,0,0
"2020-01-09","GT","Guatemala","AMRO",0,0,0,0
"2020-01-10","GT","Guatemala","AMRO",0,0,0,0
"2020-01-11","GT","Guatemala","AMRO",0,0,0,0
"2020-01-12","GT","Guatemala","AMRO",0,0,0,0
"2020-01-13","GT","Guatemala","AMRO",0,0,0,0
"2020-01-14","GT","Guatemala","AMRO",0,0,0,0
"2020-01-15","GT","Guatemala","AMRO",0,0,0,0
"2020-01-16","GT","Guatemala","AMRO",0,0,0,0
"2020-01-17","GT","Guatemala","AMRO",0,0,0,0
"2020-01-18","GT","Guatemala","AMRO",0,0,0,0
"2020-01-19","GT","Guatemala","AMRO",0,0,0,0
"2020-01-20","GT","Guatemala","AMRO",0,0,0,0
"2020-01-21","GT","Guatemala","AMRO",0,0,0,0
"2020-01-22","GT","Guatemala","AMRO",0,0,0,0
"2020-01-23","GT","Guatemala","AMRO",0,0,0,0
"2020-01-24","GT","Guatemala","AMRO",0,0,0,0
"2020-01-25","GT","Guatemala","AMRO",0,0,0,0
"2020-01-26","GT","Guatemala","AMRO",0,0,0,0
"2020-01-27","GT","Guatemala","AMRO",0,0,0,0
"2020-01-28","GT","Guatemala","AMRO",0,0,0,0
"2020-01-29","GT","Guatemala","AMRO",0,0,0,0
"2020-01-30","GT","Guatemala","AMRO",0,0,0,0
"2020-01-31","GT","Guatemala","AMRO",0,0,0,0
"2020-02-01","GT","Guatemala","AMRO",0,0,0,0
"2020-02-02","GT","Guatemala","AMRO",0,0,0,0
"2020-02-03","GT","Guatemala","AMRO",0,0,0,0
"2020-02-04","GT","Guatemala","AMRO",0,0,0,0
"2020-02-05","GT","Guatemala","AMRO",0,0,0,0
"2020-02-06","GT","Guatemala","AMRO",0,0,0,0
"2020-02-07","GT","Guatemala","AMRO",0,0,0,0
"2020-02-08","GT","Guatemala","AMRO",0,0,0,0
"2020-02-09","GT","Guatemala","AMRO",0,0,0,0
"2020-02-10","GT","Guatemala","AMRO",0,0,0,0
"2020-02-11","GT","Guatemala","AMRO",0,0,0,0
"2020-02-12","GT","Guatemala","AMRO",0,0,0,0
"2020-02-13","GT","Guatemala","AMRO",0,0,0,0
"2020-02-14","GT","Guatemala","AMRO",0,0,0,0
"2020-02-15","GT","Guatemala","AMRO",0,0,0,0
"2020-02-16","GT","Guatemala","AMRO",0,0,0,0
"2020-02-17","GT","Guatemala","AMRO",0,0,0,0
"2020-02-18","GT","Guatemala","AMRO",0,0,0,0
"2020-02-19","GT","Guatemala","AMRO",0,0,0,0
"2020-02-20","GT","Guatemala","AMRO",0,0,0,0
"2020-02-21","GT","Guatemala","AMRO",0,0,0,0
"2020-02-22","GT","Guatemala","AMRO",0,0,0,0
"2020-02-23","GT","Guatemala","AMRO",0,0,0,0
"2020-02-24","GT","Guatemala","AMRO",0,0,0,0
"2020-02-25","GT","Guatemala","AMRO",0,0,0,0
"2020-02-26","GT","Guatemala","AMRO",0,0,0,0
"2020-02-27","GT","Guatemala","AMRO",0,0,0,0
"2020-02-28","GT","Guatemala","AMRO",0,0,0,0
"2020-02-29","GT","Guatemala","AMRO",0,0,0,0
"2020-03-01","GT","Guatemala","AMRO",0,0,0,0
"2020-03-02","GT","Guatemala","AMRO",0,0,0,0
"2020-03-03","GT","Guatemala","AMRO",0,0,0,0
"2020-03-04","GT","Guatemala","AMRO",0,0,0,0
"2020-03-05","GT","Guatemala","AMRO",0,0,0,0
"2020-03-06","GT","Guatemala","AMRO",0,0,0,0
"2020-03-07","GT","Guatemala","AMRO",0,0,0,0
"2020-03-08","GT","Guatemala","AMRO",0,0,0,0
"2020-03-09","GT","Guatemala","AMRO",0,0,0,0
"2020-03-10","GT","Guatemala","AMRO",0,0,0,0
"2020-03-11","GT","Guatemala","AMRO",0,0,0,0
"2020-03-12","GT","Guatemala","AMRO",0,0,0,0
"2020-03-13","GT","Guatemala","AMRO",0,0,0,0
"2020-03-14","GT","Guatemala","AMRO",0,0,0,0
"2020-03-15","GT","Guatemala","AMRO",5,5,1,1
"2020-03-16","GT","Guatemala","AMRO",0,5,0,1
"2020-03-17","GT","Guatemala","AMRO",5,10,0,1
"2020-03-18","GT","Guatemala","AMRO",0,10,0,1
"2020-03-19","GT","Guatemala","AMRO",-1,9,0,1
"2020-03-20","GT","Guatemala","AMRO",3,12,0,1
"2020-03-21","GT","Guatemala","AMRO",0,12,0,1
"2020-03-22","GT","Guatemala","AMRO",0,12,0,1
"2020-03-23","GT","Guatemala","AMRO",6,18,0,1
"2020-03-24","GT","Guatemala","AMRO",3,21,0,1
