"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GG","Guernsey","EURO",0,0,0,0
"2020-01-04","GG","Guernsey","EURO",0,0,0,0
"2020-01-05","GG","Guernsey","EURO",0,0,0,0
"2020-01-06","GG","Guernsey","EURO",0,0,0,0
"2020-01-07","GG","Guernsey","EURO",0,0,0,0
"2020-01-08","GG","Guernsey","EURO",0,0,0,0
"2020-01-09","GG","Guernsey","EURO",0,0,0,0
"2020-01-10","GG","Guernsey","EURO",0,0,0,0
"2020-01-11","GG","Guernsey","EURO",0,0,0,0
"2020-01-12","GG","Guernsey","EURO",0,0,0,0
"2020-01-13","GG","Guernsey","EURO",0,0,0,0
"2020-01-14","GG","Guernsey","EURO",0,0,0,0
"2020-01-15","GG","Guernsey","EURO",0,0,0,0
"2020-01-16","GG","Guernsey","EURO",0,0,0,0
"2020-01-17","GG","Guernsey","EURO",0,0,0,0
"2020-01-18","GG","Guernsey","EURO",0,0,0,0
"2020-01-19","GG","Guernsey","EURO",0,0,0,0
"2020-01-20","GG","Guernsey","EURO",0,0,0,0
"2020-01-21","GG","Guernsey","EURO",0,0,0,0
"2020-01-22","GG","Guernsey","EURO",0,0,0,0
"2020-01-23","GG","Guernsey","EURO",0,0,0,0
"2020-01-24","GG","Guernsey","EURO",0,0,0,0
"2020-01-25","GG","Guernsey","EURO",0,0,0,0
"2020-01-26","GG","Guernsey","EURO",0,0,0,0
"2020-01-27","GG","Guernsey","EURO",0,0,0,0
"2020-01-28","GG","Guernsey","EURO",0,0,0,0
"2020-01-29","GG","Guernsey","EURO",0,0,0,0
"2020-01-30","GG","Guernsey","EURO",0,0,0,0
"2020-01-31","GG","Guernsey","EURO",0,0,0,0
"2020-02-01","GG","Guernsey","EURO",0,0,0,0
"2020-02-02","GG","Guernsey","EURO",0,0,0,0
"2020-02-03","GG","Guernsey","EURO",0,0,0,0
"2020-02-04","GG","Guernsey","EURO",0,0,0,0
"2020-02-05","GG","Guernsey","EURO",0,0,0,0
"2020-02-06","GG","Guernsey","EURO",0,0,0,0
"2020-02-07","GG","Guernsey","EURO",0,0,0,0
"2020-02-08","GG","Guernsey","EURO",0,0,0,0
"2020-02-09","GG","Guernsey","EURO",0,0,0,0
"2020-02-10","GG","Guernsey","EURO",0,0,0,0
"2020-02-11","GG","Guernsey","EURO",0,0,0,0
"2020-02-12","GG","Guernsey","EURO",0,0,0,0
"2020-02-13","GG","Guernsey","EURO",0,0,0,0
"2020-02-14","GG","Guernsey","EURO",0,0,0,0
"2020-02-15","GG","Guernsey","EURO",0,0,0,0
"2020-02-16","GG","Guernsey","EURO",0,0,0,0
"2020-02-17","GG","Guernsey","EURO",0,0,0,0
"2020-02-18","GG","Guernsey","EURO",0,0,0,0
"2020-02-19","GG","Guernsey","EURO",0,0,0,0
"2020-02-20","GG","Guernsey","EURO",0,0,0,0
"2020-02-21","GG","Guernsey","EURO",0,0,0,0
"2020-02-22","GG","Guernsey","EURO",0,0,0,0
"2020-02-23","GG","Guernsey","EURO",0,0,0,0
"2020-02-24","GG","Guernsey","EURO",0,0,0,0
"2020-02-25","GG","Guernsey","EURO",0,0,0,0
"2020-02-26","GG","Guernsey","EURO",0,0,0,0
"2020-02-27","GG","Guernsey","EURO",0,0,0,0
"2020-02-28","GG","Guernsey","EURO",0,0,0,0
"2020-02-29","GG","Guernsey","EURO",0,0,0,0
"2020-03-01","GG","Guernsey","EURO",0,0,0,0
"2020-03-02","GG","Guernsey","EURO",0,0,0,0
"2020-03-03","GG","Guernsey","EURO",0,0,0,0
"2020-03-04","GG","Guernsey","EURO",0,0,0,0
