"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-04","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-05","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-06","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-07","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-08","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-09","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-10","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-11","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-12","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-13","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-14","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-15","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-16","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-17","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-18","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-19","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-20","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-21","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-22","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-23","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-24","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-25","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-26","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-27","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-28","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-29","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-30","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-01-31","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-01","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-02","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-03","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-04","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-05","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-06","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-07","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-08","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-09","GW","Guinea-Bissau","AFRO",0,0,0,0
"2020-02-10","GW","Guinea-Bissau","AFRO",0,0,0,0
