"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GN","Guinea","AFRO",0,0,0,0
"2020-01-04","GN","Guinea","AFRO",0,0,0,0
"2020-01-05","GN","Guinea","AFRO",0,0,0,0
"2020-01-06","GN","Guinea","AFRO",0,0,0,0
"2020-01-07","GN","Guinea","AFRO",0,0,0,0
"2020-01-08","GN","Guinea","AFRO",0,0,0,0
"2020-01-09","GN","Guinea","AFRO",0,0,0,0
"2020-01-10","GN","Guinea","AFRO",0,0,0,0
"2020-01-11","GN","Guinea","AFRO",0,0,0,0
"2020-01-12","GN","Guinea","AFRO",0,0,0,0
"2020-01-13","GN","Guinea","AFRO",0,0,0,0
"2020-01-14","GN","Guinea","AFRO",0,0,0,0
"2020-01-15","GN","Guinea","AFRO",0,0,0,0
"2020-01-16","GN","Guinea","AFRO",0,0,0,0
"2020-01-17","GN","Guinea","AFRO",0,0,0,0
"2020-01-18","GN","Guinea","AFRO",0,0,0,0
"2020-01-19","GN","Guinea","AFRO",0,0,0,0
"2020-01-20","GN","Guinea","AFRO",0,0,0,0
"2020-01-21","GN","Guinea","AFRO",0,0,0,0
"2020-01-22","GN","Guinea","AFRO",0,0,0,0
"2020-01-23","GN","Guinea","AFRO",0,0,0,0
"2020-01-24","GN","Guinea","AFRO",0,0,0,0
"2020-01-25","GN","Guinea","AFRO",0,0,0,0
"2020-01-26","GN","Guinea","AFRO",0,0,0,0
"2020-01-27","GN","Guinea","AFRO",0,0,0,0
"2020-01-28","GN","Guinea","AFRO",0,0,0,0
"2020-01-29","GN","Guinea","AFRO",0,0,0,0
"2020-01-30","GN","Guinea","AFRO",0,0,0,0
"2020-01-31","GN","Guinea","AFRO",0,0,0,0
"2020-02-01","GN","Guinea","AFRO",0,0,0,0
"2020-02-02","GN","Guinea","AFRO",0,0,0,0
"2020-02-03","GN","Guinea","AFRO",0,0,0,0
"2020-02-04","GN","Guinea","AFRO",0,0,0,0
"2020-02-05","GN","Guinea","AFRO",0,0,0,0
"2020-02-06","GN","Guinea","AFRO",0,0,0,0
"2020-02-07","GN","Guinea","AFRO",0,0,0,0
"2020-02-08","GN","Guinea","AFRO",0,0,0,0
"2020-02-09","GN","Guinea","AFRO",0,0,0,0
"2020-02-10","GN","Guinea","AFRO",0,0,0,0
"2020-02-11","GN","Guinea","AFRO",0,0,0,0
"2020-02-12","GN","Guinea","AFRO",0,0,0,0
"2020-02-13","GN","Guinea","AFRO",0,0,0,0
"2020-02-14","GN","Guinea","AFRO",0,0,0,0
"2020-02-15","GN","Guinea","AFRO",0,0,0,0
"2020-02-16","GN","Guinea","AFRO",0,0,0,0
"2020-02-17","GN","Guinea","AFRO",0,0,0,0
"2020-02-18","GN","Guinea","AFRO",0,0,0,0
"2020-02-19","GN","Guinea","AFRO",0,0,0,0
"2020-02-20","GN","Guinea","AFRO",0,0,0,0
"2020-02-21","GN","Guinea","AFRO",0,0,0,0
"2020-02-22","GN","Guinea","AFRO",0,0,0,0
"2020-02-23","GN","Guinea","AFRO",0,0,0,0
"2020-02-24","GN","Guinea","AFRO",0,0,0,0
"2020-02-25","GN","Guinea","AFRO",0,0,0,0
"2020-02-26","GN","Guinea","AFRO",0,0,0,0
"2020-02-27","GN","Guinea","AFRO",0,0,0,0
"2020-02-28","GN","Guinea","AFRO",0,0,0,0
"2020-02-29","GN","Guinea","AFRO",0,0,0,0
"2020-03-01","GN","Guinea","AFRO",0,0,0,0
"2020-03-02","GN","Guinea","AFRO",0,0,0,0
"2020-03-03","GN","Guinea","AFRO",0,0,0,0
"2020-03-04","GN","Guinea","AFRO",0,0,0,0
"2020-03-05","GN","Guinea","AFRO",0,0,0,0
"2020-03-06","GN","Guinea","AFRO",0,0,0,0
"2020-03-07","GN","Guinea","AFRO",0,0,0,0
"2020-03-08","GN","Guinea","AFRO",0,0,0,0
"2020-03-09","GN","Guinea","AFRO",0,0,0,0
"2020-03-10","GN","Guinea","AFRO",0,0,0,0
"2020-03-11","GN","Guinea","AFRO",0,0,0,0
"2020-03-12","GN","Guinea","AFRO",0,0,0,0
"2020-03-13","GN","Guinea","AFRO",0,0,0,0
"2020-03-14","GN","Guinea","AFRO",5,5,0,0
"2020-03-15","GN","Guinea","AFRO",0,5,0,0
"2020-03-16","GN","Guinea","AFRO",0,5,0,0
"2020-03-17","GN","Guinea","AFRO",0,5,0,0
"2020-03-18","GN","Guinea","AFRO",0,5,0,0
"2020-03-19","GN","Guinea","AFRO",1,6,0,0
"2020-03-20","GN","Guinea","AFRO",0,6,0,0
"2020-03-21","GN","Guinea","AFRO",0,6,0,0
"2020-03-22","GN","Guinea","AFRO",0,6,0,0
"2020-03-23","GN","Guinea","AFRO",0,6,0,0
"2020-03-24","GN","Guinea","AFRO",-2,4,0,0
"2020-03-25","GN","Guinea","AFRO",0,4,0,0
"2020-03-26","GN","Guinea","AFRO",0,4,0,0
"2020-03-27","GN","Guinea","AFRO",1,5,0,0
"2020-03-28","GN","Guinea","AFRO",3,8,0,0
"2020-03-29","GN","Guinea","AFRO",0,8,0,0
"2020-03-30","GN","Guinea","AFRO",8,16,0,0
"2020-03-31","GN","Guinea","AFRO",0,16,0,0
"2020-04-01","GN","Guinea","AFRO",0,16,0,0
"2020-04-02","GN","Guinea","AFRO",14,30,0,0
"2020-04-03","GN","Guinea","AFRO",22,52,0,0
"2020-04-04","GN","Guinea","AFRO",0,52,0,0
"2020-04-05","GN","Guinea","AFRO",59,111,0,0
"2020-04-06","GN","Guinea","AFRO",0,111,0,0
"2020-04-07","GN","Guinea","AFRO",0,111,0,0
"2020-04-08","GN","Guinea","AFRO",33,144,0,0
"2020-04-09","GN","Guinea","AFRO",20,164,0,0
"2020-04-10","GN","Guinea","AFRO",30,194,0,0
"2020-04-11","GN","Guinea","AFRO",0,194,0,0
"2020-04-12","GN","Guinea","AFRO",56,250,0,0
"2020-04-13","GN","Guinea","AFRO",0,250,0,0
"2020-04-14","GN","Guinea","AFRO",69,319,0,0
"2020-04-15","GN","Guinea","AFRO",44,363,0,0
"2020-04-16","GN","Guinea","AFRO",41,404,1,1
"2020-04-17","GN","Guinea","AFRO",34,438,0,1
"2020-04-18","GN","Guinea","AFRO",0,438,0,1
"2020-04-19","GN","Guinea","AFRO",39,477,2,3
"2020-04-20","GN","Guinea","AFRO",0,477,0,3
"2020-04-21","GN","Guinea","AFRO",145,622,2,5
"2020-04-22","GN","Guinea","AFRO",66,688,1,6
"2020-04-23","GN","Guinea","AFRO",73,761,0,6
"2020-04-24","GN","Guinea","AFRO",101,862,0,6
"2020-04-25","GN","Guinea","AFRO",92,954,0,6
"2020-04-26","GN","Guinea","AFRO",42,996,1,7
"2020-04-27","GN","Guinea","AFRO",98,1094,0,7
"2020-04-28","GN","Guinea","AFRO",69,1163,0,7
"2020-04-29","GN","Guinea","AFRO",77,1240,0,7
"2020-04-30","GN","Guinea","AFRO",111,1351,0,7
"2020-05-01","GN","Guinea","AFRO",144,1495,0,7
"2020-05-02","GN","Guinea","AFRO",42,1537,0,7
"2020-05-03","GN","Guinea","AFRO",49,1586,0,7
"2020-05-04","GN","Guinea","AFRO",64,1650,0,7
"2020-05-05","GN","Guinea","AFRO",60,1710,2,9
"2020-05-06","GN","Guinea","AFRO",101,1811,1,10
"2020-05-07","GN","Guinea","AFRO",45,1856,1,11
"2020-05-08","GN","Guinea","AFRO",71,1927,0,11
"2020-05-09","GN","Guinea","AFRO",82,2009,0,11
"2020-05-10","GN","Guinea","AFRO",33,2042,0,11
"2020-05-11","GN","Guinea","AFRO",104,2146,0,11
"2020-05-12","GN","Guinea","AFRO",0,2146,0,11
"2020-05-13","GN","Guinea","AFRO",152,2298,0,11
"2020-05-14","GN","Guinea","AFRO",74,2372,3,14
"2020-05-15","GN","Guinea","AFRO",101,2473,0,14
