"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","GY","Guyana","AMRO",0,0,0,0
"2020-01-04","GY","Guyana","AMRO",0,0,0,0
"2020-01-05","GY","Guyana","AMRO",0,0,0,0
"2020-01-06","GY","Guyana","AMRO",0,0,0,0
"2020-01-07","GY","Guyana","AMRO",0,0,0,0
"2020-01-08","GY","Guyana","AMRO",0,0,0,0
"2020-01-09","GY","Guyana","AMRO",0,0,0,0
"2020-01-10","GY","Guyana","AMRO",0,0,0,0
"2020-01-11","GY","Guyana","AMRO",0,0,0,0
"2020-01-12","GY","Guyana","AMRO",0,0,0,0
"2020-01-13","GY","Guyana","AMRO",0,0,0,0
"2020-01-14","GY","Guyana","AMRO",0,0,0,0
"2020-01-15","GY","Guyana","AMRO",0,0,0,0
"2020-01-16","GY","Guyana","AMRO",0,0,0,0
"2020-01-17","GY","Guyana","AMRO",0,0,0,0
"2020-01-18","GY","Guyana","AMRO",0,0,0,0
"2020-01-19","GY","Guyana","AMRO",0,0,0,0
"2020-01-20","GY","Guyana","AMRO",0,0,0,0
"2020-01-21","GY","Guyana","AMRO",0,0,0,0
"2020-01-22","GY","Guyana","AMRO",0,0,0,0
"2020-01-23","GY","Guyana","AMRO",0,0,0,0
"2020-01-24","GY","Guyana","AMRO",0,0,0,0
"2020-01-25","GY","Guyana","AMRO",0,0,0,0
"2020-01-26","GY","Guyana","AMRO",0,0,0,0
"2020-01-27","GY","Guyana","AMRO",0,0,0,0
"2020-01-28","GY","Guyana","AMRO",0,0,0,0
"2020-01-29","GY","Guyana","AMRO",0,0,0,0
"2020-01-30","GY","Guyana","AMRO",0,0,0,0
"2020-01-31","GY","Guyana","AMRO",0,0,0,0
"2020-02-01","GY","Guyana","AMRO",0,0,0,0
"2020-02-02","GY","Guyana","AMRO",0,0,0,0
"2020-02-03","GY","Guyana","AMRO",0,0,0,0
"2020-02-04","GY","Guyana","AMRO",0,0,0,0
"2020-02-05","GY","Guyana","AMRO",0,0,0,0
"2020-02-06","GY","Guyana","AMRO",0,0,0,0
"2020-02-07","GY","Guyana","AMRO",0,0,0,0
"2020-02-08","GY","Guyana","AMRO",0,0,0,0
"2020-02-09","GY","Guyana","AMRO",0,0,0,0
"2020-02-10","GY","Guyana","AMRO",0,0,0,0
"2020-02-11","GY","Guyana","AMRO",0,0,0,0
"2020-02-12","GY","Guyana","AMRO",0,0,0,0
"2020-02-13","GY","Guyana","AMRO",0,0,0,0
"2020-02-14","GY","Guyana","AMRO",0,0,0,0
"2020-02-15","GY","Guyana","AMRO",0,0,0,0
"2020-02-16","GY","Guyana","AMRO",0,0,0,0
"2020-02-17","GY","Guyana","AMRO",0,0,0,0
"2020-02-18","GY","Guyana","AMRO",0,0,0,0
"2020-02-19","GY","Guyana","AMRO",0,0,0,0
"2020-02-20","GY","Guyana","AMRO",0,0,0,0
"2020-02-21","GY","Guyana","AMRO",0,0,0,0
"2020-02-22","GY","Guyana","AMRO",0,0,0,0
"2020-02-23","GY","Guyana","AMRO",0,0,0,0
"2020-02-24","GY","Guyana","AMRO",0,0,0,0
"2020-02-25","GY","Guyana","AMRO",0,0,0,0
"2020-02-26","GY","Guyana","AMRO",0,0,0,0
"2020-02-27","GY","Guyana","AMRO",0,0,0,0
"2020-02-28","GY","Guyana","AMRO",0,0,0,0
"2020-02-29","GY","Guyana","AMRO",0,0,0,0
"2020-03-01","GY","Guyana","AMRO",0,0,0,0
"2020-03-02","GY","Guyana","AMRO",0,0,0,0
"2020-03-03","GY","Guyana","AMRO",0,0,0,0
"2020-03-04","GY","Guyana","AMRO",0,0,0,0
"2020-03-05","GY","Guyana","AMRO",0,0,0,0
"2020-03-06","GY","Guyana","AMRO",0,0,0,0
"2020-03-07","GY","Guyana","AMRO",0,0,0,0
"2020-03-08","GY","Guyana","AMRO",0,0,0,0
"2020-03-09","GY","Guyana","AMRO",0,0,0,0
"2020-03-10","GY","Guyana","AMRO",0,0,0,0
"2020-03-11","GY","Guyana","AMRO",0,0,0,0
"2020-03-12","GY","Guyana","AMRO",0,0,0,0
"2020-03-13","GY","Guyana","AMRO",5,5,1,1
"2020-03-14","GY","Guyana","AMRO",0,5,0,1
"2020-03-15","GY","Guyana","AMRO",3,8,0,1
"2020-03-16","GY","Guyana","AMRO",0,8,0,1
"2020-03-17","GY","Guyana","AMRO",0,8,0,1
"2020-03-18","GY","Guyana","AMRO",1,9,0,1
"2020-03-19","GY","Guyana","AMRO",0,9,0,1
"2020-03-20","GY","Guyana","AMRO",0,9,0,1
"2020-03-21","GY","Guyana","AMRO",0,9,0,1
"2020-03-22","GY","Guyana","AMRO",0,9,0,1
"2020-03-23","GY","Guyana","AMRO",0,9,0,1
"2020-03-24","GY","Guyana","AMRO",0,9,0,1
"2020-03-25","GY","Guyana","AMRO",0,9,0,1
"2020-03-26","GY","Guyana","AMRO",0,9,0,1
"2020-03-27","GY","Guyana","AMRO",0,9,0,1
"2020-03-28","GY","Guyana","AMRO",0,9,0,1
