"Fecha_de_reporte","Codigo_pais","Paises","Region","Casos_nuevos","Casos_acumulados","defunciones_nuevas","defunciones_acumuladas"
"2020-01-03","HT","Haiti","AMRO",0,0,0,0
"2020-01-04","HT","Haiti","AMRO",0,0,0,0
"2020-01-05","HT","Haiti","AMRO",0,0,0,0
"2020-01-06","HT","Haiti","AMRO",0,0,0,0
"2020-01-07","HT","Haiti","AMRO",0,0,0,0
"2020-01-08","HT","Haiti","AMRO",0,0,0,0
"2020-01-09","HT","Haiti","AMRO",0,0,0,0
"2020-01-10","HT","Haiti","AMRO",0,0,0,0
"2020-01-11","HT","Haiti","AMRO",0,0,0,0
"2020-01-12","HT","Haiti","AMRO",0,0,0,0
"2020-01-13","HT","Haiti","AMRO",0,0,0,0
"2020-01-14","HT","Haiti","AMRO",0,0,0,0
"2020-01-15","HT","Haiti","AMRO",0,0,0,0
"2020-01-16","HT","Haiti","AMRO",0,0,0,0
"2020-01-17","HT","Haiti","AMRO",0,0,0,0
"2020-01-18","HT","Haiti","AMRO",0,0,0,0
"2020-01-19","HT","Haiti","AMRO",0,0,0,0
"2020-01-20","HT","Haiti","AMRO",0,0,0,0
"2020-01-21","HT","Haiti","AMRO",0,0,0,0
"2020-01-22","HT","Haiti","AMRO",0,0,0,0
"2020-01-23","HT","Haiti","AMRO",0,0,0,0
"2020-01-24","HT","Haiti","AMRO",0,0,0,0
"2020-01-25","HT","Haiti","AMRO",0,0,0,0
"2020-01-26","HT","Haiti","AMRO",0,0,0,0
"2020-01-27","HT","Haiti","AMRO",0,0,0,0
"2020-01-28","HT","Haiti","AMRO",0,0,0,0
"2020-01-29","HT","Haiti","AMRO",0,0,0,0
"2020-01-30","HT","Haiti","AMRO",0,0,0,0
"2020-01-31","HT","Haiti","AMRO",0,0,0,0
"2020-02-01","HT","Haiti","AMRO",0,0,0,0
"2020-02-02","HT","Haiti","AMRO",0,0,0,0
"2020-02-03","HT","Haiti","AMRO",0,0,0,0
"2020-02-04","HT","Haiti","AMRO",0,0,0,0
"2020-02-05","HT","Haiti","AMRO",0,0,0,0
"2020-02-06","HT","Haiti","AMRO",0,0,0,0
"2020-02-07","HT","Haiti","AMRO",0,0,0,0
"2020-02-08","HT","Haiti","AMRO",0,0,0,0
"2020-02-09","HT","Haiti","AMRO",0,0,0,0
"2020-02-10","HT","Haiti","AMRO",0,0,0,0
"2020-02-11","HT","Haiti","AMRO",0,0,0,0
"2020-02-12","HT","Haiti","AMRO",0,0,0,0
"2020-02-13","HT","Haiti","AMRO",0,0,0,0
